POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,14.9009,-10.6366,0.0,41.1289,-45.8082,4.2643,-4.679299999999998,-0.41499999999999915
1,20.1603,-11.1144,0.0,40.2784,-44.219,9.0459,-3.9406000000000034,5.105299999999993
2,9.0286,-9.2608,0.0,39.839,-44.0801,-0.23219999999999885,-4.241100000000003,-4.473300000000002
3,11.8637,-9.6924,0.0,40.0658,-44.3141,2.1713000000000005,-4.2483,-2.076999999999998
4,17.4104,-10.2301,0.0,39.5933,-43.449,7.180299999999999,-3.855699999999999,3.3246000000000038
5,15.2268,-10.3467,0.0,40.3209,-44.6703,4.8801000000000005,-4.349399999999996,0.5307000000000031
6,11.9148,-9.8098,0.0,39.9288,-44.6773,2.1050000000000004,-4.7485,-2.643500000000003
7,17.0595,-10.1174,0.0,41.3368,-45.3942,6.9421,-4.057400000000001,2.884699999999995
8,10.2109,-10.1933,0.0,40.0044,-44.556,0.017599999999999838,-4.5516000000000005,-4.533999999999999
9,12.3815,-10.6549,0.0,40.7037,-44.9512,1.7266000000000012,-4.247500000000002,-2.5208999999999975
10,14.1027,-9.3449,0.0,40.5619,-44.2619,4.7578,-3.6999999999999957,1.0578000000000003
11,12.6893,-9.9723,0.0,40.595,-44.8304,2.7169999999999987,-4.2353999999999985,-1.5183999999999997
12,15.5652,-10.2124,0.0,40.4438,-44.3457,5.3528,-3.9018999999999977,1.4509000000000043
13,13.8918,-10.3855,0.0,40.3965,-43.9414,3.5062999999999995,-3.5448999999999984,-0.03860000000000241
14,13.2304,-10.0843,0.0,40.647,-44.7085,3.146099999999999,-4.061500000000002,-0.9154000000000053
15,9.6979,-9.6077,0.0,39.4704,-44.0096,0.09020000000000117,-4.539200000000001,-4.448999999999998
16,10.7795,-8.8633,0.0,40.1225,-43.5947,1.9162,-3.472200000000001,-1.5559999999999974
17,17.2132,-10.0579,0.0,40.4532,-44.4314,7.1553,-3.978199999999994,3.17710000000001
18,22.0978,-11.2346,0.0,39.9666,-42.4265,10.863199999999999,-2.4598999999999975,8.403300000000002
19,23.1112,-10.2128,0.0,39.65,-43.5186,12.8984,-3.8686000000000007,9.029800000000002
20,13.0394,-9.8837,0.0,40.1839,-44.2875,3.1557000000000013,-4.1036,-0.9478999999999971
21,11.3081,-9.637,0.0,39.6405,-43.0824,1.6710999999999991,-3.441899999999997,-1.7708000000000013
22,8.9539,-9.6292,0.0,40.1036,-44.446,-0.6753,-4.342399999999998,-5.017699999999998
23,10.8482,-10.5949,0.0,40.7793,-45.0024,0.2532999999999994,-4.223100000000002,-3.9697999999999993
24,7.1641,-10.4438,0.0,40.5666,-43.9876,-3.279699999999999,-3.4209999999999994,-6.700699999999998
25,7.5223,-9.1687,0.0,40.4674,-44.5179,-1.646399999999999,-4.0504999999999995,-5.696899999999999
26,14.6426,-10.4433,0.0,40.4863,-43.7323,4.199299999999999,-3.246000000000002,0.9532999999999987
27,18.9148,-10.8519,0.0,39.6358,-43.8653,8.062899999999999,-4.2294999999999945,3.8334000000000046
28,11.6043,-10.0735,0.0,40.2123,-44.6271,1.530800000000001,-4.4148,-2.8840000000000003
29,12.058,-9.9533,0.0,40.6706,-44.8603,2.1046999999999993,-4.189700000000002,-2.085000000000001
30,6.5149,-10.2076,0.0,40.5194,-44.7915,-3.6926999999999994,-4.272100000000002,-7.964800000000004
31,8.8817,-10.0428,0.0,40.1319,-44.2551,-1.1610999999999994,-4.123199999999997,-5.284299999999995
32,17.4096,-10.2564,0.0,39.9051,-44.0631,7.153200000000002,-4.158000000000001,2.995200000000004
33,8.6183,-9.9569,0.0,40.7604,-44.8387,-1.3385999999999996,-4.078300000000006,-5.416900000000005
34,5.1907,-9.7063,0.0,39.5508,-43.9339,-4.515600000000001,-4.383099999999999,-8.898699999999998
35,11.6365,-9.7462,0.0,40.6706,-44.4147,1.8902999999999999,-3.744100000000003,-1.8537999999999997
36,19.5715,-10.9198,0.0,40.8691,-44.8422,8.6517,-3.973099999999995,4.678600000000003
37,7.9236,-9.5041,0.0,40.6092,-44.5242,-1.580499999999999,-3.914999999999999,-5.4955
38,12.1096,-9.6113,0.0,40.3446,-43.6095,2.4983000000000004,-3.2648999999999972,-0.7665999999999968
39,13.7757,-10.0839,0.0,40.8596,-44.6565,3.6918000000000006,-3.796900000000001,-0.1051000000000002
40,17.86,-10.026,0.0,41.1525,-45.0026,7.834,-3.8500999999999976,3.9839000000000055
41,8.0049,-10.1394,0.0,39.7965,-44.136,-2.134500000000001,-4.339500000000001,-6.474000000000004
42,12.4563,-9.815,0.0,40.3398,-44.1805,2.641300000000001,-3.8407000000000053,-1.1994000000000042
43,8.6579,-9.3096,0.0,39.9335,-44.0732,-0.6517,-4.139699999999998,-4.791399999999996
44,14.8244,-9.747,0.0,40.9116,-45.2076,5.077400000000001,-4.295999999999999,0.781400000000005
45,3.1142,-9.3967,0.0,40.0138,-43.9782,-6.282499999999999,-3.9643999999999977,-10.246899999999997
46,10.8309,-9.5089,0.0,40.4343,-44.8584,1.3219999999999992,-4.424100000000003,-3.102100000000007
47,12.4118,-11.0383,0.0,39.787,-44.2354,1.3735,-4.4483999999999995,-3.0748999999999995
48,14.6373,-10.4852,0.0,40.6659,-44.7558,4.152099999999999,-4.0899,0.062199999999997146
49,9.1311,-10.4011,0.0,40.3918,-44.5789,-1.2699999999999996,-4.187099999999994,-5.45709999999999
50,7.7357,-9.7885,0.0,40.5241,-43.6848,-2.0528000000000013,-3.1607000000000056,-5.213500000000003
51,14.2157,-10.491,0.0,40.5194,-44.3233,3.7247000000000003,-3.803900000000006,-0.07920000000000726
52,9.3773,-9.3709,0.0,40.3871,-43.7634,0.006399999999999295,-3.3763000000000005,-3.3699000000000012
53,8.2553,-9.9544,0.0,41.025,-44.7089,-1.6990999999999996,-3.6839000000000013,-5.383000000000003
54,15.9565,-10.4463,0.0,40.2737,-44.3652,5.510199999999999,-4.0915000000000035,1.418699999999994
55,8.2251,-10.102,0.0,40.3635,-44.4564,-1.876900000000001,-4.0929,-5.969799999999999
56,14.8064,-9.7358,0.0,40.4769,-43.8982,5.070600000000001,-3.4213000000000022,1.6492999999999967
57,8.4197,-9.6168,0.0,40.2123,-44.2968,-1.197099999999999,-4.0844999999999985,-5.281599999999997
58,16.7623,-9.5576,0.0,40.5855,-45.0915,7.204699999999999,-4.506,2.698699999999995
59,11.5635,-10.3078,0.0,40.4296,-44.6105,1.2556999999999992,-4.180900000000001,-2.925200000000004
60,8.7377,-9.9623,0.0,40.5855,-44.7061,-1.2246000000000006,-4.120599999999996,-5.345199999999998
61,11.6724,-10.9326,0.0,40.5336,-44.7255,0.7397999999999989,-4.191899999999997,-3.4521000000000015
62,17.158,-10.6376,0.0,39.6831,-44.2092,6.5204,-4.5261,1.9943000000000026
63,8.9369,-9.0691,0.0,40.595,-44.1678,-0.13220000000000098,-3.572800000000001,-3.7049999999999983
64,10.6633,-10.1411,0.0,40.5714,-43.2341,0.5221999999999998,-2.662700000000001,-2.140500000000003
65,7.8113,-10.7621,0.0,40.4863,-44.4167,-2.9508,-3.930399999999999,-6.8812
66,11.2075,-9.7001,0.0,40.3209,-44.4218,1.5073999999999987,-4.100899999999996,-2.593499999999999
67,5.6424,-9.6534,0.0,40.2264,-44.3841,-4.010999999999999,-4.157699999999998,-8.168699999999994
68,16.5676,-9.8599,0.0,39.9571,-43.8189,6.707699999999999,-3.8618000000000023,2.8459000000000003
69,16.5125,-9.8013,0.0,40.3304,-44.3921,6.7112,-4.061700000000002,2.649499999999996
70,20.313,-10.3716,0.0,40.6611,-44.6,9.941399999999998,-3.938900000000004,6.002499999999991
71,16.3067,-10.1905,0.0,40.3021,-43.9105,6.116199999999999,-3.608399999999996,2.507800000000003
72,8.4134,-9.7392,0.0,40.8927,-44.9269,-1.325800000000001,-4.034200000000006,-5.3600000000000065
73,11.3934,-10.4533,0.0,40.2075,-44.5267,0.9400999999999993,-4.319199999999995,-3.379099999999994
74,20.1473,-10.0101,0.0,40.2406,-44.2165,10.137200000000002,-3.975900000000003,6.161299999999997
75,15.3837,-9.9689,0.0,40.3115,-44.0851,5.4148,-3.7735999999999947,1.6412000000000049
76,13.3518,-10.0111,0.0,39.9146,-43.595,3.3407,-3.680399999999999,-0.33970000000000056
77,8.6128,-9.5539,0.0,40.0469,-43.9773,-0.9411000000000005,-3.930399999999999,-4.8714999999999975
78,8.7902,-9.8603,0.0,40.5761,-44.4343,-1.0701,-3.8582000000000036,-4.9283
79,18.939,-9.6715,0.0,39.9524,-43.9264,9.2675,-3.9740000000000038,5.2934999999999945
80,14.0605,-9.9307,0.0,40.8171,-44.7049,4.1297999999999995,-3.8877999999999986,0.24199999999999733
81,11.0498,-10.1903,0.0,39.787,-44.2696,0.8594999999999988,-4.482599999999998,-3.623100000000001
82,16.4326,-9.4634,0.0,40.7698,-44.957,6.969200000000001,-4.187200000000004,2.7819999999999965
83,12.9113,-10.2679,0.0,40.217,-44.219,2.6434000000000015,-4.0020000000000024,-1.3586000000000027
84,15.1615,-9.4368,0.0,40.5619,-44.876,5.7247,-4.314099999999996,1.4106000000000023
85,14.0194,-9.7918,0.0,40.5714,-44.1672,4.227599999999999,-3.595800000000004,0.6317999999999913
86,18.184,-10.0854,0.0,40.3588,-44.6083,8.098600000000001,-4.249499999999998,3.849100000000007
87,11.2847,-9.0143,0.0,40.4249,-43.9656,2.2704000000000004,-3.540700000000001,-1.2702999999999989
88,10.1623,-9.6858,0.0,40.5288,-44.6858,0.4764999999999997,-4.157000000000004,-3.680500000000002
89,7.2644,-9.4892,0.0,40.217,-44.6655,-2.2248,-4.448500000000003,-6.673300000000005
90,5.5203,-9.7557,0.0,41.3132,-45.0959,-4.235399999999999,-3.7826999999999984,-8.018099999999997
91,7.6064,-9.6661,0.0,40.5052,-44.6253,-2.0597000000000003,-4.120100000000001,-6.1798
92,8.5965,-9.6869,0.0,40.3068,-44.6323,-1.090399999999999,-4.325499999999998,-5.4158999999999935
93,4.9899,-9.2908,0.0,41.5731,-45.3755,-4.300900000000001,-3.8024000000000058,-8.103300000000004
94,7.6175,-9.1035,0.0,40.2548,-44.4839,-1.4860000000000007,-4.229099999999995,-5.7151
95,14.8279,-10.1426,0.0,40.3021,-44.0868,4.6853,-3.7846999999999937,0.9006000000000043
96,20.3547,-9.5281,0.0,40.2217,-44.5506,10.826600000000001,-4.328900000000004,6.497699999999995
97,9.3076,-9.5394,0.0,40.2028,-44.2559,-0.23179999999999978,-4.0530999999999935,-4.284899999999993
98,17.0934,-10.6614,0.0,39.8106,-43.9606,6.431999999999999,-4.149999999999999,2.2819999999999965
99,13.4951,-10.9203,0.0,40.2642,-43.5561,2.5748000000000015,-3.2918999999999983,-0.717099999999995
100,8.7327,-9.3675,0.0,40.5903,-44.4385,-0.6348000000000003,-3.8481999999999985,-4.482999999999997
101,2.1572,-9.4122,0.0,40.6517,-45.1495,-7.255000000000001,-4.497800000000005,-11.752800000000008
102,13.9305,-10.0114,0.0,40.1603,-44.3278,3.9191000000000003,-4.167500000000004,-0.24840000000000373
103,10.1924,-10.269,0.0,40.7745,-44.4392,-0.07660000000000089,-3.6646999999999963,-3.7412999999999954
104,13.5099,-10.2679,0.0,40.0752,-44.5543,3.242000000000001,-4.479099999999995,-1.237099999999998
105,16.0581,-10.8579,0.0,39.9571,-43.9108,5.200199999999999,-3.953700000000005,1.2464999999999904
106,8.2033,-10.3559,0.0,40.2737,-44.1757,-2.1525999999999996,-3.902000000000001,-6.054600000000001
107,12.1513,-9.9249,0.0,40.543,-43.8137,2.2264000000000017,-3.270699999999998,-1.0442999999999927
108,13.9526,-10.3727,0.0,40.2217,-44.5395,3.5799000000000003,-4.317799999999998,-0.7378999999999962
109,15.4602,-10.1898,0.0,40.5383,-44.0855,5.2704,-3.5472000000000037,1.7231999999999985
110,13.845,-9.5294,0.0,40.7651,-44.8404,4.3156,-4.075300000000006,0.24029999999999063
111,14.6302,-9.2248,0.0,39.7634,-44.6046,5.4054,-4.841200000000001,0.5641999999999996
112,10.6734,-9.4903,0.0,41.0155,-45.7335,1.1831000000000014,-4.717999999999996,-3.5348999999999933
113,9.1607,-10.1081,0.0,40.4013,-44.4458,-0.9474,-4.044499999999999,-4.991900000000001
114,11.6506,-10.3317,0.0,40.5478,-45.2826,1.318900000000001,-4.7348,-3.4159000000000006
115,11.4663,-9.4495,0.0,40.0516,-43.8215,2.0168,-3.7699,-1.7531000000000034
116,18.7907,-9.9826,0.0,40.9825,-44.966,8.808100000000001,-3.9834999999999994,4.824600000000004
117,10.0407,-10.827,0.0,40.028,-44.1027,-0.7863000000000007,-4.0747,-4.861000000000004
118,7.7797,-9.2481,0.0,40.6375,-44.71,-1.4684000000000008,-4.072499999999998,-5.540900000000001
119,16.2004,-10.2451,0.0,40.0847,-44.4502,5.955299999999998,-4.365500000000004,1.5897999999999897
120,8.9979,-8.8838,0.0,39.9524,-43.278,0.11409999999999876,-3.3256000000000014,-3.211500000000001
121,9.7009,-10.1256,0.0,40.9683,-44.3614,-0.42469999999999963,-3.393100000000004,-3.8178000000000054
122,15.8682,-10.8019,0.0,40.5052,-44.3072,5.0663,-3.8019999999999996,1.2642999999999986
123,11.6521,-9.676,0.0,40.3588,-44.6177,1.9761000000000006,-4.258899999999997,-2.2827999999999946
124,8.0387,-9.9799,0.0,40.7131,-44.7782,-1.9412000000000003,-4.065100000000001,-6.006300000000003
125,14.465,-10.6075,0.0,40.8501,-44.3424,3.8575,-3.4923,0.3652000000000015
126,12.1812,-9.8286,0.0,40.5761,-44.0441,2.3526000000000007,-3.4680000000000035,-1.115400000000001
127,14.7379,-10.1119,0.0,39.5602,-43.1112,4.6259999999999994,-3.550999999999995,1.0750000000000028
128,13.2681,-9.9729,0.0,40.5761,-43.7145,3.2952000000000012,-3.1384000000000043,0.15679999999999694
129,14.4197,-10.2946,0.0,40.217,-43.9751,4.1251,-3.758099999999999,0.36700000000000443
130,19.7209,-9.9706,0.0,40.8218,-44.5112,9.750300000000001,-3.689399999999999,6.060900000000004
131,12.231,-9.9615,0.0,39.7445,-44.0063,2.2695000000000007,-4.261800000000001,-1.9923000000000002
132,10.332,-9.7751,0.0,41.0817,-45.3228,0.5569000000000006,-4.241100000000003,-3.684200000000004
133,14.8261,-10.8455,0.0,39.9524,-44.1867,3.980600000000001,-4.234300000000005,-0.25370000000000203
134,5.5104,-9.8714,0.0,40.9399,-44.8941,-4.361,-3.9542,-8.315199999999997
135,11.0123,-9.3841,0.0,39.5649,-43.8586,1.6281999999999996,-4.293700000000001,-2.6655000000000015
136,13.8979,-10.4923,0.0,40.7178,-44.2293,3.4055999999999997,-3.511500000000005,-0.10590000000000543
137,8.9642,-9.6171,0.0,39.9146,-43.9079,-0.6529000000000007,-3.993299999999998,-4.6462
138,13.1292,-9.3412,0.0,41.3652,-44.8723,3.7880000000000003,-3.507100000000001,0.2808999999999955
139,6.6266,-9.6666,0.0,39.9855,-43.4774,-3.040000000000001,-3.491900000000001,-6.5319
140,15.7103,-9.2152,0.0,39.9996,-43.9385,6.495100000000001,-3.9388999999999967,2.556200000000004
141,6.4329,-9.5155,0.0,40.6517,-44.8073,-3.0825999999999993,-4.1556,-7.238199999999999
142,14.2764,-9.5121,0.0,40.2595,-43.6832,4.7643,-3.4236999999999966,1.340600000000002
143,10.2816,-9.2586,0.0,40.543,-44.9219,1.0229999999999997,-4.378900000000002,-3.3558999999999983
144,10.5732,-10.0951,0.0,41.162,-44.572,0.4780999999999995,-3.4100000000000037,-2.931900000000006
145,15.3938,-10.3575,0.0,40.2784,-43.7972,5.036300000000001,-3.518799999999999,1.5175000000000054
146,9.0456,-9.696,0.0,40.8738,-45.331,-0.6503999999999994,-4.4572,-5.107599999999998
147,17.078,-9.6393,0.0,40.5714,-44.4142,7.438699999999999,-3.842800000000004,3.595899999999993
148,15.1756,-10.6019,0.0,40.3398,-44.1986,4.573699999999999,-3.8588000000000022,0.7149000000000001
149,7.7665,-9.114,0.0,39.3145,-43.9132,-1.347500000000001,-4.598700000000001,-5.946200000000005
150,6.6217,-9.8121,0.0,40.8312,-44.8798,-3.1903999999999995,-4.0486,-7.238999999999997
