POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,6.318,10.7348,0.0,45.5373,-50.5996,17.052799999999998,-5.0623000000000005,11.990499999999997
1,18.3196,11.0634,0.0,44.6727,-50.3343,29.383000000000003,-5.6616,23.721400000000003
2,13.0081,10.8489,0.0,45.2538,-50.1041,23.857,-4.850300000000004,19.006699999999995
3,5.5899,11.8038,0.0,45.5326,-51.1613,17.393700000000003,-5.628699999999995,11.765000000000008
4,14.5252,11.7399,0.0,45.3342,-50.6417,26.2651,-5.307499999999997,20.9576
5,5.6573,12.0398,0.0,46.0429,-51.1098,17.6971,-5.066899999999997,12.630200000000002
6,3.3136,13.1327,0.0,44.5876,-49.7975,16.4463,-5.2098999999999975,11.236400000000003
7,13.5236,10.7256,0.0,45.2349,-50.7532,24.249200000000002,-5.518299999999996,18.730900000000013
8,11.5155,11.2531,0.0,45.3153,-50.4603,22.7686,-5.144999999999996,17.623600000000003
9,15.0821,11.7903,0.0,45.1026,-50.5834,26.8724,-5.480799999999995,21.391599999999997
10,9.1791,11.0521,0.0,46.1232,-50.8117,20.2312,-4.688500000000005,15.542699999999996
11,13.9161,11.7541,0.0,45.7358,-50.8116,25.6702,-5.075800000000001,20.594400000000007
12,15.4897,9.9519,0.0,44.1388,-50.0044,25.4416,-5.8655999999999935,19.576
13,14.8876,9.88,0.0,44.8192,-49.79,24.7676,-4.970799999999997,19.79680000000001
14,13.1998,11.3726,0.0,45.7075,-51.5243,24.572400000000002,-5.8167999999999935,18.7556
15,11.375,11.3956,0.0,46.3359,-51.3269,22.7706,-4.991,17.77960000000001
16,8.9201,11.1694,0.0,44.6018,-49.4869,20.0895,-4.885100000000001,15.2044
17,12.1597,10.0787,0.0,44.5735,-49.8079,22.2384,-5.234399999999994,17.004000000000012
18,8.3207,10.9553,0.0,45.509,-51.4037,19.276,-5.8947,13.381299999999996
19,15.6042,9.839,0.0,43.8789,-48.7217,25.4432,-4.842799999999997,20.600400000000008
20,10.2597,10.8516,0.0,45.4334,-50.2467,21.1113,-4.813299999999998,16.29800000000001
21,11.2709,11.8537,0.0,46.1799,-51.4268,23.1246,-5.246899999999997,17.877700000000004
22,18.1903,10.0524,0.0,45.0223,-50.0147,28.2427,-4.992399999999996,23.250300000000003
23,10.3937,11.1152,0.0,44.4459,-48.9128,21.5089,-4.466899999999995,17.04200000000001
24,12.8605,11.5939,0.0,45.9201,-50.3329,24.4544,-4.412800000000004,20.041599999999995
25,8.4832,10.9822,0.0,44.1482,-50.1604,19.465400000000002,-6.0122,13.453200000000002
26,14.8988,11.5763,0.0,45.5657,-50.2203,26.475099999999998,-4.654600000000002,21.82049999999999
27,15.4385,10.481,0.0,44.8144,-49.2664,25.9195,-4.451999999999998,21.46750000000001
