POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,20.4524,13.1859,0.0,45.8209,-46.14,33.6383,-0.31909999999999883,33.31920000000001
1,5.4363,12.2782,0.0,46.6383,-45.9852,17.7145,0.653100000000002,18.367600000000003
2,14.03,12.3573,0.0,44.838,-45.6742,26.3873,-0.8361999999999981,25.551100000000005
3,6.7756,13.1933,0.0,45.1121,-45.1965,19.9689,-0.08440000000000225,19.884500000000003
4,10.2075,13.2014,0.0,45.9153,-46.3374,23.4089,-0.42210000000000036,22.986800000000002
5,6.664,13.2453,0.0,46.6005,-46.7263,19.9093,-0.12580000000000524,19.783499999999997
6,13.2775,11.6149,0.0,45.698,-46.2536,24.892400000000002,-0.5555999999999983,24.336800000000004
7,12.6961,12.6789,0.0,46.8745,-47.1954,25.375,-0.32090000000000174,25.0541
8,10.0411,12.1599,0.0,45.8397,-46.6576,22.201,-0.8179000000000016,21.3831
9,15.4049,12.3403,0.0,46.2272,-46.4226,27.745199999999997,-0.19539999999999935,27.54979999999999
10,14.4134,12.112,0.0,44.427,-45.3706,26.525399999999998,-0.9436000000000035,25.581799999999994
11,17.2118,12.5407,0.0,46.5816,-46.3857,29.752499999999998,0.19590000000000174,29.948400000000007
12,14.7174,13.082,0.0,46.0476,-46.9896,27.7994,-0.9420000000000002,26.857400000000005
13,25.208,12.2242,0.0,46.7895,-47.7845,37.432199999999995,-0.9950000000000045,36.4372
14,15.4807,13.2501,0.0,45.2727,-46.0853,28.730800000000002,-0.8125999999999962,27.918200000000006
15,11.7538,13.7863,0.0,46.2839,-46.5983,25.540100000000002,-0.3143999999999991,25.22570000000001
16,18.7174,12.0554,0.0,45.8397,-47.0815,30.772800000000004,-1.2417999999999978,29.531000000000013
17,10.7579,13.8229,0.0,46.2697,-45.7566,24.5808,0.5131000000000014,25.093899999999998
18,18.787,13.655,0.0,46.1705,-47.7418,32.442,-1.5713000000000008,30.8707
19,10.5469,13.4477,0.0,46.0051,-46.3535,23.9946,-0.34839999999999804,23.646199999999993
20,17.1071,13.5156,0.0,44.7861,-45.5951,30.6227,-0.8090000000000046,29.813699999999997
21,12.2707,12.1705,0.0,46.5957,-46.1481,24.441200000000002,0.44760000000000133,24.888800000000003
22,9.5358,13.3767,0.0,46.076,-46.7039,22.9125,-0.6278999999999968,22.284600000000005
23,7.1035,13.2624,0.0,45.2349,-45.6831,20.3659,-0.44819999999999993,19.917700000000004
24,17.1257,12.9475,0.0,45.7594,-46.8584,30.0732,-1.0990000000000038,28.974199999999996
25,11.0278,13.1849,0.0,46.0429,-46.1465,24.212699999999998,-0.10360000000000014,24.109099999999998
26,21.1972,11.4912,0.0,45.3625,-45.7266,32.6884,-0.36410000000000053,32.3243
27,17.0488,13.1145,0.0,46.3122,-46.6072,30.1633,-0.2950000000000017,29.868299999999998
28,15.8871,12.6419,0.0,46.0476,-45.8288,28.529,0.21880000000000166,28.747799999999998
29,17.1316,12.265,0.0,45.1641,-46.1723,29.3966,-1.0082000000000022,28.388399999999997
30,14.2346,12.1517,0.0,44.9515,-45.6174,26.3863,-0.6659000000000006,25.720399999999998
31,18.4311,12.6438,0.0,45.8965,-46.0723,31.0749,-0.1757999999999953,30.899100000000004
32,12.4184,13.6315,0.0,45.5893,-46.9381,26.0499,-1.3487999999999971,24.701100000000004
33,6.1465,12.1883,0.0,46.3028,-46.6473,18.3348,-0.3445000000000036,17.99029999999999
34,13.7261,13.1183,0.0,45.3767,-46.1737,26.8444,-0.796999999999997,26.04740000000001
35,13.6854,13.5863,0.0,45.5893,-46.3608,27.2717,-0.7714999999999961,26.500200000000007
36,14.3402,13.0136,0.0,45.9626,-46.1216,27.3538,-0.15899999999999892,27.1948
37,6.7408,13.6906,0.0,45.7594,-46.4619,20.4314,-0.7025000000000006,19.728899999999996
38,19.2432,13.3378,0.0,45.6696,-45.7137,32.581,-0.04410000000000025,32.5369
39,13.2986,15.2248,0.0,46.1658,-46.2989,28.523400000000002,-0.133100000000006,28.390299999999996
40,17.2317,12.9429,0.0,46.1847,-45.9914,30.174599999999998,0.1933000000000007,30.36789999999999
