POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1233.0208,3236.3446,2170.1642,0,0,0,-3164.6774,-1535.2095,1600.7314,800.33129,0,3380.3195,-2026.5822,4340.70539,1353.7373,5694.44269
1,1278.5674,3208.7257,2191.4579,0,0,0,-3200.1891,-1536.1782,1582.705,803.50738,0,3393.2188,-2028.8564,4328.59608,1364.3624,5692.95848
2,1279.7591,3172.1738,2154.2229,0,0,0,-3161.0979,-1536.5876,1558.4784,808.06616,0,3384.6949,-2020.8062,4275.01486,1363.8887,5638.90356
3,1217.2804,3128.3491,2168.3695,0,0,0,-3189.0716,-1537.0007,1618.9376,807.029445,0,3377.6924,-2023.723,4213.893745,1353.9694,5567.863145
4,1274.3383,3270.0274,2144.5837,0,0,0,-3140.4858,-1539.6872,1590.3549,804.62427,0,3376.6907,-2027.4522,4403.75557,1349.2385,5752.99407
5,1224.4068,3278.0306,2192.6677,0,0,0,-3160.8653,-1539.2875,1574.9246,805.44299,0,3367.2124,-2016.7138,4375.31989,1350.4986,5725.81849
6,1150.0152,3120.9928,2137.7604,0,0,0,-3166.6156,-1534.2862,1623.4738,803.870195,0,3387.3456,-2038.2775,4135.210595,1349.0681,5484.278695
7,1216.8787,3249.7921,2122.6153,0,0,0,-3149.761,-1535.2251,1575.5645,806.26296,0,3385.3611,-2038.8589,4286.12746,1346.5022,5632.62966
8,1241.4073,3160.8677,2161.097,0,0,0,-3155.5751,-1533.5687,1594.9175,800.769075,0,3378.1082,-2029.9371,4269.914775,1348.1711,5618.085875
9,1249.4703,3187.7807,2181.2851,0,0,0,-3182.9271,-1535.3896,1583.7098,803.50898,0,3404.3272,-2042.8861,4287.43818,1361.4411,5648.87928
10,1240.2441,3213.4222,2157.1228,0,0,0,-3174.3087,-1532.0905,1606.501,802.101685,0,3386.7266,-2039.5642,4312.992585,1347.1624,5660.154985
11,1234.3846,3182.7761,2133.3308,0,0,0,-3134.7641,-1532.6334,1581.2918,799.063055,0,3388.0732,-2026.5462,4263.448855,1361.527,5624.975855
12,1250.4863,3264.0704,2176.7629,0,0,0,-3155.7499,-1532.8376,1577.3294,803.38738,0,3392.2454,-2042.5674,4383.44888,1349.678,5733.12688
13,1262.0237,3257.0124,2170.348,0,0,0,-3175.7514,-1528.9393,1567.931,801.186285,0,3394.6032,-2037.4732,4353.810685,1357.13,5710.940685
14,1234.2905,3233.7082,2135.6689,0,0,0,-3088.5268,-1537.6735,1587.4821,803.420535,0,3409.4397,-2062.0331,4368.369935,1347.4066,5715.776535
15,1274.7011,3298.2573,2148.1142,0,0,0,-3117.3106,-1536.4312,1569.235,802.095165,0,3400.259,-2048.0822,4438.660965,1352.1768,5790.837765
16,1261.1199,3288.3949,2185.5382,0,0,0,-3166.6132,-1532.6227,1584.3558,800.531575,0,3378.5618,-2026.0699,4420.704475,1352.4919,5773.196375
17,1295.1236,3197.6012,2137.5083,0,0,0,-3153.1507,-1533.6688,1590.0301,804.743045,0,3383.2254,-2032.1594,4338.186745,1351.066,5689.252745
18,1222.0552,3229.0769,2198.0829,0,0,0,-3158.959,-1540.6156,1611.2894,808.855165,0,3414.4576,-2059.5871,4369.784965,1354.8705,5724.655465
19,1216.0214,3309.0075,2168.3087,0,0,0,-3145.5079,-1540.5164,1595.4414,809.715765,0,3393.2707,-2037.1234,4412.470465,1356.1473,5768.617765
20,1200.8504,3121.3174,2191.2681,0,0,0,-3138.3994,-1536.1185,1576.4123,807.522025,0,3383.9956,-2037.8949,4222.852325,1346.1007,5568.953025
21,1192.2223,3218.6427,2175.5832,0,0,0,-3134.0652,-1538.9629,1565.7785,809.54172,0,3381.5953,-2030.3075,4288.74032,1351.2878,5640.02812
