POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3240.5293,-1535.4732,0,3348.2509,-1961.9941,-4776.0025,1386.2568,-3389.7457
1,-3237.5384,-1536.1135,0,3341.0595,-1950.0743,-4773.6519,1390.9852,-3382.6667
2,-3223.5307,-1534.6161,0,3350.5709,-1978.5751,-4758.1468,1371.9958,-3386.151
3,-3211.37,-1540.2312,0,3342.0328,-1968.191,-4751.6012,1373.8418,-3377.7594
4,-3195.2324,-1538.7829,0,3358.1923,-1970.5797,-4734.0153,1387.6126,-3346.4027
5,-3179.8615,-1540.7494,0,3365.2373,-1996.1303,-4720.6109,1369.107,-3351.5039
6,-3266.1195,-1539.3928,0,3358.1026,-1975.7403,-4805.5123,1382.3623,-3423.15
7,-3243.4816,-1535.6394,0,3357.3418,-1984.4423,-4779.121,1372.8995,-3406.2215
8,-3201.0981,-1543.1315,0,3351.4781,-1981.1573,-4744.2296,1370.3208,-3373.9088
9,-3239.1527,-1539.6684,0,3345.2175,-1966.7437,-4778.8211,1378.4738,-3400.3473
10,-3250.4153,-1538.1823,0,3360.1107,-1983.0431,-4788.5976,1377.0676,-3411.53
11,-3220.6829,-1544.5218,0,3347.013,-1961.6165,-4765.2047,1385.3965,-3379.8082
12,-3231.3991,-1542.3851,0,3345.6663,-1962.1051,-4773.7842,1383.5612,-3390.223
13,-3261.956,-1536.2666,0,3350.878,-1965.5405,-4798.2226,1385.3375,-3412.8851
14,-3227.7715,-1543.2897,0,3340.8043,-1961.2242,-4771.0612,1379.5801,-3391.4811
15,-3238.6909,-1540.0888,0,3339.8593,-1944.2694,-4778.7797,1395.5899,-3383.1898
16,-3249.7189,-1538.9803,0,3328.9635,-1945.8608,-4788.6992,1383.1027,-3405.5965
17,-3210.6264,-1541.1576,0,3329.1005,-1953.4246,-4751.784,1375.6759,-3376.1081
