POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1252.6815,3198.3898,2139.4449,0,0,0,-3164.0679,-1527.4747,1591.041,804.43153,0,3379.3084,-2030.7181,4294.44613,1348.5903,5643.03643
1,1282.271,3269.5195,2176.9133,0,0,0,-3158.4938,-1530.8961,1576.9222,804.54412,0,3391.9052,-2031.2998,4420.78022,1360.6054,5781.38562
2,1223.757,3266.5965,2211.7654,0,0,0,-3140.3872,-1537.0176,1609.4285,809.453055,0,3387.4165,-2046.8742,4443.595655,1340.5423,5784.137955
3,1255.7921,3228.9661,2131.6715,0,0,0,-3183.3732,-1524.3958,1551.4803,800.662835,0,3375.2543,-2019.7563,4260.803835,1355.498,5616.301835
4,1217.0318,3230.0766,2186.3082,0,0,0,-3192.1575,-1535.1876,1594.2549,808.575275,0,3366.1256,-2016.2661,4308.901675,1349.8595,5658.761175
5,1251.5064,3265.5246,2191.7704,0,0,0,-3190.8562,-1535.6975,1578.1176,805.608295,0,3359.4492,-2002.407,4365.973595,1357.0422,5723.015795
6,1246.0579,3257.7601,2160.8276,0,0,0,-3188.504,-1529.1082,1563.0179,804.915275,0,3374.4889,-2015.9116,4314.966575,1358.5773,5673.543875
7,1191.129,3229.8925,2147.6727,0,0,0,-3211.5306,-1527.5777,1596.9838,805.586085,0,3374.5503,-2016.6926,4232.155785,1357.8577,5590.013485
8,1221.1883,3230.0737,2171.3622,0,0,0,-3187.7691,-1529.4997,1586.4173,806.748115,0,3387.0195,-2028.73,4298.520815,1358.2895,5656.810315
9,1275.285,3321.0737,2215.6002,0,0,0,-3198.1077,-1529.2895,1557.1904,808.62245,0,3392.3872,-2033.314,4450.37455,1359.0732,5809.44775
10,1255.5228,3270.4881,2152.4135,0,0,0,-3157.7323,-1532.0124,1617.9988,805.10419,0,3376.875,-2030.8483,4411.78269,1346.0267,5757.80939
11,1200.0448,3316.5915,2175.2455,0,0,0,-3215.0297,-1531.2329,1578.07,807.879135,0,3376.6718,-2032.6885,4331.568335,1343.9833,5675.551635
12,1222.3586,3248.7225,2175.6673,0,0,0,-3193.5536,-1533.8278,1577.7044,806.96402,0,3373.0903,-2032.0675,4304.03542,1341.0228,5645.05822
13,1234.3326,3265.7821,2162.9946,0,0,0,-3150.0869,-1538.5894,1576.3265,809.93605,0,3404.0532,-2056.9144,4360.69555,1347.1388,5707.83435
14,1234.1797,3258.9079,2157.7627,0,0,0,-3193.9339,-1534.775,1584.3803,808.525775,0,3389.0324,-2041.5001,4315.047475,1347.5323,5662.579775
15,1250.3266,3234.4175,2166.0247,0,0,0,-3144.8905,-1536.4018,1585.6686,807.71441,0,3373.1281,-2026.9545,4362.85951,1346.1736,5709.03311
