POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3206.1636,-1531.4322,0,3361.24,-2009.2753,-4737.5958,1351.9647,-3385.6311
1,-3227.605,-1533.6017,0,3362.1755,-1998.9255,-4761.2067,1363.25,-3397.9567
2,-3184.876,-1527.6385,0,3372.9627,-2009.5032,-4712.5145,1363.4595,-3349.055
3,-3172.7569,-1533.3395,0,3373.0241,-1997.2256,-4706.0964,1375.7985,-3330.2979
4,-3163.2257,-1530.75,0,3367.4486,-1997.8056,-4693.9757,1369.643,-3324.3327
5,-3224.9521,-1538.2646,0,3344.5229,-1981.7627,-4763.2167,1362.7602,-3400.4565
6,-3208.0093,-1534.3547,0,3377.064,-2003.0835,-4742.364,1373.9805,-3368.3835
7,-3182.0445,-1536.7945,0,3368.6771,-2000.4098,-4718.839,1368.2673,-3350.5717
8,-3186.1116,-1534.3856,0,3380.6739,-2027.5422,-4720.4972,1353.1317,-3367.3655
9,-3173.3176,-1538.1648,0,3375.7693,-2014.212,-4711.4824,1361.5573,-3349.9251
10,-3172.0273,-1541.5842,0,3371.9799,-2020.4032,-4713.6115,1351.5767,-3362.0348
11,-3197.1071,-1536.6075,0,3350.3016,-1999.36,-4733.7146,1350.9416,-3382.773
12,-3174.821,-1535.6454,0,3376.1048,-2021.3686,-4710.4664,1354.7362,-3355.7302
13,-3196.9072,-1526.8254,0,3374.0022,-2014.3208,-4723.7326,1359.6814,-3364.0512
14,-3200.9075,-1535.4852,0,3374.073,-2008.0768,-4736.3927,1365.9962,-3370.3965
15,-3220.5469,-1529.0241,0,3372.5374,-2003.3829,-4749.571,1369.1545,-3380.4165
16,-3183.6482,-1537.1606,0,3362.2889,-1998.6025,-4720.8088,1363.6864,-3357.1224
17,-3232.1022,-1536.6288,0,3347.7265,-1979.5966,-4768.731,1368.1299,-3400.6011
