POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1185.2948,3241.3422,2166.1677,0,0,0,-3150.7525,-1537.8552,1615.7144,812.898405,0,3384.1184,-2024.3806,4332.809805,1359.7378,5692.547605
1,1238.08,3262.8112,2152.5112,0,0,0,-3173.5942,-1537.115,1591.7151,809.195475,0,3394.4709,-2032.423,4343.603775,1362.0479,5705.651675
2,1188.2199,3217.065,2192.7703,0,0,0,-3156.5463,-1545.8078,1599.1035,814.26047,0,3364.8735,-2013.1958,4309.06507,1351.6777,5660.74277
3,1274.6762,3231.9453,2209.2445,0,0,0,-3181.5432,-1544.5678,1583.1247,811.47844,0,3383.8491,-2029.8987,4384.35814,1353.9504,5738.30854
4,1214.4517,3235.636,2181.2518,0,0,0,-3230.4186,-1543.5264,1596.128,812.53482,0,3373.5486,-2022.8999,4266.05732,1350.6487,5616.70602
5,1277.0454,3287.1571,2205.9567,0,0,0,-3163.6859,-1546.1878,1591.6316,811.91287,0,3385.3705,-2033.624,4463.82997,1351.7465,5815.57647
6,1299.1098,3199.6502,2170.1848,0,0,0,-3136.4983,-1545.0185,1574.1094,813.02856,0,3374.5503,-2032.6596,4374.56596,1341.8907,5716.45666
7,1271.5279,3161.5062,2212.7982,0,0,0,-3162.2445,-1543.5038,1590.5706,815.39677,0,3373.6998,-2020.8101,4346.05137,1352.8897,5698.94107
8,1262.4132,3291.7534,2167.6736,0,0,0,-3178.8496,-1541.4461,1573.9504,813.245185,0,3373.6195,-2010.534,4388.740085,1363.0855,5751.825585
9,1255.3785,3229.565,2223.1753,0,0,0,-3184.1655,-1542.1822,1603.4148,814.472225,0,3369.2583,-2000.6592,4399.658125,1368.5991,5768.257225
10,1227.7707,3139.4918,2146.7978,0,0,0,-3206.8412,-1540.9105,1591.5281,813.925325,0,3382.5639,-2018.115,4171.762025,1364.4489,5536.210925
11,1237.5841,3204.0837,2221.5677,0,0,0,-3157.393,-1544.957,1585.5623,812.095305,0,3370.0568,-2022.2976,4358.543105,1347.7592,5706.302305
12,1265.1275,3197.0481,2228.2891,0,0,0,-3200.0573,-1546.0298,1566.7491,815.474605,0,3378.8736,-2012.5162,4326.601305,1366.3574,5692.958705
13,1231.9436,3278.3277,2210.1197,0,0,0,-3161.951,-1545.6296,1594.8239,811.791885,0,3375.1645,-2026.2633,4419.426185,1348.9012,5768.327385
14,1240.5917,3239.2877,2169.2953,0,0,0,-3180.0234,-1546.8018,1578.1262,814.175915,0,3386.0604,-2026.0288,4314.651615,1360.0316,5674.683215
15,1247.3721,3365.7757,2182.4309,0,0,0,-3190.6882,-1542.956,1603.7523,812.71069,0,3373.4682,-2017.4987,4478.39749,1355.9695,5834.36699
16,1221.1142,3285.1952,2180.718,0,0,0,-3158.4986,-1544.1284,1611.0337,812.61531,0,3375.6748,-2023.2096,4408.04941,1352.4652,5760.51461
17,1225.5429,3195.1081,2141.9226,0,0,0,-3170.9315,-1543.0764,1572.8094,813.73489,0,3371.4932,-2006.3969,4235.10999,1365.0963,5600.20629
18,1242.6093,3304.1106,2182.6254,0,0,0,-3152.1342,-1546.3616,1608.3438,815.17087,0,3383.2679,-2036.7284,4454.36417,1346.5395,5800.90367
19,1263.5315,3246.0095,2188.3415,0,0,0,-3180.2764,-1544.6185,1599.1977,816.50282,0,3373.3171,-2014.4172,4388.68812,1358.8999,5747.58802
20,1231.3992,3229.0069,2211.3131,0,0,0,-3224.1299,-1539.9137,1582.4415,815.26514,0,3383.6837,-2019.1821,4305.38224,1364.5016,5669.88384
21,1276.1933,3228.9371,2189.2709,0,0,0,-3192.5157,-1542.0277,1606.2037,813.03604,0,3375.6748,-2023.2852,4379.09764,1352.3896,5731.48724
22,1250.1868,3201.1927,2191.5205,0,0,0,-3167.4386,-1544.1702,1594.1822,813.93316,0,3378.9682,-2014.5951,4339.40656,1364.3731,5703.77966
23,1262.311,3204.2302,2200.3478,0,0,0,-3165.5974,-1543.161,1580.6843,812.0587,0,3383.06,-2021.2242,4350.8736,1361.8358,5712.7094
24,1241.7593,3237.5088,2131.8688,0,0,0,-3162.4068,-1543.9588,1600.0938,811.781665,0,3369.5938,-2022.1562,4316.646765,1347.4376,5664.084365
25,1268.7734,3213.2865,2186.5407,0,0,0,-3172.7135,-1540.715,1578.2412,813.359845,0,3384.1231,-2014.0517,4346.773145,1370.0714,5716.844545
26,1252.7021,3193.4417,2185.6598,0,0,0,-3141.6495,-1541.5072,1572.1782,809.57455,0,3386.651,-2021.9714,4330.39965,1364.6796,5695.07925
27,1222.2972,3235.3786,2187.9741,0,0,0,-3132.8796,-1546.2226,1607.5761,812.48359,0,3378.4909,-2018.8473,4386.60739,1359.6436,5746.25099
28,1216.1208,3252.3735,2194.2567,0,0,0,-3193.3534,-1544.0399,1607.9332,815.753385,0,3379.6816,-2020.3119,4349.044285,1359.3697,5708.413985
29,1233.4727,3261.4824,2175.0416,0,0,0,-3145.4435,-1542.3495,1574.3391,812.433375,0,3387.4023,-2040.7132,4368.976175,1346.6891,5715.665275
30,1266.1778,3148.0897,2139.2117,0,0,0,-3167.9743,-1541.9346,1561.7466,813.80039,0,3387.1897,-2032.3679,4219.11729,1354.8218,5573.93909
31,1263.3106,3292.543,2179.3264,0,0,0,-3177.074,-1540.9047,1579.6684,812.016815,0,3389.0277,-2040.9514,4408.886515,1348.0763,5756.962815
32,1211.637,3228.7497,2159.5718,0,0,0,-3151.4074,-1546.2706,1635.348,814.25808,0,3390.3365,-2042.8295,4351.88658,1347.507,5699.39358
33,1235.6822,3246.7442,2208.3469,0,0,0,-3142.8477,-1541.3164,1573.3278,812.154915,0,3392.458,-2052.1677,4392.091915,1340.2903,5732.382215
34,1213.6983,3220.6205,2202.3767,0,0,0,-3123.9321,-1543.8401,1614.2979,817.02589,0,3389.8735,-2056.4728,4400.24709,1333.4007,5733.64779
35,1242.3086,3284.9976,2161.5551,0,0,0,-3153.4062,-1536.6918,1595.9317,812.79567,0,3409.0428,-2061.6397,4407.49067,1347.4031,5754.89377
36,1250.469,3245.8665,2162.2881,0,0,0,-3168.6932,-1541.1696,1597.9418,811.835435,0,3395.638,-2039.8626,4358.538035,1355.7754,5714.313435
37,1286.0506,3190.43,2162.303,0,0,0,-3144.0552,-1540.5134,1568.3197,808.57083,0,3388.7347,-2044.2128,4331.10553,1344.5219,5675.62743
38,1228.0272,3220.8465,2143.3959,0,0,0,-3131.9858,-1541.5047,1602.6191,811.299705,0,3394.3102,-2041.9243,4332.697905,1352.3859,5685.083805
39,1245.1523,3235.6342,2181.3122,0,0,0,-3128.0489,-1540.355,1607.9071,812.152635,0,3405.3856,-2050.8282,4413.754535,1354.5574,5768.311935
40,1217.0576,3304.0116,2193.9068,0,0,0,-3149.7857,-1542.515,1570.0861,815.27456,0,3391.3004,-2035.1501,4408.03596,1356.1503,5764.18626
41,1221.0717,3284.5898,2215.6562,0,0,0,-3159.485,-1541.3533,1605.196,814.846525,0,3388.919,-2036.1108,4440.521925,1352.8082,5793.330125
42,1206.2001,3169.2059,2157.9751,0,0,0,-3174.3159,-1538.2278,1596.5327,811.595315,0,3376.5867,-2016.0178,4228.965415,1360.5689,5589.534315
43,1273.2302,3170.3716,2197.8771,0,0,0,-3163.6395,-1541.7078,1583.7876,813.33907,0,3403.7839,-2048.4592,4333.25827,1355.3247,5688.58297
44,1244.7752,3259.4773,2157.7392,0,0,0,-3178.2028,-1539.0455,1563.1023,813.036145,0,3391.9855,-2022.9518,4320.881845,1369.0337,5689.915545
45,1281.2189,3221.0016,2156.4802,0,0,0,-3154.8952,-1534.3282,1582.8858,808.37484,0,3403.2499,-2041.8694,4360.73794,1361.3805,5722.11844
46,1253.8854,3249.4896,2164.6699,0,0,0,-3148.0861,-1539.9586,1594.969,810.803015,0,3398.695,-2053.2549,4385.772215,1345.4401,5731.212315
47,1194.1068,3172.2922,2201.3467,0,0,0,-3116.4097,-1542.6044,1632.6815,813.528145,0,3393.9936,-2050.16,4354.941245,1343.8336,5698.774845
48,1236.9148,3169.3151,2220.4003,0,0,0,-3172.5066,-1537.2836,1618.7503,810.891325,0,3388.9473,-2037.6619,4346.481625,1351.2854,5697.767025
49,1215.0447,3307.0043,2168.7951,0,0,0,-3162.1145,-1540.4451,1578.0459,809.37855,0,3377.7869,-2025.5406,4375.70895,1352.2463,5727.95525
50,1260.8404,3216.8285,2187.8386,0,0,0,-3149.5149,-1541.2887,1570.366,813.635045,0,3386.6888,-2036.4119,4358.704945,1350.2769,5708.981845
51,1302.4819,3199.6528,2153.2439,0,0,0,-3147.6536,-1538.4461,1601.5154,808.57368,0,3383.2159,-2038.9304,4379.36798,1344.2855,5723.65348
52,1162.6209,3234.1668,2214.8168,0,0,0,-3141.9835,-1544.0198,1605.8196,813.48043,0,3384.2507,-2045.0992,4344.90123,1339.1515,5684.05273
53,1240.3183,3254.9349,2162.216,0,0,0,-3109.2522,-1542.9615,1602.8309,811.466155,0,3395.0521,-2044.7808,4419.552555,1350.2713,5769.823855
54,1254.8427,3238.3594,2154.8813,0,0,0,-3138.7817,-1542.4604,1594.0294,813.924085,0,3388.5977,-2053.3306,4374.794785,1335.2671,5710.061885
55,1279.6366,3205.7842,2166.3789,0,0,0,-3142.199,-1541.5389,1602.2281,813.22526,0,3387.9079,-2049.9065,4383.51516,1338.0014,5721.51656
56,1220.9398,3182.1504,2196.3189,0,0,0,-3151.1446,-1548.323,1645.9246,816.60358,0,3374.5975,-2034.6642,4362.46968,1339.9333,5702.40298
57,1248.7191,3256.8214,2189.3858,0,0,0,-3152.8461,-1541.1804,1584.7967,810.135145,0,3370.5907,-2023.5918,4395.831645,1346.9989,5742.830545
58,1218.1798,3208.0549,2231.4694,0,0,0,-3156.4275,-1543.1459,1612.2835,813.508315,0,3381.0424,-2019.3961,4383.922515,1361.6463,5745.568815
59,1247.8927,3194.5812,2163.9595,0,0,0,-3180.1984,-1545.753,1607.0557,814.522545,0,3353.5618,-2009.5621,4302.060245,1343.9997,5646.059945
60,1297.0504,3259.5703,2156.12,0,0,0,-3168.3655,-1539.0487,1558.8669,810.564255,0,3380.9527,-2020.9392,4374.757655,1360.0135,5734.771155
61,1279.021,3208.1278,2212.1275,0,0,0,-3203.1788,-1541.1023,1587.2925,815.085715,0,3367.0422,-2016.0027,4357.373415,1351.0395,5708.412915
62,1278.9407,3202.5097,2189.917,0,0,0,-3199.2788,-1542.8694,1604.2244,814.41266,0,3359.8508,-2008.4949,4347.85626,1351.3559,5699.21216
63,1216.2081,3188.4579,2231.218,0,0,0,-3170.8156,-1539.3323,1617.1937,813.45282,0,3366.0736,-1993.1169,4356.38262,1372.9567,5729.33932
64,1199.7974,3185.407,2179.2186,0,0,0,-3218.0739,-1541.3054,1618.3128,814.93518,0,3354.2517,-1989.4641,4238.29168,1364.7876,5603.07928
65,1249.9663,3244.7542,2160.7173,0,0,0,-3183.8129,-1540.9734,1584.4283,814.85167,0,3362.407,-1987.7326,4329.93147,1374.6744,5704.60587
66,1264.0941,3256.5836,2242.2601,0,0,0,-3211.5143,-1542.2206,1566.2175,812.10432,0,3371.3609,-1999.4794,4387.52472,1371.8815,5759.40622
67,1227.9884,3174.5816,2233.6652,0,0,0,-3173.5573,-1544.204,1603.8948,815.66391,0,3354.8801,-1989.5191,4338.03261,1365.361,5703.39361
68,1283.236,3294.8102,2174.5595,0,0,0,-3150.5268,-1539.2508,1574.1361,811.394655,0,3373.2887,-1995.18,4448.358855,1378.1087,5826.467555
69,1276.4112,3262.0772,2168.0348,0,0,0,-3188.8866,-1542.5912,1578.6603,812.73029,0,3366.9997,-1999.4484,4366.43599,1367.5513,5733.98729
70,1250.489,3228.7233,2180.1117,0,0,0,-3128.4532,-1539.2465,1611.5398,814.003,0,3371.0632,-2002.9642,4417.1671,1368.099,5785.2661
71,1259.3487,3182.3901,2211.9712,0,0,0,-3155.0618,-1546.1747,1583.0488,817.354095,0,3383.9767,-2014.9752,4352.876395,1369.0015,5721.877895
72,1219.026,3306.5757,2166.083,0,0,0,-3133.4444,-1540.7439,1569.8492,812.30233,0,3388.2008,-2004.7902,4399.64793,1383.4106,5783.05853
73,1226.7103,3232.151,2201.7458,0,0,0,-3177.4116,-1536.2331,1625.298,814.027045,0,3366.3524,-1995.3999,4386.287445,1370.9525,5757.239945
74,1215.691,3210.127,2214.4743,0,0,0,-3180.0612,-1542.8796,1580.0218,815.327445,0,3378.9634,-2011.1238,4312.700745,1367.8396,5680.540345
75,1236.5582,3263.3876,2150.501,0,0,0,-3152.1952,-1541.7218,1588.0601,810.65339,0,3390.9271,-2027.1263,4355.24329,1363.8008,5719.04409
76,1249.5813,3188.5276,2194.7739,0,0,0,-3187.3267,-1544.0383,1576.2432,815.20117,0,3355.6267,-1987.8665,4292.96217,1367.7602,5660.72237
77,1262.0345,3213.7606,2162.0266,0,0,0,-3175.1167,-1541.3679,1598.8966,812.525725,0,3369.0315,-1995.1952,4332.759425,1373.8363,5706.595725
78,1258.4075,3252.2343,2200.2183,0,0,0,-3170.5972,-1540.1761,1595.1881,811.894025,0,3352.5554,-1990.0698,4407.168925,1362.4856,5769.654525
79,1256.4647,3247.8775,2157.5385,0,0,0,-3171.7318,-1544.6221,1585.1793,815.922075,0,3366.0736,-1996.0607,4346.628175,1370.0129,5716.641075
80,1260.4629,3305.9788,2172.1522,0,0,0,-3222.8269,-1538.9203,1585.9089,810.947735,0,3359.5626,-1989.7636,4373.703335,1369.799,5743.502335
81,1231.0118,3241.4543,2181.0207,0,0,0,-3195.4848,-1541.5123,1586.9954,814.831775,0,3364.7128,-2002.2059,4318.316875,1362.5069,5680.823775
82,1229.0148,3171.8825,2200.5086,0,0,0,-3169.5074,-1542.0881,1632.5768,812.136235,0,3352.8342,-2000.9902,4334.523435,1351.844,5686.367435
