POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3152.5003,-1546.9743,0,3399.4321,-2049.6053,-4699.4746,1349.8268,-3349.6478
1,-3126.6764,-1541.7198,0,3395.5813,-2054.6448,-4668.3962,1340.9365,-3327.4597
2,-3098.8617,-1537.7902,0,3404.9037,-2062.946,-4636.6519,1341.9577,-3294.6942
3,-3136.1605,-1541.0619,0,3395.5482,-2040.6937,-4677.2224,1354.8545,-3322.3679
4,-3111.9525,-1544.8989,0,3419.9764,-2075.8557,-4656.8514,1344.1207,-3312.7307
5,-3104.8006,-1546.9169,0,3417.2501,-2070.2119,-4651.7175,1347.0382,-3304.6793
6,-3073.1413,-1552.8816,0,3402.2908,-2060.9686,-4626.0229,1341.3222,-3284.7007
7,-3105.6972,-1548.5603,0,3407.5071,-2068.6227,-4654.2575,1338.8844,-3315.3731
8,-3127.1313,-1546.7415,0,3389.7553,-2054.9173,-4673.8728,1334.838,-3339.0348
9,-3140.5367,-1549.6827,0,3397.7784,-2057.0484,-4690.2194,1340.73,-3349.4894
10,-3159.6108,-1548.296,0,3407.8521,-2064.783,-4707.9068,1343.0691,-3364.8377
11,-3101.2026,-1549.7781,0,3411.8447,-2074.2464,-4650.9807,1337.5983,-3313.3824
12,-3129.2793,-1548.3189,0,3408.145,-2062.241,-4677.5982,1345.904,-3331.6942
13,-3102.8118,-1545.3301,0,3397.6508,-2046.4402,-4648.1419,1351.2106,-3296.9313
14,-3092.7714,-1546.335,0,3367.3116,-2021.5315,-4639.1064,1345.7801,-3293.3263
15,-3120.9584,-1547.7554,0,3404.0059,-2058.6392,-4668.7138,1345.3667,-3323.3471
16,-3108.8059,-1547.3463,0,3388.9001,-2045.4103,-4656.1522,1343.4898,-3312.6624
17,-3135.5104,-1547.5922,0,3403.9114,-2048.982,-4683.1026,1354.9294,-3328.1732
18,-3130.678,-1547.474,0,3393.6487,-2045.2026,-4678.152,1348.4461,-3329.7059
19,-3153.2358,-1549.3374,0,3392.3304,-2037.5802,-4702.5732,1354.7502,-3347.823
20,-3113.3562,-1548.0578,0,3402.5365,-2057.4378,-4661.414,1345.0987,-3316.3153
21,-3149.739,-1551.1174,0,3397.3956,-2053.31,-4700.8564,1344.0856,-3356.7708
22,-3113.2839,-1546.1826,0,3403.231,-2059.5337,-4659.4665,1343.6973,-3315.7692
23,-3142.978,-1548.5646,0,3390.9035,-2045.8304,-4691.5426,1345.0731,-3346.4695
24,-3149.4439,-1540.3513,0,3401.2702,-2045.1677,-4689.7952,1356.1025,-3333.6927
25,-3130.7377,-1544.4156,0,3404.1193,-2057.4933,-4675.1533,1346.626,-3328.5273
26,-3139.6065,-1545.482,0,3402.853,-2054.4935,-4685.0885,1348.3595,-3336.729
27,-3174.6173,-1541.9889,0,3389.1364,-2033.1631,-4716.6062,1355.9733,-3360.6329
28,-3146.9395,-1548.4911,0,3389.5143,-2039.9991,-4695.4306,1349.5152,-3345.9154
29,-3094.8642,-1550.8184,0,3385.8052,-2042.6329,-4645.6826,1343.1723,-3302.5103
30,-3128.703,-1550.6415,0,3383.9247,-2051.3044,-4679.3445,1332.6203,-3346.7242
31,-3127.1183,-1549.4604,0,3371.6539,-2022.785,-4676.5787,1348.8689,-3327.7098
32,-3155.1958,-1548.7198,0,3369.0078,-2013.8358,-4703.9156,1355.172,-3348.7436
33,-3131.0295,-1548.4903,0,3377.3191,-2021.5825,-4679.5198,1355.7366,-3323.7832
34,-3146.3214,-1554.3829,0,3380.3431,-2028.5924,-4700.7043,1351.7507,-3348.9536
35,-3135.5495,-1551.8423,0,3370.8506,-2018.093,-4687.3918,1352.7576,-3334.6342
36,-3149.943,-1548.9044,0,3370.2364,-2012.1236,-4698.8474,1358.1128,-3340.7346
37,-3157.1382,-1546.378,0,3384.7468,-2030.8555,-4703.5162,1353.8913,-3349.6249
38,-3138.7858,-1551.3944,0,3371.9657,-2019.3475,-4690.1802,1352.6182,-3337.562
39,-3150.1701,-1546.1575,0,3404.8045,-2042.0834,-4696.3276,1362.7211,-3333.6065
40,-3127.4977,-1547.3246,0,3385.654,-2034.2796,-4674.8223,1351.3744,-3323.4479
41,-3118.6501,-1548.6984,0,3383.731,-2029.3346,-4667.3485,1354.3964,-3312.9521
42,-3111.1805,-1548.2016,0,3375.2307,-2021.0739,-4659.3821,1354.1568,-3305.2253
43,-3170.3227,-1549.3603,0,3386.1029,-2026.5429,-4719.683,1359.56,-3360.123
44,-3113.0663,-1548.7387,0,3394.7686,-2033.9541,-4661.805,1360.8145,-3300.9905
45,-3133.5425,-1548.4718,0,3389.916,-2033.4507,-4682.0143,1356.4653,-3325.549
