POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1253.7133,3184.482,2212.7479,0,0,0,-3186.2606,-1547.4275,1584.4816,818.760255,0,3358.7215,-1987.83,4320.496955,1370.8915,5691.388455
1,1254.7455,3225.6301,2179.0069,0,0,0,-3170.0975,-1545.1984,1605.0133,816.279585,0,3361.1785,-1995.1165,4365.379485,1366.062,5731.441485
2,1261.1716,3193.9497,2199.0891,0,0,0,-3183.9776,-1553.7813,1583.5282,820.778295,0,3350.5615,-1979.6714,4320.757995,1370.8901,5691.648095
3,1220.1261,3275.015,2194.6062,0,0,0,-3205.323,-1545.9001,1584.7015,818.438555,0,3346.8003,-1969.906,4341.664255,1376.8943,5718.558555
4,1245.8038,3282.0317,2187.0548,0,0,0,-3216.4263,-1545.793,1565.6346,817.669875,0,3355.6692,-1980.0387,4335.975475,1375.6305,5711.605975
5,1279.9232,3214.7688,2163.2481,0,0,0,-3203.2608,-1549.0376,1594.2992,818.84834,0,3344.1496,-1970.7908,4318.78924,1373.3588,5692.14804
6,1293.76,3225.3977,2178.724,0,0,0,-3182.9962,-1554.1596,1605.793,820.33976,0,3344.5371,-1981.7405,4386.85866,1362.7966,5749.65526
7,1275.5453,3207.9433,2187.0249,0,0,0,-3175.7719,-1550.2926,1577.2774,819.205245,0,3335.7155,-1973.8991,4340.931645,1361.8164,5702.748045
8,1284.4093,3214.6477,2191.7959,0,0,0,-3163.2415,-1549.8228,1596.0947,819.204995,0,3352.5271,-1982.556,4393.088295,1369.9711,5763.059395
9,1317.8214,3289.1553,2198.153,0,0,0,-3183.7849,-1549.5258,1563.9072,818.02651,0,3351.5206,-1974.2906,4453.75271,1377.23,5830.98271
10,1194.821,3229.6065,2207.7953,0,0,0,-3199.3279,-1547.5255,1585.3843,820.53617,0,3344.1544,-1983.1407,4291.28987,1361.0137,5652.30357
11,1238.4148,3225.0483,2202.1905,0,0,0,-3140.8278,-1555.9639,1617.8167,818.45129,0,3341.3477,-1992.6627,4405.12989,1348.685,5753.81489
12,1233.081,3281.8018,2220.3698,0,0,0,-3208.6567,-1549.6138,1564.534,819.30649,0,3355.3715,-1985.6226,4360.82259,1369.7489,5730.57149
13,1239.1119,3218.636,2201.743,0,0,0,-3138.4549,-1551.9523,1583.1638,818.42643,0,3365.0956,-1999.8019,4370.67393,1365.2937,5735.96763
14,1242.4604,3217.1295,2209.6162,0,0,0,-3210.1532,-1551.3168,1551.3197,821.544735,0,3348.3076,-1978.4051,4280.600535,1369.9025,5650.503035
15,1226.8349,3224.6431,2217.9436,0,0,0,-3217.3254,-1549.6654,1585.5808,821.846085,0,3361.0462,-1979.7787,4309.857685,1381.2675,5691.125185
16,1258.7521,3218.1485,2202.8223,0,0,0,-3224.68,-1548.1168,1575.4903,821.32853,0,3354.0249,-1981.9842,4303.74493,1372.0407,5675.78563
17,1259.7554,3136.8,2164.5487,0,0,0,-3160.8106,-1551.8661,1603.2065,821.50702,0,3365.8232,-2000.4009,4273.14092,1365.4223,5638.56322
18,1255.4223,3155.0942,2217.797,0,0,0,-3192.9505,-1552.2562,1584.9948,822.432205,0,3359.8555,-1992.07,4290.533805,1367.7855,5658.319305
19,1219.541,3212.5454,2217.2167,0,0,0,-3222.5712,-1554.0683,1578.2632,823.93993,0,3345.8648,-1975.9802,4274.86673,1369.8846,5644.75133
20,1246.348,3235.5631,2187.2998,0,0,0,-3192.1088,-1548.9894,1569.283,820.603645,0,3370.1277,-2001.3259,4317.999345,1368.8018,5686.801145
21,1255.8796,3148.2186,2227.3583,0,0,0,-3153.1415,-1554.6522,1582.5279,824.63935,0,3366.48,-2005.5041,4330.83005,1360.9759,5691.80595
22,1180.9972,3245.7879,2192.3687,0,0,0,-3197.2271,-1548.5474,1564.9254,819.273855,0,3361.9865,-1989.9288,4257.578555,1372.0577,5629.636255
23,1244.8502,3186.1489,2222.8261,0,0,0,-3201.5897,-1552.7404,1574.9559,820.82006,0,3358.2538,-1983.2747,4295.27106,1374.9791,5670.25016
24,1233.5137,3263.7867,2161.9773,0,0,0,-3204.783,-1555.2454,1589.483,823.1675,0,3348.8132,-1985.0562,4311.8998,1363.757,5675.6568
25,1261.9056,3274.2067,2200.651,0,0,0,-3196.2974,-1551.5994,1582.6324,817.976765,0,3343.9087,-1984.364,4389.475665,1359.5447,5749.020365
26,1218.9778,3237.4765,2195.9828,0,0,0,-3191.8704,-1552.4919,1582.528,819.54068,0,3361.8353,-1993.4111,4310.14348,1368.4242,5678.56768
27,1229.0193,3224.1584,2183.6758,0,0,0,-3218.8212,-1554.7946,1597.2867,820.375925,0,3328.8643,-1963.6699,4280.900325,1365.1944,5646.094725
28,1213.8385,3093.4182,2223.2169,0,0,0,-3133.8127,-1552.8212,1605.808,820.88232,0,3349.314,-1979.3388,4270.53002,1369.9752,5640.50522
29,1264.2879,3178.4588,2194.9084,0,0,0,-3149.9569,-1554.3309,1601.4981,820.218685,0,3347.3673,-1985.533,4355.084085,1361.8343,5716.918385
30,1254.0517,3236.0249,2207.8723,0,0,0,-3174.3701,-1554.3949,1588.722,822.166455,0,3366.3004,-1998.5257,4380.072355,1367.7747,5747.847055
31,1293.3421,3290.4456,2193.4698,0,0,0,-3113.3717,-1550.4681,1582.4724,817.03786,0,3370.3781,-2002.8713,4512.92796,1367.5068,5880.43476
32,1227.6987,3158.4574,2223.5002,0,0,0,-3214.1674,-1551.2328,1577.1002,823.588485,0,3367.888,-1997.4628,4244.944785,1370.4252,5615.369985
33,1205.7385,3166.0616,2156.4384,0,0,0,-3174.141,-1553.462,1591.4599,821.50209,0,3367.0233,-1995.5504,4213.59749,1371.4729,5585.07039
34,1237.2075,3178.2337,2201.7102,0,0,0,-3208.5518,-1554.167,1592.078,821.999545,0,3348.3974,-1985.4947,4268.510145,1362.9027,5631.412845
35,1271.1811,3285.8498,2192.1658,0,0,0,-3181.0628,-1555.5728,1558.2843,822.19262,0,3356.2551,-1989.2162,4393.03802,1367.0389,5760.07692
36,1271.7466,3251.8383,2227.5057,0,0,0,-3165.0154,-1552.7043,1580.0465,819.99304,0,3355.414,-1993.5014,4433.41044,1361.9126,5795.32304
37,1211.2098,3213.1342,2199.2849,0,0,0,-3194.4746,-1553.2422,1608.2122,821.450865,0,3337.2275,-1976.7482,4305.575165,1360.4793,5666.054465
38,1251.0383,3170.3592,2176.9484,0,0,0,-3197.226,-1549.3964,1577.9078,817.36929,0,3350.0937,-1982.1005,4247.00059,1367.9932,5614.99379
39,1250.5292,3262.9723,2207.9734,0,0,0,-3176.4348,-1551.8117,1586.3646,817.96189,0,3355.4707,-1989.725,4397.55489,1365.7457,5763.30059
40,1242.7849,3267.873,2180.9926,0,0,0,-3221.7695,-1549.509,1574.0729,819.455165,0,3351.8277,-1978.5481,4313.900065,1373.2796,5687.179665
41,1215.4798,3210.3487,2193.6472,0,0,0,-3155.1356,-1551.2076,1619.8766,819.43224,0,3346.9185,-1973.6922,4352.44134,1373.2263,5725.66764
42,1250.777,3194.8372,2208.3031,0,0,0,-3187.7818,-1550.9393,1582.9136,819.41453,0,3351.4876,-1980.341,4317.52433,1371.1466,5688.67093
43,1272.0217,3211.7509,2207.0678,0,0,0,-3173.3691,-1553.4887,1592.7643,818.40981,0,3348.2415,-1974.2908,4375.15671,1373.9507,5749.10741
44,1276.9812,3297.2629,2164.2594,0,0,0,-3195.793,-1546.2697,1598.8279,817.39546,0,3356.0944,-1984.2876,4412.66416,1371.8068,5784.47096
45,1209.7595,3245.7418,2195.8257,0,0,0,-3201.3877,-1548.0462,1583.1676,820.436895,0,3344.504,-1967.7961,4305.497595,1376.7079,5682.205495
46,1225.6317,3172.9629,2220.5014,0,0,0,-3203.3306,-1550.77,1608.6952,823.34522,0,3327.6925,-1959.3227,4297.03582,1368.3698,5665.40562
47,1253.5528,3264.2519,2201.8667,0,0,0,-3203.6976,-1547.3202,1592.9561,819.43705,0,3340.0483,-1972.4208,4381.04675,1367.6275,5748.67425
