POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3138.1394,-1548.3906,0,3404.3556,-2060.1872,-4686.53,1344.1684,-3342.3616
1,-3157.0432,-1544.7712,0,3407.0866,-2048.9046,-4701.8144,1358.182,-3343.6324
2,-3160.5607,-1545.2666,0,3392.4769,-2037.6012,-4705.8273,1354.8757,-3350.9516
3,-3141.1451,-1547.0641,0,3378.576,-2039.3959,-4688.2092,1339.1801,-3349.0291
4,-3167.7777,-1547.7017,0,3384.3783,-2037.0054,-4715.4794,1347.3729,-3368.1065
5,-3147.6621,-1544.2863,0,3396.9846,-2031.4201,-4691.9484,1365.5645,-3326.3839
6,-3130.4408,-1547.8698,0,3399.418,-2058.8069,-4678.3106,1340.6111,-3337.6995
7,-3125.152,-1551.9907,0,3399.1155,-2049.6487,-4677.1427,1349.4668,-3327.6759
8,-3133.1228,-1549.1037,0,3390.0483,-2034.2011,-4682.2265,1355.8472,-3326.3793
9,-3151.8476,-1552.0466,0,3394.915,-2034.4181,-4703.8942,1360.4969,-3343.3973
10,-3193.5277,-1547.5029,0,3386.1124,-2033.4781,-4741.0306,1352.6343,-3388.3963
11,-3154.5898,-1551.5483,0,3383.2679,-2032.792,-4706.1381,1350.4759,-3355.6622
12,-3189.9653,-1554.0259,0,3378.4957,-2023.6601,-4743.9912,1354.8356,-3389.1556
13,-3182.2846,-1550.401,0,3376.7285,-2022.5213,-4732.6856,1354.2072,-3378.4784
14,-3191.7459,-1547.631,0,3364.8262,-2021.5613,-4739.3769,1343.2649,-3396.112
15,-3162.777,-1544.7603,0,3371.9232,-2032.028,-4707.5373,1339.8952,-3367.6421
16,-3159.2647,-1547.8908,0,3373.988,-2028.7193,-4707.1555,1345.2687,-3361.8868
17,-3174.1666,-1549.1493,0,3377.1963,-2026.468,-4723.3159,1350.7283,-3372.5876
18,-3169.3546,-1548.0074,0,3372.3768,-2010.8215,-4717.362,1361.5553,-3355.8067
19,-3165.8815,-1545.8415,0,3385.6257,-2035.9651,-4711.723,1349.6606,-3362.0624
20,-3170.8617,-1544.7421,0,3381.737,-2023.0518,-4715.6038,1358.6852,-3356.9186
21,-3182.8684,-1543.4105,0,3384.6145,-2035.3831,-4726.2789,1349.2314,-3377.0475
22,-3164.1291,-1548.9836,0,3392.6517,-2040.5618,-4713.1127,1352.0899,-3361.0228
23,-3160.3122,-1539.5385,0,3383.0978,-2018.5946,-4699.8507,1364.5032,-3335.3475
24,-3155.4608,-1540.8695,0,3376.3127,-2023.9921,-4696.3303,1352.3206,-3344.0097
25,-3154.4624,-1552.0348,0,3373.0477,-2032.0084,-4706.4972,1341.0393,-3365.4579
26,-3139.3915,-1553.7527,0,3373.2131,-2024.2026,-4693.1442,1349.0105,-3344.1337
27,-3165.9077,-1551.3547,0,3383.2915,-2029.9291,-4717.2624,1353.3624,-3363.9
28,-3180.4445,-1551.898,0,3367.7085,-2010.6357,-4732.3425,1357.0728,-3375.2697
29,-3159.6754,-1548.3806,0,3378.0657,-2025.7283,-4708.056,1352.3374,-3355.7186
30,-3155.1955,-1548.5629,0,3375.1409,-2013.6461,-4703.7584,1361.4948,-3342.2636
31,-3143.2167,-1546.8002,0,3358.4569,-2004.2288,-4690.0169,1354.2281,-3335.7888
32,-3174.655,-1547.9305,0,3379.4926,-2032.5065,-4722.5855,1346.9861,-3375.5994
33,-3184.5901,-1546.7621,0,3374.2762,-2025.3011,-4731.3522,1348.9751,-3382.3771
34,-3180.8422,-1548.2718,0,3368.0818,-2016.4144,-4729.114,1351.6674,-3377.4466
35,-3190.8856,-1549.777,0,3390.8185,-2030.1146,-4740.6626,1360.7039,-3379.9587
36,-3161.722,-1545.346,0,3388.3378,-2032.5957,-4707.068,1355.7421,-3351.3259
37,-3174.2426,-1548.6423,0,3396.2805,-2041.9111,-4722.8849,1354.3694,-3368.5155
38,-3163.1102,-1545.1688,0,3393.0534,-2035.1042,-4708.279,1357.9492,-3350.3298
39,-3136.2695,-1549.459,0,3395.3025,-2036.8537,-4685.7285,1358.4488,-3327.2797
40,-3167.099,-1547.4323,0,3399.6731,-2038.0726,-4714.5313,1361.6005,-3352.9308
41,-3167.865,-1547.2882,0,3395.7561,-2032.7153,-4715.1532,1363.0408,-3352.1124
42,-3186.6826,-1549.5685,0,3377.4609,-2023.8862,-4736.2511,1353.5747,-3382.6764
43,-3191.8353,-1545.8178,0,3390.4688,-2025.2227,-4737.6531,1365.2461,-3372.407
44,-3167.963,-1545.0183,0,3398.799,-2039.3385,-4712.9813,1359.4605,-3353.5208
45,-3171.9172,-1546.3103,0,3387.5298,-2046.2789,-4718.2275,1341.2509,-3376.9766
46,-3114.1591,-1542.588,0,3404.9698,-2063.8739,-4656.7471,1341.0959,-3315.6512
47,-3141.0755,-1553.1458,0,3385.087,-2045.3672,-4694.2213,1339.7198,-3354.5015
48,-3145.753,-1545.3928,0,3397.4004,-2056.9645,-4691.1458,1340.4359,-3350.7099
49,-3123.8396,-1551.4278,0,3400.7457,-2058.3627,-4675.2674,1342.383,-3332.8844
50,-3143.0863,-1551.4655,0,3393.4786,-2045.7398,-4694.5518,1347.7388,-3346.813
51,-3114.716,-1546.8658,0,3401.9364,-2045.5446,-4661.5818,1356.3918,-3305.19
52,-3141.602,-1553.8817,0,3394.2441,-2050.0835,-4695.4837,1344.1606,-3351.3231
53,-3112.1744,-1554.3515,0,3400.1598,-2061.7135,-4666.5259,1338.4463,-3328.0796
54,-3159.56,-1547.0233,0,3389.7789,-2045.9793,-4706.5833,1343.7996,-3362.7837
55,-3159.8015,-1542.8543,0,3382.8285,-2032.3423,-4702.6558,1350.4862,-3352.1696
56,-3154.5576,-1546.1427,0,3399.8007,-2058.8395,-4700.7003,1340.9612,-3359.7391
57,-3159.6453,-1551.7477,0,3396.4601,-2038.0366,-4711.393,1358.4235,-3352.9695
58,-3144.5138,-1552.1765,0,3405.6455,-2058.5183,-4696.6903,1347.1272,-3349.5631
59,-3101.6039,-1550.5767,0,3394.4945,-2055.6612,-4652.1806,1338.8333,-3313.3473
60,-3143.7175,-1553.2552,0,3402.8908,-2062.3269,-4696.9727,1340.5639,-3356.4088
61,-3170.2551,-1555.9321,0,3370.397,-2033.2509,-4726.1872,1337.1461,-3389.0411
62,-3133.2051,-1549.4406,0,3395.2127,-2051.0834,-4682.6457,1344.1293,-3338.5164
63,-3110.6611,-1551.5229,0,3401.015,-2049.2917,-4662.184,1351.7233,-3310.4607
64,-3100.9434,-1552.6346,0,3394.4992,-2045.6807,-4653.578,1348.8185,-3304.7595
65,-3132.52,-1550.7705,0,3396.2805,-2053.9344,-4683.2905,1342.3461,-3340.9444
66,-3139.272,-1547.4792,0,3399.3896,-2047.7697,-4686.7512,1351.6199,-3335.1313
67,-3111.4838,-1556.3421,0,3371.668,-2019.9124,-4667.8259,1351.7556,-3316.0703
68,-3140.2335,-1551.6892,0,3398.3548,-2050.6042,-4691.9227,1347.7506,-3344.1721
69,-3117.9044,-1552.1218,0,3388.0449,-2032.5261,-4670.0262,1355.5188,-3314.5074
70,-3153.8334,-1553.9226,0,3385.2524,-2034.2821,-4707.756,1350.9703,-3356.7857
71,-3138.9644,-1552.7527,0,3376.9789,-2015.7502,-4691.7171,1361.2287,-3330.4884
72,-3087.2247,-1553.6893,0,3390.4735,-2041.105,-4640.914,1349.3685,-3291.5455
73,-3140.1029,-1551.1242,0,3382.6395,-2035.4632,-4691.2271,1347.1763,-3344.0508
74,-3139.5054,-1550.6755,0,3400.9205,-2044.8214,-4690.1809,1356.0991,-3334.0818
75,-3162.5723,-1549.4201,0,3399.8574,-2040.4827,-4711.9924,1359.3747,-3352.6177
76,-3122.2309,-1551.8351,0,3397.6697,-2045.0585,-4674.066,1352.6112,-3321.4548
77,-3124.3754,-1551.9956,0,3383.2821,-2036.4665,-4676.371,1346.8156,-3329.5554
78,-3132.4915,-1556.7239,0,3406.1889,-2045.522,-4689.2154,1360.6669,-3328.5485
79,-3159.1265,-1547.3191,0,3406.5291,-2040.9549,-4706.4456,1365.5742,-3340.8714
80,-3098.8795,-1553.0231,0,3401.3694,-2048.4465,-4651.9026,1352.9229,-3298.9797
81,-3120.9013,-1554.3011,0,3401.4308,-2045.4873,-4675.2024,1355.9435,-3319.2589
82,-3133.4572,-1554.2341,0,3391.2437,-2046.1134,-4687.6913,1345.1303,-3342.561
83,-3164.7247,-1551.8227,0,3392.5856,-2050.277,-4716.5474,1342.3086,-3374.2388
84,-3089.5281,-1550.3103,0,3398.7565,-2047.8702,-4639.8384,1350.8863,-3288.9521
85,-3145.6306,-1556.5266,0,3383.9625,-2041.9511,-4702.1572,1342.0114,-3360.1458
