POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1284.7401,3193.9427,2209.7698,0,0,0,-3188.4621,-1546.1233,1581.6229,819.275595,0,3381.1038,-2015.2327,4354.765695,1365.8711,5720.636795
1,1239.4825,3225.4631,2195.7138,0,0,0,-3186.5997,-1542.8737,1597.8863,819.42823,0,3386.0604,-2024.076,4348.50053,1361.9844,5710.48493
2,1239.6215,3211.3265,2210.883,0,0,0,-3190.4276,-1546.1754,1582.486,822.137265,0,3389.1883,-2020.6554,4329.851265,1368.5329,5698.384165
3,1239.4428,3218.0458,2173.4552,0,0,0,-3175.4335,-1549.0312,1560.7713,823.317765,0,3380.4849,-2021.0983,4290.568165,1359.3866,5649.954765
4,1243.8475,3288.8834,2208.5536,0,0,0,-3206.1988,-1549.1663,1575.2106,821.910595,0,3359.8177,-2003.5156,4383.040595,1356.3021,5739.342695
5,1159.8306,3208.4172,2187.9385,0,0,0,-3222.2678,-1549.71,1615.7799,823.62094,0,3375.7032,-2012.5354,4223.60934,1363.1678,5586.77714
6,1232.2366,3350.8634,2193.4798,0,0,0,-3180.1497,-1546.6644,1553.7222,818.84672,0,3381.7984,-2018.7788,4422.33462,1363.0196,5785.35422
7,1268.5789,3206.4186,2192.7343,0,0,0,-3190.0944,-1548.5442,1607.0441,823.868925,0,3369.6079,-2002.7245,4360.006225,1366.8834,5726.889625
8,1236.8022,3240.6215,2167.4605,0,0,0,-3179.9459,-1550.2872,1565.8943,822.33879,0,3390.0294,-2039.5145,4302.88419,1350.5149,5653.39909
9,1267.5884,3261.5033,2194.8503,0,0,0,-3165.028,-1546.8413,1585.6644,819.936145,0,3372.3862,-2014.7498,4417.673245,1357.6364,5775.309645
10,1232.5924,3229.9346,2199.0813,0,0,0,-3145.8958,-1546.1258,1618.3997,820.68692,0,3376.7947,-2030.6001,4408.67332,1346.1946,5754.86792
11,1247.7564,3239.1913,2220.7617,0,0,0,-3177.5111,-1553.254,1588.4483,824.122155,0,3382.0205,-2040.2359,4389.514755,1341.7846,5731.299355
12,1247.7384,3252.7612,2168.9528,0,0,0,-3207.0957,-1549.2319,1604.7359,823.007495,0,3390.0105,-2037.9798,4340.868195,1352.0307,5692.898895
13,1271.8485,3205.3335,2146.5614,0,0,0,-3146.838,-1551.9413,1571.908,823.33208,0,3389.108,-2043.7748,4320.20418,1345.3332,5665.53738
14,1198.0251,3214.3905,2173.581,0,0,0,-3173.9436,-1546.1733,1633.0401,822.91156,0,3370.5907,-2036.9698,4321.83136,1333.6209,5655.45226
15,1231.6528,3241.5384,2220.2142,0,0,0,-3181.08,-1541.8664,1576.0494,820.315395,0,3403.7697,-2044.7877,4366.823795,1358.982,5725.805795
16,1171.0705,3166.9846,2178.9235,0,0,0,-3167.2812,-1543.2135,1574.6422,822.16535,0,3391.6075,-2027.2556,4203.29145,1364.3519,5567.64335
17,1262.8111,3207.6309,2158.3234,0,0,0,-3158.9111,-1550.9869,1589.2191,824.89667,0,3386.2872,-2028.9264,4332.98317,1357.3608,5690.34397
