POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3180.236,-1549.2973,0,3369.0267,-2031.3091,-4729.5333,1337.7176,-3391.8157
1,-3159.9332,-1554.7415,0,3386.1312,-2041.0339,-4714.6747,1345.0973,-3369.5774
2,-3150.8689,-1552.7074,0,3383.7688,-2028.8022,-4703.5763,1354.9666,-3348.6097
3,-3187.6622,-1548.6708,0,3366.2201,-2008.3265,-4736.333,1357.8936,-3378.4394
4,-3207.7467,-1551.7447,0,3366.7162,-2011.9806,-4759.4914,1354.7356,-3404.7558
5,-3144.2162,-1547.4136,0,3384.9075,-2031.1507,-4691.6298,1353.7568,-3337.873
6,-3183.3712,-1552.1046,0,3374.4085,-2024.9102,-4735.4758,1349.4983,-3385.9775
7,-3207.616,-1543.8141,0,3365.5161,-2010.3602,-4751.4301,1355.1559,-3396.2742
8,-3168.1021,-1545.8243,0,3393.1998,-2035.6974,-4713.9264,1357.5024,-3356.424
9,-3208.4007,-1546.6433,0,3379.7194,-2031.4447,-4755.044,1348.2747,-3406.7693
10,-3191.8644,-1547.7179,0,3365.6247,-2007.5428,-4739.5823,1358.0819,-3381.5004
11,-3179.3166,-1541.27,0,3368.3038,-2004.8684,-4720.5866,1363.4354,-3357.1512
12,-3196.3191,-1549.9054,0,3366.8769,-2009.9148,-4746.2245,1356.9621,-3389.2624
13,-3156.3263,-1551.0783,0,3366.4941,-2019.7033,-4707.4046,1346.7908,-3360.6138
14,-3243.0683,-1545.5669,0,3353.6752,-1994.9498,-4788.6352,1358.7254,-3429.9098
15,-3195.2146,-1545.9078,0,3361.0368,-2008.2442,-4741.1224,1352.7926,-3388.3298
16,-3161.7104,-1548.0568,0,3369.641,-2009.6732,-4709.7672,1359.9678,-3349.7994
17,-3178.7544,-1547.0376,0,3374.4274,-2005.1861,-4725.792,1369.2413,-3356.5507
18,-3202.6046,-1550.2207,0,3359.3122,-1993.3655,-4752.8253,1365.9467,-3386.8786
19,-3191.9034,-1544.5599,0,3376.5867,-2009.104,-4736.4633,1367.4827,-3368.9806
20,-3187.0034,-1553.7583,0,3353.8075,-1984.8755,-4740.7617,1368.932,-3371.8297
21,-3222.0057,-1548.6429,0,3362.4023,-1990.7408,-4770.6486,1371.6615,-3398.9871
22,-3203.2887,-1551.1814,0,3352.6216,-1985.4277,-4754.4701,1367.1939,-3387.2762
23,-3239.1964,-1545.0159,0,3345.5624,-1983.1243,-4784.2123,1362.4381,-3421.7742
24,-3229.1872,-1545.6455,0,3355.3148,-1980.8913,-4774.8327,1374.4235,-3400.4092
25,-3243.3946,-1544.8615,0,3374.4747,-2007.5021,-4788.2561,1366.9726,-3421.2835
26,-3218.5591,-1547.2078,0,3366.858,-1979.8137,-4765.7669,1387.0443,-3378.7226
27,-3200.1539,-1545.1254,0,3352.3617,-1983.4925,-4745.2793,1368.8692,-3376.4101
28,-3214.2381,-1552.4932,0,3338.7064,-1976.1842,-4766.7313,1362.5222,-3404.2091
29,-3182.7687,-1548.0691,0,3345.3545,-1977.4432,-4730.8378,1367.9113,-3362.9265
30,-3174.1377,-1550.5211,0,3363.267,-1993.3474,-4724.6588,1369.9196,-3354.7392
31,-3253.9113,-1540.5846,0,3350.7835,-1981.4418,-4794.4959,1369.3417,-3425.1542
32,-3222.1777,-1543.7091,0,3351.6104,-1977.099,-4765.8868,1374.5114,-3391.3754
33,-3206.1431,-1545.3943,0,3346.4413,-1990.5106,-4751.5374,1355.9307,-3395.6067
34,-3193.5677,-1548.2119,0,3342.7369,-1979.5054,-4741.7796,1363.2315,-3378.5481
35,-3199.329,-1544.1495,0,3349.5928,-1984.6006,-4743.4785,1364.9922,-3378.4863
36,-3227.1468,-1543.7871,0,3357.3844,-1992.0599,-4770.9339,1365.3245,-3405.6094
37,-3185.3695,-1548.4665,0,3350.3772,-1990.7528,-4733.836,1359.6244,-3374.2116
38,-3216.8849,-1546.0822,0,3337.048,-1986.3903,-4762.9671,1350.6577,-3412.3094
39,-3205.8345,-1548.2212,0,3361.6416,-1998.485,-4754.0557,1363.1566,-3390.8991
40,-3204.6534,-1547.1378,0,3362.9268,-2008.969,-4751.7912,1353.9578,-3397.8334
41,-3141.7973,-1549.2572,0,3373.1706,-2014.1855,-4691.0545,1358.9851,-3332.0694
42,-3182.8813,-1546.5929,0,3357.871,-1996.1331,-4729.4742,1361.7379,-3367.7363
43,-3208.2226,-1547.0082,0,3347.5138,-1981.8905,-4755.2308,1365.6233,-3389.6075
44,-3271.7041,-1543.0446,0,3365.2798,-1995.11,-4814.7487,1370.1698,-3444.5789
45,-3189.056,-1546.4355,0,3371.7106,-2003.1564,-4735.4915,1368.5542,-3366.9373
46,-3217.5182,-1542.2344,0,3368.5306,-2004.6185,-4759.7526,1363.9121,-3395.8405
47,-3158.831,-1549.8152,0,3355.0691,-1995.4179,-4708.6462,1359.6512,-3348.995
48,-3220.2202,-1546.4434,0,3353.4437,-1989.9539,-4766.6636,1363.4898,-3403.1738
