POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1229.5395,3265.8493,2175.7197,0,0,0,-3252.4537,-1546.7489,1580.5884,824.52674,0,3348.421,-1960.3807,4277.02104,1388.0403,5665.06134
1,1223.2612,3224.4526,2157.698,0,0,0,-3248.6027,-1550.5847,1587.8071,827.025165,0,3326.4687,-1949.6841,4221.056665,1376.7846,5597.841265
2,1263.4494,3251.513,2168.7933,0,0,0,-3210.5282,-1553.1979,1588.6297,828.179805,0,3341.1823,-1966.0265,4336.839105,1375.1558,5711.994905
3,1263.9327,3225.1284,2182.7696,0,0,0,-3251.6997,-1547.4461,1583.1419,824.98513,0,3341.48,-1961.2745,4280.81193,1380.2055,5661.01743
4,1207.8629,3297.505,2205.7148,0,0,0,-3213.7703,-1552.1202,1591.2901,828.802445,0,3339.0466,-1953.4992,4365.284745,1385.5474,5750.832145
5,1228.0482,3250.002,2217.4049,0,0,0,-3218.156,-1558.0423,1618.308,829.92887,0,3329.5588,-1960.773,4367.49367,1368.7858,5736.27947
6,1253.9461,3228.7358,2200.0177,0,0,0,-3215.6136,-1555.3152,1582.1847,830.898515,0,3342.1651,-1965.085,4324.854015,1377.0801,5701.934115
7,1188.7298,3215.283,2239.257,0,0,0,-3235.7988,-1554.5478,1603.8179,828.579355,0,3323.988,-1945.9599,4285.320455,1378.0281,5663.348555
8,1297.0754,3162.9374,2204.86,0,0,0,-3223.42,-1559.7674,1600.3432,833.65338,0,3314.8972,-1924.7711,4315.68198,1390.1261,5705.80808
9,1272.0226,3260.2623,2193.9312,0,0,0,-3214.6144,-1557.699,1583.4284,831.715135,0,3328.5477,-1940.082,4369.046235,1388.4657,5757.511935
10,1300.7489,3242.562,2187.7134,0,0,0,-3238.4268,-1552.858,1583.1277,827.767905,0,3320.0521,-1937.9153,4350.635105,1382.1368,5732.771905
11,1214.6531,3284.9642,2236.3743,0,0,0,-3248.1341,-1555.8792,1561.4486,825.582025,0,3331.978,-1950.3292,4319.008925,1381.6488,5700.657725
12,1234.6001,3256.2363,2250.2961,0,0,0,-3228.8126,-1550.6601,1577.6286,824.61178,0,3323.4825,-1939.2834,4363.90018,1384.1991,5748.09928
13,1286.4037,3253.8388,2214.6687,0,0,0,-3259.1261,-1548.9748,1568.6879,824.231835,0,3320.9688,-1938.7762,4339.730035,1382.1926,5721.922635
14,1261.9891,3296.1811,2171.721,0,0,0,-3213.7069,-1556.1731,1587.2387,829.59084,0,3335.8242,-1953.0244,4376.84074,1382.7998,5759.64054
15,1244.0876,3253.3398,2214.0928,0,0,0,-3235.2133,-1559.8433,1578.39,831.907505,0,3332.9325,-1950.228,4326.761105,1382.7045,5709.465605
16,1238.6172,3228.2839,2188.9644,0,0,0,-3228.5022,-1553.8773,1593.6876,829.68757,0,3334.5437,-1948.1204,4296.86117,1386.4233,5683.28447
17,1238.6031,3194.5679,2198.1391,0,0,0,-3211.5159,-1552.9127,1582.9408,831.16615,0,3327.7066,-1937.9547,4280.98845,1389.7519,5670.74035
18,1282.2551,3286.7785,2211.7145,0,0,0,-3225.737,-1551.6643,1605.5527,829.390895,0,3339.3018,-1962.9183,4438.290395,1376.3835,5814.673895
19,1277.385,3293.0621,2184.7887,0,0,0,-3251.8024,-1552.0756,1592.3799,824.423905,0,3323.7093,-1943.1047,4368.161605,1380.6046,5748.766205
20,1227.5038,3215.1786,2187.9178,0,0,0,-3212.7995,-1553.0133,1604.7483,825.70422,0,3330.9291,-1953.5694,4295.23992,1377.3597,5672.59962
21,1247.1843,3334.8831,2189.5419,0,0,0,-3211.8852,-1552.6548,1604.1582,827.19314,0,3326.8845,-1944.3291,4438.42064,1382.5554,5820.97604
22,1242.962,3313.496,2240.88,0,0,0,-3233.8164,-1549.1707,1584.1856,823.46103,0,3334.9406,-1957.6274,4421.99753,1377.3132,5799.31073
23,1243.7685,3283.5559,2157.8034,0,0,0,-3223.1905,-1553.3741,1591.1484,827.86931,0,3330.5227,-1951.4336,4327.58091,1379.0891,5706.67001
24,1255.3973,3250.6074,2256.7068,0,0,0,-3256.5589,-1557.8326,1614.0475,829.26891,0,3323.5864,-1940.587,4391.63641,1382.9994,5774.63581
25,1247.3645,3385.9595,2222.7172,0,0,0,-3241.68,-1558.9535,1577.8979,831.294365,0,3324.8622,-1936.8628,4464.599965,1387.9994,5852.599365
26,1284.5009,3210.5429,2204.401,0,0,0,-3203.553,-1554.9884,1595.0215,825.98663,0,3333.353,-1943.7426,4361.91153,1389.6104,5751.52193
27,1259.9397,3301.1,2239.5077,0,0,0,-3211.04,-1551.7342,1585.4742,822.824265,0,3329.9416,-1950.0087,4446.071665,1379.9329,5826.004565
28,1222.9305,3272.8679,2179.8945,0,0,0,-3253.2061,-1549.2608,1571.963,823.49233,0,3333.4711,-1944.3173,4268.68133,1389.1538,5657.83513
