POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3154.9889,-1538.4074,0,3410.6162,-2035.1159,-4693.3963,1375.5003,-3317.896
1,-3119.9061,-1538.6641,0,3394.915,-2045.4884,-4658.5702,1349.4266,-3309.1436
2,-3171.4985,-1540.7201,0,3388.6591,-2041.4054,-4712.2186,1347.2537,-3364.9649
3,-3176.6027,-1539.6877,0,3386.5707,-2038.3863,-4716.2904,1348.1844,-3368.106
4,-3156.5879,-1537.6156,0,3391.8202,-2027.3848,-4694.2035,1364.4354,-3329.7681
5,-3180.5889,-1542.9042,0,3398.8888,-2045.9257,-4723.4931,1352.9631,-3370.53
6,-3155.9375,-1544.2286,0,3405.2864,-2046.9899,-4700.1661,1358.2965,-3341.8696
7,-3201.9649,-1544.3437,0,3397.4949,-2047.844,-4746.3086,1349.6509,-3396.6577
8,-3128.8035,-1543.7681,0,3387.303,-2038.6915,-4672.5716,1348.6115,-3323.9601
9,-3145.2539,-1541.0279,0,3397.7264,-2056.1623,-4686.2818,1341.5641,-3344.7177
10,-3141.1459,-1544.2286,0,3407.2,-2049.3529,-4685.3745,1357.8471,-3327.5274
11,-3147.0838,-1542.6539,0,3393.5779,-2056.4399,-4689.7377,1337.138,-3352.5997
12,-3113.735,-1544.326,0,3399.9519,-2047.1151,-4658.061,1352.8368,-3305.2242
13,-3192.8924,-1542.0265,0,3393.5259,-2041.8363,-4734.9189,1351.6896,-3383.2293
14,-3157.7287,-1538.0641,0,3380.3148,-2026.3751,-4695.7928,1353.9397,-3341.8531
15,-3118.7227,-1547.7843,0,3378.8878,-2020.5414,-4666.507,1358.3464,-3308.1606
16,-3152.0271,-1544.2277,0,3397.7453,-2044.0991,-4696.2548,1353.6462,-3342.6086
17,-3162.2924,-1541.7715,0,3402.3286,-2043.9565,-4704.0639,1358.3721,-3345.6918
18,-3192.558,-1551.5884,0,3386.7219,-2020.3986,-4744.1464,1366.3233,-3377.8231
19,-3129.1511,-1546.3625,0,3406.8693,-2039.693,-4675.5136,1367.1763,-3308.3373
20,-3135.1996,-1544.5793,0,3420.8789,-2064.6574,-4679.7789,1356.2215,-3323.5574
21,-3159.4006,-1545.463,0,3396.342,-2041.5314,-4704.8636,1354.8106,-3350.053
22,-3183.4328,-1540.4832,0,3404.0579,-2035.3523,-4723.916,1368.7056,-3355.2104
23,-3159.7405,-1539.8333,0,3404.847,-2040.4355,-4699.5738,1364.4115,-3335.1623
24,-3164.647,-1543.3867,0,3402.6404,-2042.6226,-4708.0337,1360.0178,-3348.0159
25,-3175.1726,-1541.5588,0,3404.9793,-2038.6841,-4716.7314,1366.2952,-3350.4362
26,-3179.4751,-1541.8344,0,3413.6544,-2054.8343,-4721.3095,1358.8201,-3362.4894
27,-3120.8965,-1544.4506,0,3396.0632,-2040.782,-4665.3471,1355.2812,-3310.0659
28,-3194.7534,-1541.9519,0,3414.1789,-2051.5276,-4736.7053,1362.6513,-3374.054
29,-3117.6461,-1544.8729,0,3414.3773,-2069.3187,-4662.519,1345.0586,-3317.4604
30,-3171.5728,-1548.1737,0,3402.4608,-2046.7851,-4719.7465,1355.6757,-3364.0708
31,-3124.7383,-1548.4358,0,3397.4949,-2051.2122,-4673.1741,1346.2827,-3326.8914
32,-3142.1612,-1544.0175,0,3404.9793,-2054.2364,-4686.1787,1350.7429,-3335.4358
