POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1180.4495,3308.4553,2200.9773,0,0,0,-3337.2023,-1544.1766,1594.7773,788.903735,0,3273.903,-1847.2662,4192.184235,1426.6368,5618.821035
1,1286.7012,3305.827,2219.6543,0,0,0,-3325.7992,-1542.0125,1574.1456,787.159325,0,3278.9116,-1854.0584,4305.675725,1424.8532,5730.528925
2,1285.5638,3204.7181,2194.1595,0,0,0,-3318.3742,-1543.9197,1573.0293,790.983045,0,3277.22,-1856.2711,4186.159845,1420.9489,5607.108745
3,1271.2193,3194.1579,2212.7514,0,0,0,-3327.6417,-1542.5418,1609.7862,792.018985,0,3283.4617,-1854.7416,4209.750285,1428.7201,5638.470385
4,1269.719,3236.7137,2208.2728,0,0,0,-3365.433,-1537.2936,1616.8592,789.16979,0,3270.1703,-1834.7698,4218.00789,1435.4005,5653.40839
5,1257.9684,3290.0335,2208.8078,0,0,0,-3350.5995,-1538.0081,1583.5276,786.75063,0,3267.7086,-1840.8089,4238.48033,1426.8997,5665.38003
6,1237.2119,3259.7857,2184.7788,0,0,0,-3308.3738,-1544.4588,1603.9629,792.794545,0,3265.0531,-1840.8169,4225.701245,1424.2362,5649.937445
7,1247.6557,3243.2005,2228.9598,0,0,0,-3326.0554,-1542.3841,1586.4353,792.83821,0,3290.1382,-1860.2613,4230.65001,1429.8769,5660.52691
8,1231.8914,3207.6127,2201.6601,0,0,0,-3300.6738,-1542.0119,1597.1823,788.72857,0,3288.5128,-1869.4285,4184.38937,1419.0843,5603.47367
9,1264.1999,3282.4992,2213.5733,0,0,0,-3347.1999,-1540.7379,1612.3794,791.35509,0,3280.2771,-1854.5335,4276.06909,1425.7436,5701.81269
10,1279.1589,3242.7243,2224.5171,0,0,0,-3315.7139,-1543.3015,1582.4012,788.1597,0,3277.6311,-1850.9411,4257.9458,1426.69,5684.6358
11,1286.5063,3195.9681,2224.4732,0,0,0,-3334.8976,-1537.1663,1586.2886,786.91482,0,3279.3746,-1846.4926,4208.08712,1432.882,5640.96912
12,1227.0155,3333.3275,2181.6986,0,0,0,-3294.0364,-1541.57,1584.8657,790.655595,0,3281.8269,-1853.6245,4281.956495,1428.2024,5710.158895
13,1246.0548,3268.1341,2241.1182,0,0,0,-3296.9459,-1539.8941,1580.3251,783.52399,0,3291.4517,-1863.2651,4282.31619,1428.1866,5710.50279
14,1268.6412,3211.4462,2223.4505,0,0,0,-3357.295,-1536.4429,1584.7081,789.521405,0,3281.6379,-1848.7287,4184.029505,1432.9092,5616.938705
15,1212.2609,3282.3609,2180.6957,0,0,0,-3319.1826,-1538.1778,1575.1062,791.36727,0,3278.2642,-1856.4082,4184.43057,1421.856,5606.28657
16,1235.115,3326.8576,2190.1328,0,0,0,-3361.8378,-1530.8379,1562.5191,782.59504,0,3288.5033,-1857.62,4204.54384,1430.8833,5635.42714
17,1262.5278,3314.0377,2188.7868,0,0,0,-3344.9618,-1532.1195,1562.5683,787.324405,0,3273.0667,-1848.2203,4238.163705,1424.8464,5663.010105
18,1270.274,3266.6599,2208.6275,0,0,0,-3302.6543,-1535.3432,1595.0248,786.4136,0,3302.8201,-1873.5498,4289.0023,1429.2703,5718.2726
19,1232.5379,3164.5543,2194.4025,0,0,0,-3295.9879,-1546.7301,1594.3383,793.953895,0,3295.4113,-1868.4204,4137.068895,1426.9909,5564.059795
20,1227.3555,3240.8576,2203.4862,0,0,0,-3348.2433,-1545.3078,1594.7097,793.57693,0,3271.7674,-1846.8162,4166.43483,1424.9512,5591.38603
21,1239.9364,3174.6543,2164.3129,0,0,0,-3327.6368,-1542,1589.4482,791.07224,0,3289.5664,-1866.3269,4089.78724,1423.2395,5513.02674
22,1263.6575,3187.273,2238.7966,0,0,0,-3314.5802,-1547.1942,1616.6034,791.79105,0,3284.6808,-1858.309,4236.34715,1426.3718,5662.71895
23,1242.3316,3177.6658,2205.602,0,0,0,-3299.3078,-1541.9775,1588.5533,792.278775,0,3285.4887,-1866.6672,4165.146175,1418.8215,5583.967675
24,1294.1437,3209.1808,2174.3362,0,0,0,-3361.5481,-1546.725,1556.456,796.02385,0,3291.3052,-1864.4905,4121.86745,1426.8147,5548.68215
25,1223.3489,3278.7082,2190.1126,0,0,0,-3308.5439,-1537.136,1570.1383,791.138135,0,3293.2283,-1864.3379,4207.766235,1428.8904,5636.656635
26,1256.7636,3281.7316,2225.5539,0,0,0,-3282.7964,-1541.5212,1561.6801,791.44616,0,3292.4581,-1866.7918,4292.85776,1425.6663,5718.52406
27,1240.1012,3284.1099,2197.1507,0,0,0,-3324.0657,-1543.6559,1577.7721,791.818155,0,3281.5434,-1867.6024,4223.230455,1413.941,5637.171455
28,1283.2901,3235.1148,2203.6088,0,0,0,-3297.9543,-1551.8942,1582.4663,796.79843,0,3300.5143,-1870.8486,4251.42993,1429.6657,5681.09563
29,1274.6153,3205.2825,2222.9792,0,0,0,-3329.2883,-1549.2034,1574.1476,792.061045,0,3286.67,-1862.9648,4190.593945,1423.7052,5614.299145
30,1266.6666,3221.7608,2207.0871,0,0,0,-3305.4202,-1546.2695,1613.4282,793.890895,0,3283.0507,-1862.1385,4251.143895,1420.9122,5672.056095
31,1266.9346,3360.1029,2240.2572,0,0,0,-3309.0325,-1538.0896,1585.2478,787.28142,0,3289.4294,-1870.474,4392.70182,1418.9554,5811.65722
32,1251.7131,3194.0953,2184.5266,0,0,0,-3276.4747,-1537.1196,1566.2348,788.8154,0,3293.389,-1873.7585,4171.7909,1419.6305,5591.4214
33,1245.9333,3308.0584,2189.3739,0,0,0,-3279.4683,-1543.1498,1618.6824,793.38009,0,3297.736,-1888.3423,4332.80999,1409.3937,5742.20369
34,1209.2604,3218.2005,2180.2134,0,0,0,-3285.1605,-1538.1655,1611.1,789.96141,0,3295.5624,-1878.0745,4185.40971,1417.4879,5602.89761
35,1250.7606,3268.0122,2187.6055,0,0,0,-3274.3731,-1541.5578,1570.9746,789.77209,0,3286.5283,-1868.3812,4251.19409,1418.1471,5669.34119
36,1252.8055,3269.2598,2219.9137,0,0,0,-3340.8114,-1538.37,1610.1963,787.577175,0,3279.4786,-1865.9464,4260.571075,1413.5322,5674.103275
37,1286.1845,3270.0147,2175.4135,0,0,0,-3336.1024,-1539.0232,1613.0891,789.031395,0,3275.1079,-1857.8868,4258.607595,1417.2211,5675.828695
38,1285.7797,3236.5445,2174.9329,0,0,0,-3329.4913,-1541.0047,1598.9069,792.734145,0,3290.1901,-1870.539,4218.402145,1419.6511,5638.053245
39,1170.3343,3310.5776,2219.1887,0,0,0,-3313.3761,-1540.6717,1600.6887,791.517905,0,3281.5339,-1853.1543,4238.259405,1428.3796,5666.639005
40,1276.2821,3313.6884,2171.036,0,0,0,-3281.2458,-1542.1916,1592.5044,791.12791,0,3294.0079,-1864.0665,4321.20141,1429.9414,5751.14281
41,1291.3875,3271.477,2227.0607,0,0,0,-3307.8309,-1541.2717,1566.1151,789.927145,0,3294.5749,-1863.9629,4296.864845,1430.612,5727.476845
42,1313.8322,3260.9118,2168.6456,0,0,0,-3318.4016,-1539.9185,1588.5122,787.099555,0,3283.7925,-1863.4888,4260.681255,1420.3037,5680.984955
