POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3326.3027,-1542.612,0,3262.9033,-1819.8354,-4868.9147,1443.0679,-3425.8468
1,-3335.1251,-1538.0871,0,3254.7243,-1815.6893,-4873.2122,1439.035,-3434.1772
2,-3334.273,-1538.2548,0,3261.1219,-1811.7426,-4872.5278,1449.3793,-3423.1485
3,-3318.6405,-1543.4755,0,3252.7256,-1809.8701,-4862.116,1442.8555,-3419.2605
4,-3370.2353,-1537.6948,0,3249.7441,-1797.521,-4907.9301,1452.2231,-3455.707
5,-3356.7003,-1542.1403,0,3230.9292,-1785.8419,-4898.8406,1445.0873,-3453.7533
6,-3344.4077,-1544.0922,0,3245.4491,-1795.7202,-4888.4999,1449.7289,-3438.771
7,-3328.9976,-1538.8237,0,3253.2076,-1799.7862,-4867.8213,1453.4214,-3414.3999
8,-3347.8278,-1542.5117,0,3253.5997,-1801.6565,-4890.3395,1451.9432,-3438.3963
9,-3338.4071,-1540.7766,0,3261.8496,-1806.2935,-4879.1837,1455.5561,-3423.6276
10,-3351.9902,-1540.7262,0,3242.4818,-1796.4139,-4892.7164,1446.0679,-3446.6485
11,-3358.3974,-1547.2532,0,3250.1316,-1803.4108,-4905.6506,1446.7208,-3458.9298
12,-3329.6303,-1545.3837,0,3259.0571,-1811.6095,-4875.014,1447.4476,-3427.5664
13,-3333.5888,-1545.061,0,3242.5149,-1808.9452,-4878.6498,1433.5697,-3445.0801
14,-3341.4133,-1543.1604,0,3257.9798,-1805.4393,-4884.5737,1452.5405,-3432.0332
15,-3309.1306,-1548.3361,0,3257.6396,-1819.8714,-4857.4667,1437.7682,-3419.6985
16,-3337.357,-1548.6303,0,3238.7443,-1800.2439,-4885.9873,1438.5004,-3447.4869
17,-3338.3194,-1548.4683,0,3255.0314,-1812.1108,-4886.7877,1442.9206,-3443.8671
18,-3334.9554,-1541.3103,0,3262.3126,-1816.6968,-4876.2657,1445.6158,-3430.6499
19,-3320.4602,-1544.2911,0,3269.4805,-1821.8846,-4864.7513,1447.5959,-3417.1554
20,-3335.8615,-1546.1814,0,3247.6982,-1817.1574,-4882.0429,1430.5408,-3451.5021
21,-3282.5238,-1550.3357,0,3270.7515,-1818.333,-4832.8595,1452.4185,-3380.441
22,-3335.1905,-1544.3224,0,3262.993,-1825.722,-4879.5129,1437.271,-3442.2419
23,-3331.1646,-1543.8006,0,3262.9127,-1817.9858,-4874.9652,1444.9269,-3430.0383
24,-3296.3319,-1546.8913,0,3256.6379,-1810.6095,-4843.2232,1446.0284,-3397.1948
25,-3310.7596,-1543.3035,0,3264.4861,-1814.3725,-4854.0631,1450.1136,-3403.9495
26,-3295.2931,-1544.1934,0,3252.9052,-1802.4275,-4839.4865,1450.4777,-3389.0088
27,-3320.2469,-1543.7436,0,3243.5402,-1792.4498,-4863.9905,1451.0904,-3412.9001
28,-3402.643,-1538.3609,0,3258.4617,-1804.6147,-4941.0039,1453.847,-3487.1569
29,-3341.1348,-1546.0923,0,3266.206,-1815.6098,-4887.2271,1450.5962,-3436.6309
30,-3332.9944,-1543.0732,0,3250.3537,-1801.862,-4876.0676,1448.4917,-3427.5759
31,-3337.0292,-1543.5084,0,3260.3518,-1808.7289,-4880.5376,1451.6229,-3428.9147
32,-3367.5192,-1541.191,0,3259.3548,-1804.8746,-4908.7102,1454.4802,-3454.23
33,-3313.742,-1542.4545,0,3272.41,-1819.9293,-4856.1965,1452.4807,-3403.7158
34,-3342.7644,-1540.3511,0,3252.9855,-1797.296,-4883.1155,1455.6895,-3427.426
35,-3348.0243,-1543.5872,0,3247.8589,-1797.4783,-4891.6115,1450.3806,-3441.2309
36,-3316.4761,-1543.6548,0,3245.9311,-1801.3377,-4860.1309,1444.5934,-3415.5375
37,-3332.8142,-1544.43,0,3257.9136,-1813.6075,-4877.2442,1444.3061,-3432.9381
38,-3305.6608,-1546.9836,0,3252.7634,-1805.2966,-4852.6444,1447.4668,-3405.1776
39,-3340.3612,-1546.7987,0,3253.1225,-1811.9931,-4887.1599,1441.1294,-3446.0305
40,-3356.7164,-1539.9664,0,3250.8073,-1803.874,-4896.6828,1446.9333,-3449.7495
41,-3317.3665,-1537.3766,0,3263.9569,-1822.1674,-4854.7431,1441.7895,-3412.9536
42,-3299.5591,-1545.0961,0,3265.3744,-1824.6359,-4844.6552,1440.7385,-3403.9167
43,-3330.5922,-1537.2624,0,3257.323,-1817.2629,-4867.8546,1440.0601,-3427.7945
44,-3321.0022,-1538.2417,0,3262.3363,-1815.3128,-4859.2439,1447.0235,-3412.2204
45,-3310.7005,-1542.1622,0,3274.2574,-1833.01,-4852.8627,1441.2474,-3411.6153
46,-3358.4681,-1540.5307,0,3261.344,-1823.2149,-4898.9988,1438.1291,-3460.8697
47,-3336.2401,-1538.6293,0,3254.9842,-1817.3734,-4874.8694,1437.6108,-3437.2586
48,-3364.3461,-1544.408,0,3245.2601,-1805.3633,-4908.7541,1439.8968,-3468.8573
49,-3372.0564,-1537.5088,0,3255.3149,-1814.3991,-4909.5652,1440.9158,-3468.6494
50,-3320.9179,-1541.3423,0,3254.8944,-1825.6093,-4862.2602,1429.2851,-3432.9751
51,-3301.7057,-1544.1657,0,3260.0257,-1830.1966,-4845.8714,1429.8291,-3416.0423
52,-3357.5363,-1540.0792,0,3251.8657,-1816.7355,-4897.6155,1435.1302,-3462.4853
53,-3292.5588,-1543.175,0,3280.8016,-1850.817,-4835.7338,1429.9846,-3405.7492
54,-3314.1525,-1542.392,0,3257.2994,-1817.5407,-4856.5445,1439.7587,-3416.7858
55,-3309.0594,-1541.4643,0,3267.9023,-1830.7758,-4850.5237,1437.1265,-3413.3972
56,-3324.1223,-1545.0768,0,3260.7723,-1825.571,-4869.1991,1435.2013,-3433.9978
57,-3336.1496,-1548.625,0,3251.7617,-1824.8939,-4884.7746,1426.8678,-3457.9068
58,-3289.8587,-1545.352,0,3278.4958,-1841.0638,-4835.2107,1437.432,-3397.7787
59,-3313.7673,-1544.2256,0,3274.7299,-1840.5957,-4857.9929,1434.1342,-3423.8587
60,-3294.472,-1545.6181,0,3261.6039,-1822.5996,-4840.0901,1439.0043,-3401.0858
61,-3338.0158,-1538.5304,0,3259.9596,-1818.8948,-4876.5462,1441.0648,-3435.4814
62,-3335.3716,-1547.7504,0,3260.4604,-1823.3557,-4883.122,1437.1047,-3446.0173
63,-3329.8162,-1547.118,0,3264.5948,-1821.7538,-4876.9342,1442.841,-3434.0932
64,-3356.5887,-1539.8849,0,3260.2006,-1816.1133,-4896.4736,1444.0873,-3452.3863
65,-3336.0456,-1544.3878,0,3269.9341,-1817.8593,-4880.4334,1452.0748,-3428.3586
66,-3340.5393,-1545.6826,0,3267.8976,-1835.8109,-4886.2219,1432.0867,-3454.1352
67,-3288.5482,-1541.641,0,3261.7078,-1829.0538,-4830.1892,1432.654,-3397.5352
68,-3312.4214,-1542.829,0,3258.1074,-1827.5724,-4855.2504,1430.535,-3424.7154
69,-3311.8325,-1546.5334,0,3257.9467,-1822.2362,-4858.3659,1435.7105,-3422.6554
70,-3304.9722,-1544.784,0,3264.4058,-1828.4393,-4849.7562,1435.9665,-3413.7897
71,-3314.0612,-1546.5174,0,3266.0832,-1831.8784,-4860.5786,1434.2048,-3426.3738
72,-3309.537,-1546.1902,0,3261.9063,-1820.9035,-4855.7272,1441.0028,-3414.7244
73,-3316.1645,-1543.7432,0,3263.5742,-1817.6624,-4859.9077,1445.9118,-3413.9959
74,-3310.2077,-1543.2473,0,3257.375,-1827.7479,-4853.455,1429.6271,-3423.8279
75,-3278.5086,-1552.6384,0,3262.2607,-1823.2775,-4831.147,1438.9832,-3392.1638
76,-3314.3101,-1545.0522,0,3269.1875,-1818.6281,-4859.3623,1450.5594,-3408.8029
77,-3324.6038,-1546.8122,0,3270.2176,-1830.6866,-4871.416,1439.531,-3431.885
78,-3314.572,-1547.4507,0,3261.2778,-1823.6317,-4862.0227,1437.6461,-3424.3766
79,-3328.1521,-1546.7694,0,3265.6816,-1822.383,-4874.9215,1443.2986,-3431.6229
80,-3306.393,-1545.7202,0,3260.2006,-1829.9276,-4852.1132,1430.273,-3421.8402
81,-3347.0588,-1548.9493,0,3248.8653,-1807.1741,-4896.0081,1441.6912,-3454.3169
82,-3342.9295,-1546.4975,0,3271.6823,-1819.1138,-4889.427,1452.5685,-3436.8585
83,-3321.3588,-1545.3709,0,3264.3491,-1819.1064,-4866.7297,1445.2427,-3421.487
84,-3336.1084,-1550.6599,0,3250.0607,-1820.204,-4886.7683,1429.8567,-3456.9116
85,-3317.0672,-1545.8192,0,3274.437,-1823.3637,-4862.8864,1451.0733,-3411.8131
86,-3316.7989,-1545.8396,0,3253.7273,-1820.7803,-4862.6385,1432.947,-3429.6915
87,-3283.9474,-1551.7634,0,3262.8418,-1825.2175,-4835.7108,1437.6243,-3398.0865
88,-3253.5833,-1549.0324,0,3276.034,-1837.2773,-4802.6157,1438.7567,-3363.859
89,-3319.7582,-1544.7315,0,3276.2939,-1828.717,-4864.4897,1447.5769,-3416.9128
90,-3271.0642,-1543.2978,0,3279.3793,-1841.3107,-4814.362,1438.0686,-3376.2934
91,-3328.1254,-1545.5793,0,3270.142,-1830.1559,-4873.7047,1439.9861,-3433.7186
92,-3326.786,-1542.3526,0,3277.1728,-1834.8668,-4869.1386,1442.306,-3426.8326
93,-3324.0185,-1541.0149,0,3283.8728,-1842.0289,-4865.0334,1441.8439,-3423.1895
94,-3311.6045,-1541.529,0,3269.5891,-1825.9118,-4853.1335,1443.6773,-3409.4562
95,-3327.5215,-1543.8341,0,3272.4383,-1823.4773,-4871.3556,1448.961,-3422.3946
96,-3314.177,-1544.4192,0,3283.0601,-1837.5693,-4858.5962,1445.4908,-3413.1054
97,-3326.1293,-1541.2702,0,3274.3236,-1833.4735,-4867.3995,1440.8501,-3426.5494
98,-3324.6398,-1541.9627,0,3258.4806,-1819.855,-4866.6025,1438.6256,-3427.9769
99,-3377.0023,-1541.2598,0,3263.5837,-1820.7834,-4918.2621,1442.8003,-3475.4618
100,-3306.5415,-1538.8149,0,3280.3952,-1831.3641,-4845.3564,1449.0311,-3396.3253
101,-3342.7907,-1543.1739,0,3254.5494,-1808.5007,-4885.9646,1446.0487,-3439.9159
102,-3328.6898,-1542.3787,0,3253.4958,-1816.4095,-4871.0685,1437.0863,-3433.9822
103,-3347.5947,-1543.1026,0,3271.7957,-1818.4356,-4890.6973,1453.3601,-3437.3372
104,-3361.1432,-1545.5439,0,3258.6508,-1815.3793,-4906.6871,1443.2715,-3463.4156
105,-3315.2886,-1545.5497,0,3259.8084,-1822.8962,-4860.8383,1436.9122,-3423.9261
106,-3325.4979,-1543.2471,0,3271.3657,-1836.3754,-4868.745,1434.9903,-3433.7547
107,-3298.9214,-1544.6824,0,3273.4636,-1837.7839,-4843.6038,1435.6797,-3407.9241
108,-3288.5452,-1543.7858,0,3259.6383,-1819.403,-4832.331,1440.2353,-3392.0957
109,-3300.5111,-1545.1011,0,3269.0552,-1825.6627,-4845.6122,1443.3925,-3402.2197
110,-3293.924,-1549.2044,0,3269.5561,-1831.0418,-4843.1284,1438.5143,-3404.6141
111,-3309.2495,-1550.107,0,3255.4803,-1815.2658,-4859.3565,1440.2145,-3419.142
112,-3314.2281,-1546.0154,0,3273.0337,-1837.2654,-4860.2435,1435.7683,-3424.4752
113,-3322.8358,-1547.2933,0,3261.8496,-1822.5616,-4870.1291,1439.288,-3430.8411
114,-3334.312,-1545.2947,0,3261.6275,-1826.2302,-4879.6067,1435.3973,-3444.2094
115,-3280.3229,-1546.9809,0,3275.4245,-1833.5751,-4827.3038,1441.8494,-3385.4544
116,-3339.8978,-1552.2402,0,3246.2004,-1818.3684,-4892.138,1427.832,-3464.306
117,-3317.1307,-1552.983,0,3246.3091,-1829.2206,-4870.1137,1417.0885,-3453.0252
118,-3273.5648,-1552.0611,0,3265.5162,-1831.7931,-4825.6259,1433.7231,-3391.9028
119,-3280.8364,-1551.0025,0,3267.9212,-1841.6622,-4831.8389,1426.259,-3405.5799
120,-3341.0627,-1546.6026,0,3255.6882,-1814.5403,-4887.6653,1441.1479,-3446.5174
121,-3306.3122,-1550.9492,0,3266.8108,-1837.6783,-4857.2614,1429.1325,-3428.1289
122,-3296.4643,-1549.8057,0,3272.7076,-1843.0755,-4846.27,1429.6321,-3416.6379
123,-3283.7322,-1545.0328,0,3271.876,-1835.5502,-4828.765,1436.3258,-3392.4392
124,-3299.2986,-1551.1162,0,3276.3459,-1835.4864,-4850.4148,1440.8595,-3409.5553
125,-3300.3082,-1546.3067,0,3274.2811,-1828.5083,-4846.6149,1445.7728,-3400.8421
126,-3321.8063,-1545.6581,0,3280.6598,-1844.3576,-4867.4644,1436.3022,-3431.1622
127,-3332.4441,-1543.696,0,3256.6237,-1822.7798,-4876.1401,1433.8439,-3442.2962
128,-3303.4061,-1543.0998,0,3262.8844,-1827.9973,-4846.5059,1434.8871,-3411.6188
129,-3310.3221,-1549.6923,0,3274.522,-1843.4399,-4860.0144,1431.0821,-3428.9323
130,-3297.6521,-1554.5783,0,3255.9669,-1823.9201,-4852.2304,1432.0468,-3420.1836
131,-3339.8441,-1549.6527,0,3265.5303,-1817.8409,-4889.4968,1447.6894,-3441.8074
132,-3283.2225,-1546.3674,0,3273.1376,-1834.1603,-4829.5899,1438.9773,-3390.6126
133,-3333.1313,-1544.8234,0,3252.5838,-1816.5005,-4877.9547,1436.0833,-3441.8714
134,-3255.8686,-1552.216,0,3264.6988,-1836.1442,-4808.0846,1428.5546,-3379.53
135,-3291.421,-1545.5746,0,3284.6713,-1856.2855,-4836.9956,1428.3858,-3408.6098
136,-3319.2634,-1548.4976,0,3268.3512,-1840.6941,-4867.761,1427.6571,-3440.1039
137,-3302.7036,-1551.4119,0,3256.2315,-1824.7063,-4854.1155,1431.5252,-3422.5903
138,-3292.423,-1546.3317,0,3272.7265,-1824.3547,-4838.7547,1448.3718,-3390.3829
139,-3300.1539,-1547.6876,0,3252.1964,-1816.79,-4847.8415,1435.4064,-3412.4351
140,-3337.2868,-1543.8288,0,3247.2399,-1820.5298,-4881.1156,1426.7101,-3454.4055
141,-3295.7243,-1541.1478,0,3269.953,-1837.2261,-4836.8721,1432.7269,-3404.1452
142,-3308.8927,-1548.0955,0,3261.6842,-1827.2556,-4856.9882,1434.4286,-3422.5596
143,-3292.7997,-1548.5069,0,3271.9752,-1832.8639,-4841.3066,1439.1113,-3402.1953
144,-3258.7791,-1548.8141,0,3271.1578,-1836.6114,-4807.5932,1434.5464,-3373.0468
145,-3318.8802,-1549.6415,0,3283.2491,-1847.5906,-4868.5217,1435.6585,-3432.8632
146,-3284.2787,-1543.963,0,3276.5349,-1839.067,-4828.2417,1437.4679,-3390.7738
147,-3277.9891,-1545.1108,0,3268.285,-1826.3355,-4823.0999,1441.9495,-3381.1504
148,-3273.9918,-1545.0197,0,3270.2695,-1823.3991,-4819.0115,1446.8704,-3372.1411
149,-3272.487,-1546.2591,0,3269.7214,-1831.2956,-4818.7461,1438.4258,-3380.3203
150,-3268.9802,-1544.1487,0,3278.595,-1834.9118,-4813.1289,1443.6832,-3369.4457
151,-3330.941,-1544.7827,0,3269.5797,-1831.1289,-4875.7237,1438.4508,-3437.2729
152,-3304.7481,-1545.158,0,3266.2108,-1824.6095,-4849.9061,1441.6013,-3408.3048
153,-3287.3046,-1545.7805,0,3269.5324,-1837.9732,-4833.0851,1431.5592,-3401.5259
154,-3294.836,-1541.8925,0,3271.1578,-1830.6659,-4836.7285,1440.4919,-3396.2366
155,-3314.5177,-1543.7173,0,3280.8205,-1843.8821,-4858.235,1436.9384,-3421.2966
156,-3323.9003,-1542.769,0,3277.168,-1837.0866,-4866.6693,1440.0814,-3426.5879
