POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1254.9933,3257.3179,2183.2624,0,0,0,-3359.6124,-1537.3357,1558.7267,788.38087,0,3268.715,-1829.7637,4145.73307,1438.9513,5584.68437
1,1242.6899,3172.6796,2184.6275,0,0,0,-3311.65,-1542.8261,1613.226,791.60419,0,3266.499,-1834.2903,4150.35109,1432.2087,5582.55979
2,1229.8921,3248.4354,2191.0126,0,0,0,-3299.4169,-1541.4031,1576.671,789.95854,0,3266.9951,-1823.9501,4195.14964,1443.045,5638.19464
3,1259.5197,3243.6414,2237.2323,0,0,0,-3328.3513,-1545.7042,1594.4432,786.81354,0,3259.5674,-1827.2601,4247.59464,1432.3073,5679.90194
4,1191.6598,3299.9345,2209.653,0,0,0,-3320.5748,-1538.928,1602.0405,785.61401,0,3280.863,-1835.0342,4229.39901,1445.8288,5675.22781
5,1242.3305,3229.5063,2210.7521,0,0,0,-3337.1882,-1542.2193,1595.659,789.73221,0,3267.392,-1821.0195,4188.57261,1446.3725,5634.94511
6,1279.1366,3208.0189,2189.5436,0,0,0,-3343.5367,-1537.3922,1587.5063,789.10341,0,3272.1737,-1833.2829,4172.37991,1438.8908,5611.27071
7,1235.3151,3239.7007,2183.2371,0,0,0,-3336.7417,-1543.3465,1594.602,789.059665,0,3251.3743,-1816.3908,4161.826365,1434.9835,5596.809865
8,1246.1157,3232.6253,2203.9386,0,0,0,-3358.604,-1536.9495,1567.4743,790.642885,0,3268.5496,-1816.3153,4145.243285,1452.2343,5597.477585
9,1199.3856,3263.481,2199.5826,0,0,0,-3328.6809,-1542.6416,1557.5723,790.58793,0,3270.5341,-1823.3873,4139.28693,1447.1468,5586.43373
10,1262.1,3302.6315,2209.3917,0,0,0,-3312.068,-1541.7539,1588.5922,790.20342,0,3271.5075,-1836.0656,4299.09692,1435.4419,5734.53882
11,1251.8569,3247.9966,2225.2461,0,0,0,-3335.6896,-1536.488,1595.9197,789.50532,0,3262.015,-1831.3098,4238.34702,1430.7052,5669.05222
12,1259.3274,3205.6804,2192.267,0,0,0,-3317.6281,-1539.7593,1575.5597,788.42606,0,3259.78,-1821.6733,4163.87316,1438.1067,5601.97986
13,1248.4184,3346.0454,2186.6474,0,0,0,-3370.6125,-1538.2193,1571.4022,788.388465,0,3271.7863,-1836.9937,4232.070065,1434.7926,5666.862665
14,1236.4246,3275.2076,2210.1058,0,0,0,-3312.4323,-1539.3236,1572.1805,788.961925,0,3264.5665,-1830.5949,4231.124525,1433.9716,5665.096125
15,1278.5839,3200.4467,2203.6381,0,0,0,-3313.6826,-1535.6867,1624.0602,789.46964,0,3278.0563,-1846.5682,4246.82924,1431.4881,5678.31734
16,1219.3172,3326.7575,2169.2762,0,0,0,-3287.6403,-1537.1807,1592.283,788.32391,0,3279.814,-1849.24,4271.13681,1430.574,5701.71081
17,1195.8967,3220.5922,2210.0984,0,0,0,-3321.7095,-1533.6117,1565.1235,784.524815,0,3273.4069,-1836.3862,4120.914415,1437.0207,5557.935115
18,1246.0347,3162.1244,2172.0738,0,0,0,-3279.6244,-1539.5004,1604.0825,790.74079,0,3282.7624,-1849.7838,4155.93139,1432.9786,5588.90999
19,1189.7963,3288.6904,2180.6803,0,0,0,-3313.5299,-1533.1954,1591.0425,787.712165,0,3275.6324,-1838.8811,4191.196365,1436.7513,5627.947665
20,1238.0135,3205.9722,2207.6233,0,0,0,-3342.2112,-1533.0764,1608.243,785.40695,0,3260.21,-1824.2828,4169.97135,1435.9272,5605.89855
