POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3326.5773,-1549.9054,0,3260.1061,-1832.0932,-4876.4827,1428.0129,-3448.4698
1,-3315.9646,-1541.3799,0,3266.1068,-1836.3833,-4857.3445,1429.7235,-3427.621
2,-3279.6952,-1547.1339,0,3261.8212,-1832.5411,-4826.8291,1429.2801,-3397.549
3,-3314.5834,-1539.0007,0,3263.1442,-1829.5709,-4853.5841,1433.5733,-3420.0108
4,-3311.6396,-1539.2311,0,3275.037,-1840.5816,-4850.8707,1434.4554,-3416.4153
5,-3293.811,-1541.8118,0,3267.5999,-1832.4923,-4835.6228,1435.1076,-3400.5152
6,-3323.0822,-1539.8893,0,3282.9561,-1840.6619,-4862.9715,1442.2942,-3420.6773
7,-3300.8657,-1542.5923,0,3257.3372,-1830.7592,-4843.458,1426.578,-3416.88
8,-3356.2991,-1536.5156,0,3270.9877,-1831.3213,-4892.8147,1439.6664,-3453.1483
9,-3338.8369,-1532.6761,0,3280.4944,-1848.7496,-4871.513,1431.7448,-3439.7682
10,-3322.5405,-1534.5773,0,3265.8139,-1834.2323,-4857.1178,1431.5816,-3425.5362
11,-3332.7681,-1541.088,0,3274.196,-1844.0169,-4873.8561,1430.1791,-3443.677
12,-3306.5569,-1545.1522,0,3255.8205,-1826.9257,-4851.7091,1428.8948,-3422.8143
13,-3341.8114,-1535.3121,0,3266.2391,-1839.1325,-4877.1235,1427.1066,-3450.0169
14,-3303.8014,-1538.5798,0,3266.1446,-1837.4858,-4842.3812,1428.6588,-3413.7224
15,-3308.5216,-1543.076,0,3271.4697,-1833.7768,-4851.5976,1437.6929,-3413.9047
16,-3333.6635,-1541.2657,0,3275.2166,-1834.4251,-4874.9292,1440.7915,-3434.1377
17,-3296.7058,-1545.4169,0,3278.3587,-1845.047,-4842.1227,1433.3117,-3408.811
18,-3347.0399,-1540.6464,0,3267.2739,-1831.4774,-4887.6863,1435.7965,-3451.8898
19,-3299.2191,-1543.8445,0,3259.9501,-1820.0059,-4843.0636,1439.9442,-3403.1194
20,-3339.7032,-1548.2175,0,3259.265,-1818.4233,-4887.9207,1440.8417,-3447.079
21,-3300.3251,-1546.415,0,3252.6831,-1807.5956,-4846.7401,1445.0875,-3401.6526
22,-3351.3961,-1540.9016,0,3259.2414,-1818.9297,-4892.2977,1440.3117,-3451.986
23,-3352.4912,-1539.4893,0,3266.1257,-1821.3726,-4891.9805,1444.7531,-3447.2274
24,-3387.0281,-1541.8351,0,3248.4873,-1804.686,-4928.8632,1443.8013,-3485.0619
