POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1242.3533,3237.1511,2223.2737,0,0,0,-3345.4291,-1524.0185,1597.5188,750.300575,0,3236.585,-1783.803,4181.149875,1452.782,5633.931875
1,1240.7837,3235.1062,2180.9724,0,0,0,-3359.08,-1523.7787,1574.7422,746.95586,0,3249.8292,-1803.6245,4095.70166,1446.2047,5541.90636
2,1226.5018,3278.6069,2181.1512,0,0,0,-3349.2375,-1528.878,1594.5171,748.56871,0,3233.8823,-1789.1489,4151.23021,1444.7334,5595.96361
3,1241.3971,3225.3687,2260.4065,0,0,0,-3381.9024,-1526.212,1591.8508,751.26259,0,3256.6379,-1808.5127,4162.17129,1448.1252,5610.29649
4,1260.2967,3227.0233,2218.2946,0,0,0,-3346.6279,-1531.7481,1606.6423,753.53558,0,3245.0002,-1798.9285,4187.41648,1446.0717,5633.48818
5,1179.2382,3205.0714,2225.122,0,0,0,-3344.1702,-1533.9195,1582.1232,755.11006,0,3246.7674,-1811.46,4068.57516,1435.3074,5503.88256
6,1225.3318,3223.5943,2174.0914,0,0,0,-3302.2275,-1530.5676,1576.6447,751.43391,0,3251.8373,-1818.3248,4118.30101,1433.5125,5551.81351
7,1288.1396,3242.4245,2230.0525,0,0,0,-3321.3201,-1529.8676,1578.8249,749.443625,0,3245.8791,-1813.0016,4237.697425,1432.8775,5670.574925
8,1256.5862,3291.0302,2211.2793,0,0,0,-3311.1246,-1527.6336,1596.8122,747.854215,0,3256.7088,-1821.5792,4264.803915,1435.1296,5699.933515
9,1288.3267,3259.5955,2248.8657,0,0,0,-3310.4581,-1531.1869,1597.7697,750.362815,0,3245.1042,-1808.0177,4303.275415,1437.0865,5740.361915
10,1271.5427,3190.5932,2202.9603,0,0,0,-3334.3722,-1529.2472,1609.2751,751.83331,0,3250.5993,-1814.2769,4162.58521,1436.3224,5598.90761
11,1265.4272,3304.2764,2167.5895,0,0,0,-3320.5172,-1529.6211,1587.1032,751.83262,0,3246.3043,-1801.889,4226.09062,1444.4153,5670.50592
12,1300.1559,3199.5489,2241.718,0,0,0,-3358.8334,-1527.3845,1582.0394,751.227315,0,3252.1492,-1815.3025,4188.471615,1436.8467,5625.318315
13,1256.0499,3318.0895,2214.4599,0,0,0,-3309.4987,-1528.934,1588.2626,745.980235,0,3255.296,-1814.7844,4284.409435,1440.5116,5724.921035
14,1216.3721,3276.6769,2195.5819,0,0,0,-3336.5185,-1527.9945,1600.5841,749.655165,0,3250.4576,-1817.6249,4174.357165,1432.8327,5607.189865
15,1255.8165,3290.1285,2228.8433,0,0,0,-3342.5981,-1531.2527,1578.3915,752.215035,0,3243.389,-1807.5045,4231.544035,1435.8845,5667.428535
16,1255.1348,3298.8515,2215.0693,0,0,0,-3352.4606,-1528.8232,1605.1751,751.181345,0,3245.794,-1813.5732,4244.128245,1432.2208,5676.349045
17,1258.0609,3256.4949,2231.9551,0,0,0,-3292.9426,-1532.6186,1590.7868,750.960735,0,3242.4109,-1806.7997,4262.697235,1435.6112,5698.308435
18,1329.9578,3278.2694,2218.6427,0,0,0,-3353.476,-1532.9204,1587.2253,754.49065,0,3249.6355,-1809.1735,4282.18945,1440.462,5722.65145
19,1276.2136,3303.2561,2254.1581,0,0,0,-3383.9742,-1524.4993,1601.2189,749.161295,0,3243.8993,-1814.8071,4275.534495,1429.0922,5704.626695
20,1229.2026,3299.5405,2200.2517,0,0,0,-3325.5528,-1526.9152,1584.1589,747.25867,0,3250.5049,-1799.6065,4207.94437,1450.8984,5658.84277
21,1250.534,3295.301,2202.5404,0,0,0,-3361.6894,-1529.4329,1551.0145,752.02565,0,3232.0774,-1791.8372,4160.29325,1440.2402,5600.53345
22,1258.5123,3204.6509,2241.6147,0,0,0,-3350.2798,-1532.1222,1607.0353,753.03338,0,3240.0106,-1792.1645,4182.44458,1447.8461,5630.29068
23,1230.2782,3343.3471,2246.5869,0,0,0,-3328.105,-1527.2522,1591.498,752.573615,0,3236.8827,-1793.3275,4308.926615,1443.5552,5752.481815
24,1232.1004,3255.7325,2217.3563,0,0,0,-3378.3759,-1526.5288,1602.2343,749.58061,0,3234.6289,-1809.3629,4152.09941,1425.266,5577.36541
25,1271.193,3276.205,2205.1334,0,0,0,-3314.389,-1530.755,1580.6833,749.229975,0,3252.0452,-1806.6068,4237.300675,1445.4384,5682.739075
26,1245.5843,3244.3826,2256.6136,0,0,0,-3313.639,-1526.8085,1605.7809,750.82934,0,3256.4772,-1815.7758,4262.74324,1440.7014,5703.44464
27,1276.5617,3212.2326,2214.5355,0,0,0,-3349.9564,-1523.09,1613.6406,749.59208,0,3244.3907,-1798.7026,4193.51608,1445.6881,5639.20418
28,1241.1802,3237.0281,2217.8968,0,0,0,-3333.9824,-1525.7586,1585.8373,747.345025,0,3244.9482,-1787.5914,4169.546425,1457.3568,5626.903225
29,1232.0049,3304.6248,2211.7666,0,0,0,-3348.8603,-1528.8334,1580.039,750.163185,0,3238.527,-1788.3376,4200.904785,1450.1894,5651.094185
30,1213.6812,3295.0745,2225.0321,0,0,0,-3331.5783,-1532.5185,1584.0459,754.187165,0,3260.5124,-1813.549,4207.924065,1446.9634,5654.887465
31,1283.4485,3242.1313,2215.317,0,0,0,-3401.3112,-1527.5365,1586.8455,752.206685,0,3236.8732,-1795.5473,4151.101285,1441.3259,5592.427185
32,1287.1456,3215.5845,2224.8595,0,0,0,-3347.6924,-1527.9981,1574.6302,753.6381,0,3247.5706,-1802.3409,4180.1674,1445.2297,5625.3971
