POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3329.5934,-1530.4659,0,3238.234,-1791.5129,-4860.0593,1446.7211,-3413.3382
1,-3278.5814,-1531.4965,0,3254.2045,-1819.9657,-4810.0779,1434.2388,-3375.8391
2,-3317.1149,-1527.1814,0,3266.4234,-1827.5945,-4844.2963,1438.8289,-3405.4674
3,-3322.3272,-1524.3323,0,3265.4311,-1819.0025,-4846.6595,1446.4286,-3400.2309
4,-3333.5622,-1525.0204,0,3263.6026,-1819.5879,-4858.5826,1444.0147,-3414.5679
5,-3337.8605,-1527.9645,0,3262.9316,-1819.0792,-4865.825,1443.8524,-3421.9726
6,-3339.8955,-1522.8571,0,3254.3179,-1815.196,-4862.7526,1439.1219,-3423.6307
7,-3346.5997,-1528.1331,0,3256.7277,-1824.8381,-4874.7328,1431.8896,-3442.8432
8,-3351.2814,-1523.0009,0,3262.3693,-1811.5029,-4874.2823,1450.8664,-3423.4159
9,-3329.526,-1522.7821,0,3254.5684,-1813.2224,-4852.3081,1441.346,-3410.9621
10,-3332.0508,-1527.9263,0,3268.5024,-1825.7905,-4859.9771,1442.7119,-3417.2652
11,-3304.2163,-1525.9377,0,3266.7022,-1829.3721,-4830.154,1437.3301,-3392.8239
12,-3345.7028,-1525.2967,0,3260.5171,-1810.6443,-4870.9995,1449.8728,-3421.1267
13,-3351.4319,-1518.4674,0,3277.0404,-1833.1749,-4869.8993,1443.8655,-3426.0338
14,-3307.9359,-1522.3957,0,3271.687,-1817.7316,-4830.3316,1453.9554,-3376.3762
15,-3317.1685,-1523.1578,0,3272.358,-1839.7963,-4840.3263,1432.5617,-3407.7646
16,-3301.9495,-1524.686,0,3265.7052,-1827.3171,-4826.6355,1438.3881,-3388.2474
17,-3369.413,-1518.0597,0,3277.9004,-1830.481,-4887.4727,1447.4194,-3440.0533
18,-3271.1126,-1530.4369,0,3270.0002,-1823.2541,-4801.5495,1446.7461,-3354.8034
19,-3336.7502,-1525.3846,0,3261.8448,-1809.0239,-4862.1348,1452.8209,-3409.3139
20,-3301.9035,-1528.1589,0,3269.0552,-1824.5212,-4830.0624,1444.534,-3385.5284
21,-3316.7721,-1529.732,0,3252.22,-1814.1746,-4846.5041,1438.0454,-3408.4587
22,-3385.9901,-1526.9091,0,3254.677,-1809.9135,-4912.8992,1444.7635,-3468.1357
23,-3325.7962,-1522.4832,0,3279.5352,-1835.6769,-4848.2794,1443.8583,-3404.4211
24,-3282.1757,-1525.4925,0,3260.9046,-1817.1752,-4807.6682,1443.7294,-3363.9388
25,-3357.8333,-1524.088,0,3263.749,-1833.1397,-4881.9213,1430.6093,-3451.312
26,-3316.11,-1526.8458,0,3273.7849,-1829.7905,-4842.9558,1443.9944,-3398.9614
27,-3309.5852,-1527.8398,0,3270.6286,-1826.2445,-4837.425,1444.3841,-3393.0409
28,-3318.9786,-1528.689,0,3273.9881,-1834.206,-4847.6676,1439.7821,-3407.8855
29,-3283.49,-1532.7779,0,3282.2616,-1843.7707,-4816.2679,1438.4909,-3377.777
30,-3278.5071,-1530.5124,0,3262.4686,-1820.8581,-4809.0195,1441.6105,-3367.409
31,-3294.0749,-1527.0049,0,3265.5209,-1831.2565,-4821.0798,1434.2644,-3386.8154
32,-3312.1395,-1525.8525,0,3254.2707,-1810.0454,-4837.992,1444.2253,-3393.7667
33,-3319.6863,-1530.1049,0,3255.7732,-1814.3273,-4849.7912,1441.4459,-3408.3453
34,-3287.1291,-1530.8078,0,3269.178,-1838.9164,-4817.9369,1430.2616,-3387.6753
35,-3345.7573,-1522.8257,0,3267.5763,-1828.1133,-4868.583,1439.463,-3429.12
36,-3331.6256,-1523.5448,0,3254.7621,-1818.0285,-4855.1704,1436.7336,-3418.4368
37,-3323.3585,-1523.9341,0,3262.0528,-1823.3142,-4847.2926,1438.7386,-3408.554
38,-3322.6271,-1520.7133,0,3277.083,-1827.8707,-4843.3404,1449.2123,-3394.1281
39,-3328.0071,-1524.989,0,3261.7173,-1825.5163,-4852.9961,1436.201,-3416.7951
40,-3302.701,-1529.2886,0,3263.8388,-1844.5323,-4831.9896,1419.3065,-3412.6831
41,-3286.7433,-1525.0471,0,3257.805,-1824.7223,-4811.7904,1433.0827,-3378.7077
42,-3337.6273,-1520.7205,0,3269.8537,-1835.0667,-4858.3478,1434.787,-3423.5608
43,-3297.4164,-1525.6722,0,3263.5648,-1833.4753,-4823.0886,1430.0895,-3392.9991
44,-3342.5675,-1522.3997,0,3264.9728,-1826.306,-4864.9672,1438.6668,-3426.3004
45,-3370.1888,-1519.3764,0,3265.9698,-1822.5243,-4889.5652,1443.4455,-3446.1197
46,-3308.101,-1522.9275,0,3264.7696,-1838.5888,-4831.0285,1426.1808,-3404.8477
47,-3294.9027,-1519.8575,0,3280.4944,-1846.1756,-4814.7602,1434.3188,-3380.4414
48,-3338.3975,-1522.1678,0,3286.7125,-1848.0606,-4860.5653,1438.6519,-3421.9134
49,-3334.9722,-1522.4093,0,3266.5699,-1830.4254,-4857.3815,1436.1445,-3421.237
50,-3301.3145,-1518.4383,0,3257.3939,-1824.0954,-4819.7528,1433.2985,-3386.4543
51,-3351.0571,-1521.5409,0,3272.306,-1840.4231,-4872.598,1431.8829,-3440.7151
52,-3334.2086,-1523.1715,0,3270.2081,-1827.3956,-4857.3801,1442.8125,-3414.5676
53,-3319.0759,-1522.0117,0,3280.5559,-1842.8111,-4841.0876,1437.7448,-3403.3428
54,-3295.996,-1530.264,0,3266.31,-1838.4622,-4826.26,1427.8478,-3398.4122
