POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1277.3341,3250.4236,2247.4939,0,0,0,-3328.5929,-1523.8599,1592.2189,748.971115,0,3244.0033,-1805.0149,4263.988815,1438.9884,5702.977215
1,1288.897,3235.3769,2211.3879,0,0,0,-3333.1648,-1522.7797,1567.7647,749.721275,0,3267.2644,-1814.7372,4197.203275,1452.5272,5649.730475
2,1257.5329,3156.9468,2234.8783,0,0,0,-3302.0428,-1527.1145,1614.3714,752.786535,0,3260.1675,-1823.5929,4187.358635,1436.5746,5623.933235
3,1210.4557,3201.2407,2208.567,0,0,0,-3365.541,-1523.7482,1569.9609,751.80986,0,3263.4844,-1823.7108,4052.74496,1439.7736,5492.51856
4,1269.1693,3235.7273,2232.8324,0,0,0,-3351.195,-1528.1497,1597.9528,755.555335,0,3245.1751,-1808.4729,4211.892435,1436.7022,5648.594635
5,1245.1121,3201.0991,2234.3701,0,0,0,-3342.1456,-1530.5159,1597.6584,754.87119,0,3247.0178,-1804.7239,4160.44939,1442.2939,5602.74329
6,1207.2639,3268.7027,2256.3138,0,0,0,-3353.6995,-1526.3564,1614.0145,749.272285,0,3251.2845,-1812.1461,4215.511285,1439.1384,5654.649685
7,1228.9307,3280.0867,2209.9701,0,0,0,-3347.5273,-1521.2325,1565.2733,749.906215,0,3249.5126,-1811.8431,4165.407215,1437.6695,5603.076715
8,1257.6502,3215.1188,2212.586,0,0,0,-3344.58,-1528.0498,1570.1333,754.036895,0,3245.194,-1804.9423,4136.895395,1440.2517,5577.147095
9,1307.0832,3242.5789,2270.2054,0,0,0,-3327.0358,-1522.6226,1586.2841,751.550225,0,3269.2631,-1821.1985,4308.043425,1448.0646,5756.108025
10,1286.0217,3273.1783,2192.3818,0,0,0,-3325.4119,-1524.3919,1561.6579,751.28387,0,3252.5319,-1813.548,4214.71977,1438.9839,5653.70367
11,1229.8199,3251.7175,2275.0504,0,0,0,-3378.9251,-1518.3303,1566.8252,750.986505,0,3261.0369,-1810.0142,4177.144105,1451.0227,5628.166805
12,1257.2776,3271.3268,2194.6034,0,0,0,-3332.9412,-1520.7681,1608.4139,751.433765,0,3241.792,-1806.6063,4229.346165,1435.1857,5664.531865
13,1268.4392,3296.5529,2226.1913,0,0,0,-3351.1671,-1523.0042,1565.5825,748.601185,0,3246.1248,-1806.5852,4231.195785,1439.5396,5670.735385
14,1289.5618,3210.8503,2180.7438,0,0,0,-3352.8759,-1517.4286,1603.3173,748.38669,0,3256.5198,-1812.3101,4162.55539,1444.2097,5606.76509
15,1278.6979,3251.1229,2175.0117,0,0,0,-3354.6859,-1520.5702,1603.7631,750.075075,0,3239.7508,-1803.2496,4183.414575,1436.5012,5619.915775
