POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3353.6219,-1521.4885,0,3250.2969,-1810.2989,-4875.1104,1439.998,-3435.1124
1,-3349.9848,-1529.9291,0,3253.6753,-1806.776,-4879.9139,1446.8993,-3433.0146
2,-3336.2614,-1524.7855,0,3260.6683,-1811.5859,-4861.0469,1449.0824,-3411.9645
3,-3333.7474,-1523.851,0,3267.4534,-1818.0673,-4857.5984,1449.3861,-3408.2123
4,-3283.4395,-1526.6984,0,3258.802,-1818.4871,-4810.1379,1440.3149,-3369.823
5,-3326.7051,-1528.3374,0,3263.0686,-1820.1066,-4855.0425,1442.962,-3412.0805
6,-3335.7762,-1528.256,0,3261.2212,-1815.9055,-4864.0322,1445.3157,-3418.7165
7,-3369.3244,-1524.0988,0,3247.7832,-1803.503,-4893.4232,1444.2802,-3449.143
8,-3328.2792,-1524.2358,0,3265.0153,-1825.9186,-4852.515,1439.0967,-3413.4183
9,-3337.3573,-1525.2541,0,3253.9305,-1801.5016,-4862.6114,1452.4289,-3410.1825
10,-3335.982,-1529.6021,0,3243.6205,-1796.3629,-4865.5841,1447.2576,-3418.3265
11,-3327.9723,-1526.1031,0,3259.3359,-1801.6997,-4854.0754,1457.6362,-3396.4392
12,-3292.6043,-1524.2009,0,3262.289,-1820.7167,-4816.8052,1441.5723,-3375.2329
13,-3310.7453,-1526.2469,0,3270.0994,-1822.1834,-4836.9922,1447.916,-3389.0762
14,-3304.3713,-1526.8206,0,3272.1217,-1830.484,-4831.1919,1441.6377,-3389.5542
15,-3329.2887,-1523.9778,0,3261.0511,-1821.6579,-4853.2665,1439.3932,-3413.8733
16,-3321.3552,-1526.1054,0,3268.9182,-1824.4501,-4847.4606,1444.4681,-3402.9925
17,-3333.4852,-1521.9466,0,3271.3138,-1830.4124,-4855.4318,1440.9014,-3414.5304
18,-3277.4318,-1523.8552,0,3263.2623,-1823.2361,-4801.287,1440.0262,-3361.2608
19,-3349.6047,-1521.6159,0,3270.8176,-1829.1873,-4871.2206,1441.6303,-3429.5903
20,-3322.9958,-1517.0246,0,3256.3308,-1823.7653,-4840.0204,1432.5655,-3407.4549
21,-3393.9732,-1520.3719,0,3260.0872,-1827.9178,-4914.3451,1432.1694,-3482.1757
22,-3287.5452,-1523.5368,0,3279.9794,-1843.6273,-4811.082,1436.3521,-3374.7299
23,-3361.763,-1523.16,0,3262.7568,-1820.0614,-4884.923,1442.6954,-3442.2276
24,-3342.6049,-1525.6778,0,3275.0512,-1840.8655,-4868.2827,1434.1857,-3434.097
25,-3354.4657,-1523.4418,0,3252.2909,-1804.2891,-4877.9075,1448.0018,-3429.9057
26,-3345.9327,-1526.2833,0,3248.3739,-1798.6969,-4872.216,1449.677,-3422.539
27,-3375.4457,-1523.698,0,3252.3854,-1796.8671,-4899.1437,1455.5183,-3443.6254
28,-3327.7026,-1526.5395,0,3248.0101,-1803.3396,-4854.2421,1444.6705,-3409.5716
29,-3347.8162,-1520.6096,0,3261.7078,-1808.3544,-4868.4258,1453.3534,-3415.0724
30,-3343.8899,-1520.386,0,3254.1337,-1802.5179,-4864.2759,1451.6158,-3412.6601
31,-3331.8395,-1519.8014,0,3258.7075,-1807.4177,-4851.6409,1451.2898,-3400.3511
32,-3319.1751,-1523.7516,0,3245.1562,-1793.8988,-4842.9267,1451.2574,-3391.6693
33,-3327.282,-1521.4535,0,3247.3769,-1800.3088,-4848.7355,1447.0681,-3401.6674
