w,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3306.0595,-1521.4419,0,3266.7211,-1829.2941,-4827.5014,1437.427,-3390.0744
1,-3332.4165,-1526.7018,0,3267.4487,-1839.0012,-4859.1183,1428.4475,-3430.6708
2,-3328.8294,-1521.4445,0,3276.2939,-1833.3509,-4850.2739,1442.943,-3407.3309
3,-3342.1181,-1521.1764,0,3268.63,-1825.6783,-4863.2945,1442.9517,-3420.3428
4,-3367.0362,-1518.9514,0,3271.5973,-1831.0569,-4885.9876,1440.5404,-3445.4472
5,-3322.41,-1520.1404,0,3259.6714,-1819.2135,-4842.5504,1440.4579,-3402.0925
6,-3362.5311,-1520.1431,0,3242.6708,-1805.2566,-4882.6742,1437.4142,-3445.26
7,-3331.8803,-1523.5584,0,3268.819,-1813.9734,-4855.4387,1454.8456,-3400.5931
8,-3337.5708,-1522.5689,0,3255.674,-1796.1577,-4860.1397,1459.5163,-3400.6234
9,-3373.1416,-1523.6904,0,3244.7545,-1800.3219,-4896.832,1444.4326,-3452.3994
10,-3354.4971,-1519.7228,0,3265.4642,-1807.0073,-4874.2199,1458.4569,-3415.763
11,-3337.8236,-1518.5289,0,3265.984,-1808.6797,-4856.3525,1457.3043,-3399.0482
12,-3343.5542,-1523.003,0,3245.761,-1793.5381,-4866.5572,1452.2229,-3414.3343
13,-3318.7124,-1519.5356,0,3245.8413,-1797.8417,-4838.248,1447.9996,-3390.2484
14,-3308.1062,-1522.0902,0,3254.4124,-1798.8882,-4830.1964,1455.5242,-3374.6722
15,-3298.4061,-1521.1824,0,3274.2149,-1826.3494,-4819.5885,1447.8655,-3371.723
16,-3351.1982,-1519.0539,0,3250.2969,-1806.6189,-4870.2521,1443.678,-3426.5741
17,-3365.4503,-1514.8046,0,3254.9605,-1812.0909,-4880.2549,1442.8696,-3437.3853
18,-3366.7994,-1518.1129,0,3243.0488,-1792.5606,-4884.9123,1450.4882,-3434.4241
19,-3377.7575,-1521.2387,0,3245.0475,-1789.6191,-4898.9962,1455.4284,-3443.5678
20,-3382.1494,-1518.8795,0,3253.0658,-1804.7258,-4901.0289,1448.34,-3452.6889
21,-3395.537,-1520.3044,0,3236.3866,-1793.3504,-4915.8414,1443.0362,-3472.8052
22,-3348.4002,-1522.5496,0,3251.3176,-1796.1663,-4870.9498,1455.1513,-3415.7985
23,-3323.66,-1523.6757,0,3245.52,-1798.9207,-4847.3357,1446.5993,-3400.7364
24,-3356.6366,-1520.7531,0,3248.5251,-1789.2765,-4877.3897,1459.2486,-3418.1411
25,-3356.1447,-1525.9752,0,3252.3618,-1802.9326,-4882.1199,1449.4292,-3432.6907
26,-3334.1159,-1524.442,0,3246.3846,-1792.6662,-4858.5579,1453.7184,-3404.8395
27,-3353.5426,-1521.9028,0,3247.306,-1800.1924,-4875.4454,1447.1136,-3428.3318
28,-3348.2058,-1528.1347,0,3264.2074,-1815.9906,-4876.3405,1448.2168,-3428.1237
29,-3375.8454,-1523.2006,0,3252.754,-1804.7038,-4899.046,1448.0502,-3450.9958
30,-3352.9356,-1528.4841,0,3264.4389,-1815.2517,-4881.4197,1449.1872,-3432.2325
31,-3332.4569,-1525.6859,0,3263.8861,-1815.2625,-4858.1428,1448.6236,-3409.5192
32,-3331.9754,-1529.8521,0,3251.6294,-1801.8722,-4861.8275,1449.7572,-3412.0703
33,-3347.9158,-1530.5882,0,3258.1735,-1818.385,-4878.504,1439.7885,-3438.7155
34,-3332.4689,-1530.3195,0,3245.2365,-1798.6847,-4862.7884,1446.5518,-3416.2366
35,-3341.27,-1529.0408,0,3252.9052,-1804.5783,-4870.3108,1448.3269,-3421.9839
36,-3357.6478,-1526.5166,0,3244.6647,-1805.2976,-4884.1644,1439.3671,-3444.7973
37,-3282.9371,-1529.9364,0,3260.3518,-1816.7642,-4812.8735,1443.5876,-3369.2859
38,-3330.6501,-1525.4174,0,3250.6466,-1804.1969,-4856.0675,1446.4497,-3409.6178
39,-3379.2886,-1525.7683,0,3255.8488,-1813.7567,-4905.0569,1442.0921,-3462.9648
40,-3319.3409,-1528.9975,0,3248.8558,-1808.5372,-4848.3384,1440.3186,-3408.0198
41,-3333.8495,-1528.0279,0,3250.1977,-1804.7547,-4861.8774,1445.443,-3416.4344
42,-3310.6716,-1526.6879,0,3259.2319,-1806.2912,-4837.3595,1452.9407,-3384.4188
43,-3330.7086,-1528.4402,0,3248.0526,-1813.6571,-4859.1488,1434.3955,-3424.7533
44,-3374.6795,-1524.569,0,3246.7438,-1799.2933,-4899.2485,1447.4505,-3451.798
45,-3369.2746,-1521.7262,0,3263.8246,-1816.6363,-4891.0008,1447.1883,-3443.8125
46,-3340.6343,-1529.493,0,3269.6458,-1830.6745,-4870.1273,1438.9713,-3431.156
47,-3361.4858,-1528.6509,0,3256.6568,-1808.3974,-4890.1367,1448.2594,-3441.8773
48,-3326.2468,-1526.6989,0,3261.8448,-1811.0712,-4852.9457,1450.7736,-3402.1721
49,-3361.5816,-1527.5948,0,3256.3969,-1815.1038,-4889.1764,1441.2931,-3447.8833
50,-3394.6103,-1524.7309,0,3248.251,-1808.1084,-4919.3412,1440.1426,-3479.1986
51,-3361.8562,-1529.6625,0,3255.863,-1808.2805,-4891.5187,1447.5825,-3443.9362
52,-3371.1271,-1526.0483,0,3243.252,-1801.9485,-4897.1754,1441.3035,-3455.8719
53,-3341.6955,-1530.1551,0,3245.383,-1802.829,-4871.8506,1442.554,-3429.2966
54,-3315.71,-1531.5018,0,3261.5141,-1825.4613,-4847.2118,1436.0528,-3411.159
55,-3333.976,-1527.9602,0,3257.7388,-1815.2718,-4861.9362,1442.467,-3419.4692
56,-3363.9731,-1523.3487,0,3250.5521,-1814.1952,-4887.3218,1436.3569,-3450.9649
57,-3326.0025,-1526.8908,0,3256.2363,-1814.2021,-4852.8933,1442.0342,-3410.8591
58,-3321.1839,-1526.088,0,3251.3223,-1814.312,-4847.2719,1437.0103,-3410.2616
59,-3327.961,-1528.1345,0,3265.8044,-1828.5874,-4856.0955,1437.217,-3418.8785
60,-3361.4899,-1517.773,0,3257.7766,-1816.4074,-4879.2629,1441.3692,-3437.8937
61,-3294.4627,-1531.3933,0,3267.014,-1830.432,-4825.856,1436.582,-3389.274
62,-3309.3654,-1525.2573,0,3263.4892,-1831.8585,-4834.6227,1431.6307,-3402.992
63,-3318.1021,-1525.6497,0,3267.7889,-1832.4196,-4843.7518,1435.3693,-3408.3825
64,-3335.7756,-1528.6647,0,3275.1268,-1840.8391,-4864.4403,1434.2877,-3430.1526
65,-3349.826,-1524.9161,0,3277.5177,-1839.8223,-4874.7421,1437.6954,-3437.0467
66,-3334.2089,-1528.9244,0,3275.519,-1834.4715,-4863.1333,1441.0475,-3422.0858
67,-3330.3838,-1526.5828,0,3265.6532,-1827.3042,-4856.9666,1438.349,-3418.6176
68,-3352.2331,-1527.4069,0,3265.7997,-1831.9513,-4879.64,1433.8484,-3445.7916
