POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1231.5448,3242.1833,2168.3372,0,0,0,-3114.1553,-1539.9509,1585.6405,808.412695,0,3408.1687,-2076.1291,4382.012295,1332.0396,5714.051895
1,1272.3382,3172.6396,2204.5229,0,0,0,-3151.3274,-1530.0224,1602.2008,802.810755,0,3392.3257,-2060.038,4373.162455,1332.2877,5705.450155
2,1262.1662,3113.1534,2186.0211,0,0,0,-3155.6476,-1541.8975,1618.9792,809.30865,0,3406.3731,-2080.8982,4292.08345,1325.4749,5617.55835
3,1232.8095,3221.5736,2139.0406,0,0,0,-3141.3425,-1540.5241,1564.4293,807.254585,0,3400.6984,-2069.3733,4283.240985,1331.3251,5614.566085
4,1182.634,3249.7528,2177.9214,0,0,0,-3164.8988,-1538.2351,1593.8119,808.708895,0,3404.8092,-2061.8436,4309.695095,1342.9656,5652.660695
5,1226.9853,3246.6457,2149.5898,0,0,0,-3151.987,-1539.8807,1578.1641,808.92325,0,3403.0562,-2067.8806,4318.44045,1335.1756,5653.61605
6,1228.7293,3211.1783,2183.5838,0,0,0,-3155.7857,-1537.6329,1582.3801,806.290035,0,3405.9243,-2067.2806,4318.742935,1338.6437,5657.386635
7,1199.6972,3309.5706,2210.4646,0,0,0,-3183.402,-1537.1844,1590.0301,807.03018,0,3397.3673,-2068.2603,4396.20628,1329.107,5725.31328
8,1267.5691,3183.1383,2171.577,0,0,0,-3170.2865,-1537.1846,1543.9251,805.81592,0,3393.403,-2063.5002,4264.55432,1329.9028,5594.45712
9,1214.2525,3223.1967,2156.887,0,0,0,-3145.1974,-1541.3713,1599.2737,808.53335,0,3385.3185,-2054.3178,4315.57455,1331.0007,5646.57525
10,1237.1583,3219.5381,2119.9333,0,0,0,-3152.1614,-1538.081,1592.2171,806.53182,0,3402.3286,-2062.0204,4285.13622,1340.3082,5625.44442
11,1262.4029,3198.1813,2177.6399,0,0,0,-3122.3711,-1538.0709,1584.3461,803.36733,0,3401.6907,-2060.7389,4365.49553,1340.9518,5706.44733
12,1265.2119,3249.1857,2204.7484,0,0,0,-3106.8244,-1535.7542,1550.6689,802.083105,0,3399.7298,-2060.0448,4429.319405,1339.685,5769.004405
13,1246.7964,3281.4236,2170.377,0,0,0,-3120.9233,-1539.3948,1587.2175,805.14978,0,3405.7164,-2074.0459,4430.64618,1331.6705,5762.31668
14,1197.8365,3227.1626,2149.8165,0,0,0,-3165.6489,-1538.6525,1575.8875,806.03234,0,3380.4282,-2039.6393,4252.43404,1340.7889,5593.22294
15,1194.0981,3268.921,2182.3154,0,0,0,-3155.4019,-1540.4883,1609.867,808.66137,0,3390.7145,-2050.278,4367.97267,1340.4365,5708.40917
16,1216.0049,3100.9879,2146.4436,0,0,0,-3137.3012,-1540.783,1576.2024,807.893455,0,3402.0592,-2068.7828,4169.448055,1333.2764,5502.724455
