POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3155.2278,-1541.7511,0,3379.6202,-2026.1531,-4696.9789,1353.4671,-3343.5118
1,-3140.526,-1542.2465,0,3404.0532,-2045.53,-4682.7725,1358.5232,-3324.2493
2,-3146.5898,-1537.5266,0,3384.8602,-2029.953,-4684.1164,1354.9072,-3329.2092
3,-3165.9285,-1539.5735,0,3382.6489,-2023.3704,-4705.502,1359.2785,-3346.2235
4,-3115.1352,-1539.4834,0,3390.7712,-2025.818,-4654.6186,1364.9532,-3289.6654
5,-3141.1489,-1539.0846,0,3382.5875,-2030.1247,-4680.2335,1352.4628,-3327.7707
6,-3137.0396,-1538.4452,0,3402.3616,-2049.2548,-4675.4848,1353.1068,-3322.378
7,-3103.4471,-1537.4856,0,3406.6708,-2053.6733,-4640.9327,1352.9975,-3287.9352
8,-3135.114,-1541.0874,0,3404.5588,-2054.2508,-4676.2014,1350.308,-3325.8934
9,-3141.7372,-1539.5812,0,3405.1919,-2054.9896,-4681.3184,1350.2023,-3331.1161
10,-3140.1861,-1537.7926,0,3408.4522,-2058.2131,-4677.9787,1350.2391,-3327.7396
11,-3115.2489,-1539.5267,0,3404.7147,-2048.3499,-4654.7756,1356.3648,-3298.4108
12,-3183.2729,-1536.8922,0,3402.5412,-2043.5066,-4720.1651,1359.0346,-3361.1305
13,-3141.8012,-1544.3936,0,3401.1804,-2055.4511,-4686.1948,1345.7293,-3340.4655
14,-3153.0068,-1547.0183,0,3389.8782,-2040.5913,-4700.0251,1349.2869,-3350.7382
15,-3146.1033,-1539.6208,0,3407.6017,-2069.4079,-4685.7241,1338.1938,-3347.5303
16,-3140.3488,-1535.1694,0,3405.3762,-2049.6854,-4675.5182,1355.6908,-3319.8274
17,-3141.3539,-1538.6753,0,3389.2356,-2037.1808,-4680.0292,1352.0548,-3327.9744
18,-3150.4935,-1540.716,0,3392.1604,-2041.3637,-4691.2095,1350.7967,-3340.4128
19,-3129.5518,-1541.3177,0,3402.4042,-2047.7531,-4670.8695,1354.6511,-3316.2184
20,-3125.3299,-1543.5825,0,3388.5694,-2043.0359,-4668.9124,1345.5335,-3323.3789
21,-3184.5028,-1535.5705,0,3399.5266,-2048.2978,-4720.0733,1351.2288,-3368.8445
22,-3139.4576,-1547.2896,0,3391.6312,-2054.6836,-4686.7472,1336.9476,-3349.7996
23,-3132.3418,-1540.726,0,3403.6516,-2053.4812,-4673.0678,1350.1704,-3322.8974
24,-3122.3271,-1539.9391,0,3402.2955,-2051.7239,-4662.2662,1350.5716,-3311.6946
25,-3189.3227,-1538.8265,0,3391.6217,-2036.0972,-4728.1492,1355.5245,-3372.6247
26,-3141.8798,-1538.165,0,3389.2025,-2034.8115,-4680.0448,1354.391,-3325.6538
27,-3150.099,-1536.4225,0,3378.0373,-2022.9666,-4686.5215,1355.0707,-3331.4508
28,-3139.616,-1542.8347,0,3388.026,-2049.2003,-4682.4507,1338.8257,-3343.625
29,-3137.0182,-1537.6248,0,3375.037,-2017.415,-4674.643,1357.622,-3317.021
30,-3198.3504,-1539.0795,0,3388.0071,-2029.1809,-4737.4299,1358.8262,-3378.6037
31,-3150.8918,-1534.6066,0,3380.8865,-2014.4766,-4685.4984,1366.4099,-3319.0885
32,-3161.5896,-1537.3556,0,3395.4442,-2039.0737,-4698.9452,1356.3705,-3342.5747
33,-3114.5,-1538.6436,0,3397.0932,-2050.5386,-4653.1436,1346.5546,-3306.589
34,-3152.4187,-1536.8175,0,3374.5408,-2020.9135,-4689.2362,1353.6273,-3335.6089
35,-3196.2908,-1535.3804,0,3373.3265,-2019.799,-4731.6712,1353.5275,-3378.1437
36,-3120.0282,-1539.1083,0,3384.4255,-2042.9347,-4659.1365,1341.4908,-3317.6457
37,-3144.4606,-1538.8884,0,3387.0195,-2040.812,-4683.349,1346.2075,-3337.1415
38,-3155.2971,-1537.281,0,3378.8878,-2038.0384,-4692.5781,1340.8494,-3351.7287
39,-3142.4271,-1539.6859,0,3400.9536,-2052.318,-4682.113,1348.6356,-3333.4774
40,-3192.2708,-1531.7522,0,3384.6712,-2030.4672,-4724.023,1354.204,-3369.819
41,-3165.332,-1534.782,0,3384.9784,-2031.4585,-4700.114,1353.5199,-3346.5941
42,-3197.4736,-1528.4949,0,3368.9134,-2020.7894,-4725.9685,1348.124,-3377.8445
43,-3158.2848,-1533.2606,0,3370.0237,-2018.4252,-4691.5454,1351.5985,-3339.9469
44,-3181.4229,-1535.4392,0,3374.073,-2018.7725,-4716.8621,1355.3005,-3361.5616
45,-3221.0364,-1529.5555,0,3369.4237,-2005.342,-4750.5919,1364.0817,-3386.5102
46,-3183.6058,-1537.6615,0,3376.8088,-2026.082,-4721.2673,1350.7268,-3370.5405
47,-3162.2283,-1534.1474,0,3371.9421,-2016.519,-4696.3757,1355.4231,-3340.9526
48,-3107.0813,-1538.0802,0,3390.7098,-2027.0215,-4645.1615,1363.6883,-3281.4732
49,-3116.8519,-1537.3837,0,3375.7079,-2023.8355,-4654.2356,1351.8724,-3302.3632
50,-3108.5196,-1540.6639,0,3392.4344,-2040.8946,-4649.1835,1351.5398,-3297.6437
51,-3133.0957,-1540.3223,0,3380.9054,-2018.1701,-4673.418,1362.7353,-3310.6827
52,-3156.7008,-1538.7777,0,3387.1566,-2032.2305,-4695.4785,1354.9261,-3340.5524
53,-3143.2585,-1534.3417,0,3400.4338,-2034.6346,-4677.6002,1365.7992,-3311.801
54,-3161.0508,-1541.5201,0,3383.9814,-2014.2905,-4702.5709,1369.6909,-3332.88
55,-3177.6861,-1543.9118,0,3380.7211,-2016.7722,-4721.5979,1363.9489,-3357.649
56,-3160.001,-1540.2966,0,3381.4157,-2013.0373,-4700.2976,1368.3784,-3331.9192
57,-3172.4635,-1540.0105,0,3385.3942,-2009.2944,-4712.474,1376.0998,-3336.3742
58,-3146.0854,-1542.1027,0,3375.3346,-2014.8036,-4688.1881,1360.531,-3327.6571
59,-3162.4137,-1539.4199,0,3374.5314,-2016.9522,-4701.8336,1357.5792,-3344.2544
60,-3154.2054,-1537.2663,0,3386.736,-2032.7513,-4691.4717,1353.9847,-3337.487
61,-3158.1386,-1536.1052,0,3381.841,-2015.4579,-4694.2438,1366.3831,-3327.8607
62,-3175.5958,-1539.1368,0,3380.0407,-2010.3993,-4714.7326,1369.6414,-3345.0912
63,-3151.7413,-1540.7176,0,3371.1199,-2015.5194,-4692.4589,1355.6005,-3336.8584
64,-3123.8603,-1544.204,0,3374.6873,-2015.5642,-4668.0643,1359.1231,-3308.9412
65,-3152.235,-1533.657,0,3361.3392,-2002.6782,-4685.892,1358.661,-3327.231
66,-3196.2326,-1538.1151,0,3376.5395,-2001.7857,-4734.3477,1374.7538,-3359.5939
67,-3146.9296,-1541.4592,0,3378.1035,-2017.987,-4688.3888,1360.1165,-3328.2723
68,-3151.0277,-1545.3716,0,3391.4752,-2033.79,-4696.3993,1357.6852,-3338.7141
69,-3174.3747,-1539.3122,0,3392.4533,-2037.878,-4713.6869,1354.5753,-3359.1116
70,-3143.9356,-1540.5222,0,3400.7787,-2048.9766,-4684.4578,1351.8021,-3332.6557
71,-3120.97,-1544.2426,0,3401.5489,-2035.6627,-4665.2126,1365.8862,-3299.3264
72,-3162.0785,-1541.0731,0,3404.5021,-2047.9936,-4703.1516,1356.5085,-3346.6431
73,-3142.3145,-1546.4433,0,3383.6837,-2040.221,-4688.7578,1343.4627,-3345.2951
74,-3153.5516,-1541.4275,0,3371.8807,-2023.072,-4694.9791,1348.8087,-3346.1704
75,-3144.6206,-1544.5498,0,3383.2774,-2035.1264,-4689.1704,1348.151,-3341.0194
76,-3144.0444,-1545.0164,0,3381.6803,-2039.656,-4689.0608,1342.0243,-3347.0365
77,-3168.7087,-1540.4043,0,3391.102,-2033.2099,-4709.113,1357.8921,-3351.2209
78,-3094.2778,-1540.8984,0,3408.4522,-2050.25,-4635.1762,1358.2022,-3276.974
79,-3119.8308,-1539.5179,0,3388.8481,-2047.0259,-4659.3487,1341.8222,-3317.5265
80,-3121.0739,-1546.8705,0,3391.6548,-2031.5253,-4667.9444,1360.1295,-3307.8149
81,-3184.7157,-1536.351,0,3394.7355,-2041.6072,-4721.0667,1353.1283,-3367.9384
82,-3179.4422,-1541.246,0,3381.2834,-2016.199,-4720.6882,1365.0844,-3355.6038
83,-3167.6743,-1539.3595,0,3391.6831,-2034.6734,-4707.0338,1357.0097,-3350.0241
84,-3162.4944,-1541.155,0,3391.187,-2040.6235,-4703.6494,1350.5635,-3353.0859
85,-3143.0486,-1543.6442,0,3383.4238,-2035.2195,-4686.6928,1348.2043,-3338.4885
86,-3116.4768,-1546.2762,0,3382.3891,-2029.0228,-4662.753,1353.3663,-3309.3867
87,-3186.1452,-1535.6628,0,3380.2628,-2021.1463,-4721.808,1359.1165,-3362.6915
88,-3124.2051,-1541.676,0,3383.2301,-2032.1538,-4665.8811,1351.0763,-3314.8048
89,-3173.6068,-1542.7844,0,3374.125,-2008.713,-4716.3912,1365.412,-3350.9792
90,-3208.0466,-1532.8284,0,3373.336,-2012.7896,-4740.875,1360.5464,-3380.3286
91,-3189.6771,-1533.1774,0,3389.1411,-2037.7302,-4722.8545,1351.4109,-3371.4436
92,-3166.7863,-1539.0271,0,3378.5618,-2024.1319,-4705.8134,1354.4299,-3351.3835
93,-3150.9643,-1536.8188,0,3382.8899,-2024.4993,-4687.7831,1358.3906,-3329.3925
94,-3201.1163,-1532.2932,0,3375.4055,-2002.6804,-4733.4095,1372.7251,-3360.6844
95,-3188.4049,-1535.3841,0,3379.7525,-2009.3802,-4723.789,1370.3723,-3353.4167
96,-3180.7955,-1540.6526,0,3372.3909,-2003.7125,-4721.4481,1368.6784,-3352.7697
97,-3184.8859,-1537.7329,0,3381.307,-2015.2821,-4722.6188,1366.0249,-3356.5939
98,-3162.9472,-1538.8107,0,3383.9625,-2015.1809,-4701.7579,1368.7816,-3332.9763
99,-3191.1992,-1532.3803,0,3389.1789,-2032.2046,-4723.5795,1356.9743,-3366.6052
100,-3178.374,-1535.3617,0,3380.9479,-2013.0062,-4713.7357,1367.9417,-3345.794
101,-3147.8448,-1533.7624,0,3378.7177,-2020.2736,-4681.6072,1358.4441,-3323.1631
102,-3146.2085,-1532.849,0,3380.8014,-2020.9392,-4679.0575,1359.8622,-3319.1953
103,-3139.0796,-1532.8604,0,3396.3325,-2040.3657,-4671.94,1355.9668,-3315.9732
104,-3151.2781,-1530.6097,0,3418.6156,-2056.5844,-4681.8878,1362.0312,-3319.8566
105,-3171.0875,-1540.2713,0,3379.2328,-2016.9888,-4711.3588,1362.244,-3349.1148
106,-3144.62,-1537.3766,0,3372.8351,-2021.3032,-4681.9966,1351.5319,-3330.4647
107,-3201.4146,-1529.8711,0,3377.2057,-2010.9274,-4731.2857,1366.2783,-3365.0074
108,-3133.1168,-1535.6853,0,3396.8523,-2030.2945,-4668.8021,1366.5578,-3302.2443
109,-3139.2508,-1536.5342,0,3384.0901,-2030.0287,-4675.785,1354.0614,-3321.7236
110,-3207.6739,-1532.0994,0,3377.012,-2017.5289,-4739.7733,1359.4831,-3380.2902
