POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1189.2302,3244.3338,2149.438,0,0,0,-3129.0986,-1540.2659,1565.9929,805.68309,0,3405.5604,-2065.6816,4285.31349,1339.8788,5625.19229
1,1299.6916,3227.0675,2146.5492,0,0,0,-3169.755,-1539.7915,1567.2536,807.979305,0,3418.0864,-2074.4748,4338.994705,1343.6116,5682.606305
2,1232.3457,3224.3175,2146.1441,0,0,0,-3167.8141,-1535.5685,1607.192,803.966885,0,3396.4601,-2049.555,4310.583585,1346.9051,5657.488685
3,1274.3868,3182.5359,2172.6375,0,0,0,-3131.3936,-1536.8671,1572.081,802.47791,0,3408.5703,-2072.4891,4335.85841,1336.0812,5671.93961
4,1192.4203,3258.7522,2146.0409,0,0,0,-3162.3504,-1539.4254,1594.9608,808.8489,0,3404.9982,-2062.271,4299.2473,1342.7272,5641.9745
5,1270.0009,3233.4132,2189.8456,0,0,0,-3121.9423,-1540.3338,1592.9637,808.019695,0,3430.3951,-2088.6121,4431.966995,1341.783,5773.749995
6,1215.123,3210.7614,2115.5254,0,0,0,-3100.8983,-1543.8267,1594.8133,809.18579,0,3410.0586,-2075.0973,4300.68389,1334.9613,5635.64519
7,1204.5609,3270.0525,2179.4618,0,0,0,-3107.7906,-1540.476,1588.8646,806.470155,0,3409.0948,-2077.9131,4401.143355,1331.1817,5732.325055
8,1204.3818,3213.0909,2200.2164,0,0,0,-3119.621,-1545.8849,1622.2844,809.196495,0,3405.1919,-2071.5334,4383.664095,1333.6585,5717.322595
9,1253.3425,3300.4248,2159.2499,0,0,0,-3122.0409,-1546.9778,1574.401,808.076,0,3413.2858,-2077.8736,4426.4755,1335.4122,5761.8877
10,1244.7965,3244.2387,2141.8273,0,0,0,-3137.1596,-1544.8964,1568.4785,811.348515,0,3420.2883,-2085.5469,4328.633515,1334.7414,5663.374915
11,1277.7499,3250.2328,2169.5674,0,0,0,-3126.7858,-1543.9421,1562.7178,810.333715,0,3421.1246,-2074.7256,4399.873715,1346.399,5746.272715
12,1262.5727,3240.7716,2149.5143,0,0,0,-3130.2406,-1546.5906,1595.102,811.79732,0,3416.2248,-2072.6854,4382.92672,1343.5394,5726.46612
13,1243.3812,3239.5127,2185.1346,0,0,0,-3081.6698,-1547.1301,1568.6991,809.960725,0,3413.7394,-2066.1142,4417.888425,1347.6252,5765.513625
14,1257.6839,3231.2116,2152.2917,0,0,0,-3098.1298,-1540.8552,1543.2582,809.77814,0,3426.4024,-2085.0097,4355.23854,1341.3927,5696.63124
15,1227.8776,3229.0364,2156.8033,0,0,0,-3123.3384,-1548.1017,1600.5988,813.69473,0,3399.3046,-2058.783,4356.57073,1340.5216,5697.09233
16,1224.0843,3290.045,2229.8446,0,0,0,-3151.8082,-1545.3271,1621.6205,806.952,0,3399.1061,-2067.3531,4475.4111,1331.753,5807.1641
17,1272.5468,3205.2269,2171.8311,0,0,0,-3122.2667,-1543.1709,1582.1142,806.27827,0,3407.1339,-2075.4577,4372.55967,1331.6762,5704.23587
18,1254.7498,3234.8212,2165.6016,0,0,0,-3127.6808,-1546.6371,1563.0586,808.336255,0,3404.0248,-2069.5319,4352.249555,1334.4929,5686.742455
19,1245.032,3205.2359,2158.334,0,0,0,-3113.5386,-1547.2151,1593.8454,808.72191,0,3405.3856,-2071.8852,4350.41551,1333.5004,5683.91591
20,1211.8319,3182.0591,2157.8511,0,0,0,-3098.8044,-1544.6417,1576.0045,810.893345,0,3417.1083,-2086.1477,4295.193845,1330.9606,5626.154445
21,1268.003,3236.1592,2150.181,0,0,0,-3127.7431,-1543.2649,1574.5086,808.75829,0,3420.5245,-2075.3601,4366.60209,1345.1644,5711.76649
22,1296.5616,3291.3409,2115.9218,0,0,0,-3083.1207,-1546.2667,1575.1341,811.5837,0,3416.4563,-2075.186,4461.1547,1341.2703,5802.425
23,1273.8158,3224.1871,2194.2354,0,0,0,-3102.5302,-1547.9442,1584.5446,811.393355,0,3405.1872,-2064.9834,4437.701855,1340.2038,5777.905655
24,1239.2223,3195.7081,2204.8666,0,0,0,-3154.5288,-1541.5243,1589.5744,808.72203,0,3412.7708,-2078.9109,4342.04033,1333.8599,5675.90023
25,1241.5619,3185.2715,2167.9955,0,0,0,-3114.4162,-1546.742,1619.7522,809.2467,0,3409.2459,-2088.0912,4362.6696,1321.1547,5683.8243
26,1295.2367,3131.1103,2186.266,0,0,0,-3066.274,-1544.4512,1561.4941,810.64016,0,3425.4574,-2091.3088,4374.02206,1334.1486,5708.17066
27,1267.4318,3227.9103,2192.3714,0,0,0,-3120.0797,-1542.2835,1580.0273,810.60928,0,3431.8173,-2101.2225,4415.98688,1330.5948,5746.58168
28,1252.3038,3241.0075,2241.0418,0,0,0,-3116.6701,-1544.3415,1584.6461,808.060725,0,3425.8969,-2091.4707,4466.048325,1334.4262,5800.474525
29,1220.9327,3311.3849,2167.2386,0,0,0,-3134.5817,-1544.583,1600.9354,809.484475,0,3414.245,-2087.9011,4430.811375,1326.3439,5757.155275
30,1227.7832,3242.0869,2166.1322,0,0,0,-3119.8444,-1548.669,1586.4905,810.833775,0,3427.5648,-2097.3189,4364.813175,1330.2459,5695.059075
31,1222.1575,3197.4496,2217.8346,0,0,0,-3113.2927,-1552.0243,1567.7619,812.225365,0,3403.0657,-2058.9684,4352.111965,1344.0973,5696.209265
32,1250.1767,3277.5549,2183.0927,0,0,0,-3104.974,-1549.7488,1580.3397,812.770105,0,3424.0966,-2079.6902,4449.211305,1344.4064,5793.617705
33,1249.156,3255.5422,2180.6773,0,0,0,-3081.0504,-1547.1977,1585.9577,812.99941,0,3420.7419,-2083.4668,4456.08451,1337.2751,5793.35961
34,1228.8946,3255.2889,2154.7086,0,0,0,-3087.9132,-1546.8972,1599.4866,813.8845,0,3428.4531,-2095.6915,4417.4528,1332.7616,5750.2144
35,1250.1054,3204.3187,2167.8845,0,0,0,-3134.3654,-1540.1536,1564.3343,807.99588,0,3418.0156,-2083.8723,4320.11978,1334.1433,5654.26308
36,1214.6147,3179.5944,2216.8837,0,0,0,-3090.3571,-1545.0804,1597.5582,811.229075,0,3419.4331,-2080.9496,4384.442575,1338.4835,5722.926075
37,1219.0757,3286.0443,2171.9378,0,0,0,-3122.4994,-1542.553,1578.9481,810.659615,0,3419.6599,-2083.71,4401.613115,1335.9499,5737.563015
38,1223.4245,3252.3005,2170.8114,0,0,0,-3121.8159,-1544.8727,1582.001,810.75301,0,3408.5325,-2056.3626,4372.60181,1352.1699,5724.77171
39,1282.8331,3334.0798,2185.415,0,0,0,-3144.1422,-1544.7321,1569.2021,810.22904,0,3406.8457,-2065.4437,4492.88474,1341.402,5834.28674
40,1261.7543,3157.2554,2133.4746,0,0,0,-3087.3162,-1546.9228,1583.6211,811.727875,0,3414.1789,-2067.9155,4313.594275,1346.2634,5659.857675
41,1173.0737,3269.1143,2207.0026,0,0,0,-3162.4653,-1543.2581,1583.6145,810.474385,0,3412.3881,-2059.7532,4337.556085,1352.6349,5690.190985
42,1246.381,3185.5764,2161.494,0,0,0,-3145.9791,-1541.5731,1598.9538,809.197245,0,3406.6755,-2059.9471,4314.050245,1346.7284,5660.778645
43,1254.872,3187.3174,2232.5616,0,0,0,-3122.0318,-1543.633,1585.8337,809.912735,0,3408.6553,-2056.1293,4404.832635,1352.526,5757.358635
44,1207.2977,3267.8314,2181.7831,0,0,0,-3149.0293,-1547.9528,1574.3378,812.63598,0,3400.8071,-2046.4381,4346.90388,1354.369,5701.27288
45,1235.0711,3229.0933,2183.5711,0,0,0,-3134.9727,-1542.9465,1560.5522,807.94412,0,3384.5767,-2030.5732,4338.31262,1354.0035,5692.31612
46,1276.8016,3186.5345,2185.8046,0,0,0,-3154.3616,-1545.7815,1563.9523,810.670965,0,3399.1108,-2042.1912,4323.620865,1356.9196,5680.540465
47,1194.9193,3285.0203,2202.3957,0,0,0,-3128.4668,-1544.9767,1587.0678,811.2302,0,3399.2431,-2054.678,4407.1898,1344.5651,5751.7549
48,1269.5104,3224.3094,2183.8451,0,0,0,-3099.1766,-1546.0144,1592.094,810.483925,0,3394.0834,-2042.7567,4435.051825,1351.3267,5786.378525
49,1199.4952,3203.9927,2137.2672,0,0,0,-3106.1444,-1543.3845,1575.2531,810.900995,0,3424.4321,-2066.3757,4277.380295,1358.0564,5635.436695
50,1275.8745,3239.0391,2180.7728,0,0,0,-3121.0297,-1544.7907,1581.4167,808.536555,0,3425.5141,-2083.4194,4419.819255,1342.0947,5761.913955
51,1235.2411,3225.3727,2164.8599,0,0,0,-3142.0581,-1546.4425,1586.3769,809.99636,0,3400.8213,-2071.5309,4333.34636,1329.2904,5662.63676
52,1264.3391,3191.2874,2143.628,0,0,0,-3138.0435,-1541.5634,1579.1645,804.324465,0,3414.382,-2075.1436,4303.136565,1339.2384,5642.374965
53,1237.2744,3265.5889,2139.3024,0,0,0,-3119.7089,-1544.5517,1569.565,810.41964,0,3428.5712,-2092.99,4357.88974,1335.5812,5693.47094
54,1200.3817,3207.4067,2179.4598,0,0,0,-3107.0039,-1547.2143,1597.2297,809.093165,0,3421.2002,-2074.2793,4339.352865,1346.9209,5686.273765
55,1258.827,3274.1668,2171.7632,0,0,0,-3158.9244,-1542.4745,1561.1866,806.80455,0,3411.7691,-2067.9516,4371.34925,1343.8175,5715.16675
56,1208.1293,3286.4088,2160.8308,0,0,0,-3139.2731,-1546.2087,1575.6676,809.62016,0,3421.0065,-2079.6182,4355.17486,1341.3883,5696.56316
57,1244.8399,3208.8946,2168.5954,0,0,0,-3120.7116,-1545.9064,1578.0331,812.20142,0,3415.7192,-2071.4288,4345.94642,1344.2904,5690.23682
58,1297.1057,3190.4612,2196.2574,0,0,0,-3126.4276,-1540.723,1577.6839,806.09073,0,3408.2159,-2069.205,4400.44833,1339.0109,5739.45923
59,1268.6134,3191.6994,2200.2925,0,0,0,-3102.0631,-1541.164,1579.9078,808.54353,0,3420.345,-2074.1986,4405.82953,1346.1464,5751.97593
60,1266.397,3263.7593,2189.1198,0,0,0,-3173.7465,-1542.9528,1572.017,809.14191,0,3397.1121,-2045.0922,4383.73571,1352.0199,5735.75561
61,1227.5109,3275.4645,2188.7629,0,0,0,-3123.5126,-1547.0383,1565.0609,808.48075,0,3400.9158,-2055.3459,4394.72905,1345.5699,5740.29895
62,1280.3373,3282.217,2186.4523,0,0,0,-3114.1608,-1540.9564,1587.617,803.851175,0,3407.7481,-2049.3752,4485.357575,1358.3729,5843.730475
63,1214.7424,3190.0761,2159.8586,0,0,0,-3140.6326,-1537.7749,1574.4781,805.775535,0,3415.3176,-2059.5517,4266.523235,1355.7659,5622.289135
64,1239.1307,3209.6919,2158.7143,0,0,0,-3126.7521,-1541.5267,1584.7376,809.31064,0,3393.885,-2041.1399,4333.30634,1352.7451,5686.05144
65,1283.8282,3231.0335,2201.8984,0,0,0,-3108.7425,-1538.5544,1563.4754,804.02456,0,3426.5773,-2070.0274,4436.96316,1356.5499,5793.51306
66,1170.6636,3257.0766,2179.4898,0,0,0,-3102.1699,-1546.5108,1584.7216,811.200325,0,3411.2115,-2066.2385,4354.471225,1344.973,5699.444225
67,1230.4436,3236.2412,2168.7389,0,0,0,-3092.1066,-1544.1002,1577.3116,813.67903,0,3428.6184,-2077.3757,4390.20753,1351.2427,5741.45023
68,1257.7504,3283.5723,2169.1023,0,0,0,-3123.5897,-1543.2044,1587.3461,809.557795,0,3416.702,-2078.4785,4440.534795,1338.2235,5778.758295
69,1281.3181,3236.0562,2190.99,0,0,0,-3119.5624,-1543.3383,1550.3245,806.67624,0,3417.8927,-2076.0331,4402.46434,1341.8596,5744.32394
70,1227.8699,3283.1817,2204.1859,0,0,0,-3126.04,-1547.6561,1586.622,809.208045,0,3410.4508,-2070.7738,4437.371445,1339.677,5777.048445
71,1228.9539,3264.4666,2187.7311,0,0,0,-3094.2319,-1547.0508,1600.9613,808.33921,0,3406.789,-2074.7993,4449.16941,1331.9897,5781.15911
72,1244.8944,3195.7227,2182.6305,0,0,0,-3147.8725,-1543.7564,1582.8893,810.650415,0,3424.1817,-2077.4132,4325.158415,1346.7685,5671.926915
73,1251.5381,3243.8297,2139.2278,0,0,0,-3122.8788,-1546.669,1602.396,811.4493,0,3415.9791,-2073.9988,4378.8931,1341.9803,5720.8734
74,1235.7877,3259.4993,2138.1259,0,0,0,-3155.6271,-1543.1794,1579.9852,811.31967,0,3425.1692,-2084.0649,4325.91127,1341.1043,5667.01557
