POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3140.899,-1535.1615,0,3378.6232,-2016.3374,-4676.0605,1362.2858,-3313.7747
1,-3171.8127,-1541.3491,0,3383.901,-2012.4107,-4713.1618,1371.4903,-3341.6715
2,-3184.4063,-1540.5791,0,3372.3059,-2013.3182,-4724.9854,1358.9877,-3365.9977
3,-3159.5234,-1542.3253,0,3353.3114,-2000.902,-4701.8487,1352.4094,-3349.4393
4,-3182.5323,-1537.2522,0,3365.0152,-2001.0412,-4719.7845,1363.974,-3355.8105
5,-3181.0038,-1538.9835,0,3376.5348,-2010.6646,-4719.9873,1365.8702,-3354.1171
6,-3175.2255,-1539.3446,0,3373.7659,-2016.0208,-4714.5701,1357.7451,-3356.825
7,-3175.8765,-1540.6039,0,3366.1256,-2011.1126,-4716.4804,1355.013,-3361.4674
8,-3166.1744,-1540.6395,0,3369.8536,-2015.2561,-4706.8139,1354.5975,-3352.2164
9,-3175.5718,-1540.2784,0,3373.7045,-2011.2435,-4715.8502,1362.461,-3353.3892
10,-3147.808,-1538.1827,0,3374.4274,-2019.3554,-4685.9907,1355.072,-3330.9187
11,-3161.3833,-1542.2041,0,3377.2152,-2031.7613,-4703.5874,1345.4539,-3358.1335
12,-3138.9973,-1546.8073,0,3374.3802,-2026.452,-4685.8046,1347.9282,-3337.8764
13,-3194.09,-1539.5276,0,3366.0831,-2009.9672,-4733.6176,1356.1159,-3377.5017
14,-3094.5829,-1540.2289,0,3369.315,-2014.008,-4634.8118,1355.307,-3279.5048
15,-3169.0925,-1536.2282,0,3378.3492,-2012.4038,-4705.3207,1365.9454,-3339.3753
16,-3203.6024,-1541.6352,0,3374.555,-2021.3631,-4745.2376,1353.1919,-3392.0457
17,-3169.8193,-1540.1684,0,3365.8421,-1996.7406,-4709.9877,1369.1015,-3340.8862
18,-3196.7978,-1533.3319,0,3369.367,-2009.0413,-4730.1297,1360.3257,-3369.804
19,-3159.6846,-1537.7746,0,3364.453,-2004.7266,-4697.4592,1359.7264,-3337.7328
20,-3174.7867,-1535.1532,0,3368.6535,-1995.864,-4709.9399,1372.7895,-3337.1504
21,-3178.9557,-1534.8741,0,3356.8315,-1987.1647,-4713.8298,1369.6668,-3344.163
22,-3180.0492,-1535.4663,0,3370.1513,-1996.6865,-4715.5155,1373.4648,-3342.0507
23,-3179.7779,-1538.709,0,3367.3588,-2002.1149,-4718.4869,1365.2439,-3353.243
24,-3165.9135,-1543.1034,0,3364.2876,-2003.6606,-4709.0169,1360.627,-3348.3899
