POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1231.4652,3185.0655,2204.462,0,0,0,-3176.4656,-1540.44,1571.1175,809.2893,0,3359.8555,-1994.2497,4284.4939,1365.6058,5650.0997
1,1223.8039,3216.2237,2183.8706,0,0,0,-3170.5317,-1541.6216,1588.1405,811.48226,0,3368.5543,-2010.3085,4311.36766,1358.2458,5669.61346
2,1237.8136,3283.4874,2175.6165,0,0,0,-3166.5155,-1544.566,1547.9214,816.578915,0,3379.5493,-2016.9417,4350.336315,1362.6076,5712.943915
3,1222.7247,3237.3618,2173.5348,0,0,0,-3173.2579,-1544.5809,1602.0218,813.960795,0,3373.147,-2008.9197,4331.765095,1364.2273,5695.992395
4,1189.3867,3285.768,2225.7071,0,0,0,-3127.0661,-1546.3968,1568.4697,815.29656,0,3379.573,-2007.3607,4411.16516,1372.2123,5783.37746
5,1193.8364,3214.6911,2189.1796,0,0,0,-3179.2568,-1539.2636,1569.2908,811.058565,0,3378.0184,-2006.8295,4259.536065,1371.1889,5630.724965
6,1231.7881,3269.4633,2201.2695,0,0,0,-3177.6242,-1540.3807,1578.0163,805.208605,0,3362.322,-1998.6038,4367.740905,1363.7182,5731.459105
7,1240.1189,3151.4229,2185.7518,0,0,0,-3164.2213,-1547.9291,1611.9372,815.542605,0,3353.2547,-2001.3586,4292.623005,1351.8961,5644.519105
8,1266.0723,3217.5978,2205.1862,0,0,0,-3162.6587,-1544.6474,1579.0115,812.78912,0,3355.8251,-1996.3021,4373.35082,1359.523,5732.87382
9,1228.0938,3202.6409,2170.242,0,0,0,-3177.0943,-1544.1581,1579.7868,811.90915,0,3370.4348,-2015.3731,4271.42025,1355.0617,5626.48195
10,1284.3258,3247.6594,2188.1693,0,0,0,-3174.8822,-1547.1481,1592.6322,816.01975,0,3358.2585,-1998.9787,4406.77615,1359.2798,5766.05595
11,1243.5252,3175.9487,2198.7753,0,0,0,-3179.5901,-1539.6984,1577.414,808.16068,0,3367.425,-2007.8504,4284.53538,1359.5746,5644.10998
12,1243.6824,3272.2491,2174.9074,0,0,0,-3161.2994,-1543.0971,1602.6492,810.94299,0,3368.7716,-2011.5612,4400.03459,1357.2104,5757.24499
13,1247.3807,3242.0724,2196.4065,0,0,0,-3133.704,-1545.0976,1573.2478,813.175365,0,3387.8322,-2026.2419,4393.481165,1361.5903,5755.071465
14,1226.5593,3229.9093,2187.0975,0,0,0,-3166.8709,-1546.3767,1600.442,815.27369,0,3378.0373,-2016.4833,4346.03419,1361.554,5707.58819
15,1286.4021,3265.3215,2159.2242,0,0,0,-3158.9388,-1544.9974,1567.3152,812.184565,0,3379.71,-2023.3766,4386.511365,1356.3334,5742.844765
16,1266.383,3263.7727,2214.5699,0,0,0,-3177.3723,-1543.9265,1610.4944,814.033915,0,3396.7861,-2025.7715,4447.955115,1371.0146,5818.969715
17,1242.0236,3237.0422,2185.165,0,0,0,-3195.2293,-1543.2711,1578.0555,811.87823,0,3367.4155,-1995.0825,4315.66413,1372.333,5687.99713
18,1251.5755,3215.0953,2197.4578,0,0,0,-3182.1237,-1547.2635,1619.8871,817.21269,0,3370.0096,-1997.9519,4371.84119,1372.0577,5743.89889
19,1217.6908,3257.0003,2222.6388,0,0,0,-3177.2091,-1545.8132,1587.5208,813.1635,0,3354.5541,-1991.0966,4374.9919,1363.4575,5738.4494
20,1266.7154,3319.5703,2190.9171,0,0,0,-3210.6834,-1546.6831,1542.4494,813.7993,0,3354.9415,-1982.3616,4376.085,1372.5799,5748.6649
