POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3141.9821,-1539.8678,0,3382.7954,-2037.0725,-4681.8499,1345.7229,-3336.127
1,-3187.9221,-1536.6838,0,3379.8612,-2025.2107,-4724.6059,1354.6505,-3369.9554
2,-3152.6829,-1540.4439,0,3387.1046,-2034.4621,-4693.1268,1352.6425,-3340.4843
3,-3148.6736,-1541.4146,0,3378.0373,-2023.3289,-4690.0882,1354.7084,-3335.3798
4,-3125.2058,-1540.0935,0,3393.4172,-2036.5202,-4665.2993,1356.897,-3308.4023
5,-3130.5495,-1542.0011,0,3395.4915,-2041.3462,-4672.5506,1354.1453,-3318.4053
6,-3152.7869,-1537.3002,0,3389.2497,-2023.5391,-4690.0871,1365.7106,-3324.3765
7,-3119.5483,-1540.9223,0,3397.3626,-2041.7335,-4660.4706,1355.6291,-3304.8415
8,-3154.3654,-1540.4618,0,3386.84,-2033.9331,-4694.8272,1352.9069,-3341.9203
9,-3155.6193,-1541.4176,0,3394.8064,-2046.6666,-4697.0369,1348.1398,-3348.8971
10,-3116.1765,-1546.3032,0,3385.9848,-2035.4628,-4662.4797,1350.522,-3311.9577
11,-3159.9342,-1540.7771,0,3400.3346,-2037.5164,-4700.7113,1362.8182,-3337.8931
12,-3124.8875,-1546.6312,0,3413.9804,-2068.8377,-4671.5187,1345.1427,-3326.376
13,-3139.4244,-1539.8431,0,3402.3522,-2047.5337,-4679.2675,1354.8185,-3324.449
14,-3154.7224,-1543.949,0,3391.5981,-2038.721,-4698.6714,1352.8771,-3345.7943
15,-3176.0418,-1544.0991,0,3378.0042,-2031.3551,-4720.1409,1346.6491,-3373.4918
16,-3114.2337,-1544.9688,0,3391.7068,-2039.6706,-4659.2025,1352.0362,-3307.1663
17,-3097.018,-1542.6756,0,3396.4885,-2046.1923,-4639.6936,1350.2962,-3289.3974
18,-3150.083,-1543.7977,0,3395.4348,-2048.6989,-4693.8807,1346.7359,-3347.1448
19,-3143.8711,-1541.6934,0,3399.829,-2045.6059,-4685.5645,1354.2231,-3331.3414
20,-3142.8394,-1544.7388,0,3397.9154,-2035.7984,-4687.5782,1362.117,-3325.4612
21,-3182.0386,-1541.5866,0,3398.3454,-2040.5933,-4723.6252,1357.7521,-3365.8731
22,-3147.0904,-1537.5138,0,3395.1276,-2032.8808,-4684.6042,1362.2468,-3322.3574
23,-3169.823,-1535.2102,0,3410.6493,-2053.275,-4705.0332,1357.3743,-3347.6589
24,-3128.1137,-1536.0373,0,3396.29,-2036.6427,-4664.151,1359.6473,-3304.5037
25,-3176.899,-1533.8663,0,3391.5792,-2026.6425,-4710.7653,1364.9367,-3345.8286
26,-3136.7174,-1534.2324,0,3400.2212,-2022.0433,-4670.9498,1378.1779,-3292.7719
