POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1288.4885,3254.8442,2189.2338,0,0,0,-3169.8147,-1542.9033,1574.4498,816.629615,0,3380.6739,-2021.6775,4410.927915,1358.9964,5769.924315
1,1191.6107,3158.2489,2212.0701,0,0,0,-3168.3774,-1542.176,1610.2709,818.47607,0,3384.194,-2016.4252,4280.12327,1367.7688,5647.89207
2,1211.7878,3199.4182,2187.5168,0,0,0,-3156.9061,-1543.229,1584.4865,818.19505,0,3389.7789,-2029.7041,4301.26925,1360.0748,5661.34405
3,1222.8087,3303.9412,2201.6347,0,0,0,-3176.2736,-1543.468,1583.5946,821.231285,0,3389.3254,-2004.5616,4413.468885,1384.7638,5798.232685
4,1225.0576,3273.9712,2164.9543,0,0,0,-3178.7588,-1537.8289,1569.5922,814.956605,0,3399.6164,-2021.5533,4331.944205,1378.0631,5710.007305
5,1224.9339,3316.2531,2246.3882,0,0,0,-3151.145,-1538.8805,1596.0342,814.655095,0,3401.7663,-2027.9762,4508.238995,1373.7901,5882.029095
6,1220.0424,3151.6424,2210.8842,0,0,0,-3167.8013,-1539.5979,1579.6337,817.3949,0,3397.9296,-2030.8814,4272.1984,1367.0482,5639.2466
7,1323.2849,3195.2564,2184.649,0,0,0,-3168.0041,-1546.1861,1605.5057,821.430755,0,3380.4896,-2007.7788,4415.936555,1372.7108,5788.647355
8,1209.9364,3376.0801,2190.8295,0,0,0,-3187.3718,-1539.2777,1583.0983,815.171395,0,3382.3843,-2012.2828,4448.466195,1370.1015,5818.567695
9,1223.6244,3228.7862,2207.3555,0,0,0,-3152.8931,-1536.1913,1600.555,816.200875,0,3377.9381,-2012.4949,4387.437575,1365.4432,5752.880775
10,1236.8802,3231.6601,2197.0819,0,0,0,-3177.6555,-1534.9772,1571.8801,814.81934,0,3393.1479,-2029.022,4339.68894,1364.1259,5703.81484
11,1183.3234,3276.4769,2188.1384,0,0,0,-3123.9283,-1536.9298,1575.9979,814.489565,0,3406.7653,-2046.1747,4377.568065,1360.5906,5738.158665
12,1286.7408,3165.6846,2178.323,0,0,0,-3149.9358,-1539.4245,1573.4286,816.11176,0,3397.0413,-2033.588,4330.92846,1363.4533,5694.38176
13,1265.4586,3300.3428,2183.0056,0,0,0,-3150.1114,-1539.1139,1568.049,815.532665,0,3376.4923,-2019.8918,4443.163365,1356.6005,5799.763865
14,1278.6257,3297.3966,2194.7906,0,0,0,-3164.0212,-1539.6026,1568.5263,815.95122,0,3391.2862,-2016.7381,4451.66662,1374.5481,5826.21472
15,1237.1027,3195.813,2171.6723,0,0,0,-3145.1911,-1538.2717,1587.7269,814.460515,0,3390.4688,-2030.2907,4323.312615,1360.1781,5683.490715
16,1223.9105,3215.3562,2159.9743,0,0,0,-3079.0095,-1541.9513,1610.8198,812.790535,0,3394.6646,-2039.2913,4401.890535,1355.3733,5757.263835
17,1239.3146,3266.1271,2181.0222,0,0,0,-3157.1171,-1545.4863,1576.5272,819.794715,0,3394.863,-2028.1103,4380.182415,1366.7527,5746.935115
18,1220.2492,3223.2007,2168.7883,0,0,0,-3177.0158,-1543.4357,1612.0216,817.63715,0,3380.0833,-2023.3818,4321.44545,1356.7015,5678.14695
19,1282.7143,3278.8235,2149.0967,0,0,0,-3164.7948,-1547.3088,1604.11,818.31335,0,3393.0061,-2033.4789,4420.95425,1359.5272,5780.48145
20,1237.1345,3174.8551,2201.4618,0,0,0,-3188.1392,-1547.6976,1604.5251,818.70863,0,3382.0867,-2021.675,4300.84833,1360.4117,5661.26003
21,1256.8453,3215.2031,2192.7582,0,0,0,-3194.8565,-1545.1329,1550.8189,816.511505,0,3375.1551,-2026.4243,4292.147605,1348.7308,5640.878405
22,1214.8321,3233.5602,2202.6797,0,0,0,-3145.338,-1542.4781,1584.5653,814.32861,0,3406.0566,-2047.8839,4362.14981,1358.1727,5720.32251
23,1271.1495,3248.7911,2190.8865,0,0,0,-3140.5096,-1545.2145,1584.6292,815.375615,0,3393.696,-2047.5819,4425.107815,1346.1141,5771.221915
24,1202.3975,3341.3234,2229.7597,0,0,0,-3144.3953,-1546.4479,1601.4159,817.02195,0,3397.9579,-2041.2417,4501.07525,1356.7162,5857.79145
25,1284.2301,3237.7937,2218.3554,0,0,0,-3130.1816,-1550.3081,1590.0034,818.50431,0,3406.6614,-2047.218,4468.39721,1359.4434,5827.84061
26,1220.7972,3204.8619,2222.8679,0,0,0,-3127.6761,-1544.9405,1601.2903,815.7802,0,3408.8018,-2057.3956,4392.9809,1351.4062,5744.3871
27,1250.4898,3203.3184,2185.7451,0,0,0,-3157.8414,-1539.9625,1544.6852,811.35155,0,3395.4395,-2035.6568,4297.78615,1359.7827,5657.56885
28,1209.4949,3186.715,2187.0405,0,0,0,-3165.4682,-1547.128,1609.8079,820.679455,0,3391.6501,-2039.1426,4301.141555,1352.5075,5653.649055
29,1236.7047,3233.2548,2188.3746,0,0,0,-3142.0895,-1544.4556,1554.7728,814.27411,0,3412.2558,-2058.9592,4340.83591,1353.2966,5694.13251
30,1214.7989,3181.4076,2194.1104,0,0,0,-3095.1931,-1552.4764,1607.8728,819.96964,0,3395.534,-2049.4024,4370.48984,1346.1316,5716.62144
31,1266.3303,3210.1229,2147.0913,0,0,0,-3098.8337,-1547.8716,1572.4662,816.49033,0,3390.7476,-2051.1039,4365.79573,1339.6437,5705.43943
32,1239.0771,3259.8696,2168.959,0,0,0,-3189.4764,-1543.1729,1581.1543,816.05271,0,3384.865,-2025.8958,4332.46341,1358.9692,5691.43261
33,1227.5268,3200.3553,2145.7959,0,0,0,-3121.5065,-1547.7594,1589.7699,817.986595,0,3403.4389,-2049.2664,4312.168595,1354.1725,5666.341095
34,1275.2822,3239.8377,2169.9501,0,0,0,-3152.7461,-1549.9037,1566.2759,818.024215,0,3399.5125,-2041.2435,4366.720315,1358.269,5724.989315
35,1228.953,3218.4085,2215.7485,0,0,0,-3136.0916,-1546.9814,1574.1294,816.280025,0,3400.259,-2056.5305,4370.446425,1343.7285,5714.174925
36,1297.2317,3202.6457,2158.5395,0,0,0,-3133.9482,-1544.5823,1587.6485,815.219285,0,3411.0226,-2049.0798,4382.754185,1361.9428,5744.696985
37,1246.6058,3167.1618,2203.5095,0,0,0,-3127.6311,-1547.654,1575.3802,815.977035,0,3390.4357,-2035.4032,4333.349235,1355.0325,5688.381735
38,1283.2279,3254.4765,2185.3205,0,0,0,-3144.7931,-1546.2549,1564.7039,817.15361,0,3403.042,-2045.2273,4413.83441,1357.8147,5771.64911
39,1229.0106,3239.734,2204.4132,0,0,0,-3122.7424,-1558.5891,1602.2757,820.96234,0,3372.1358,-2018.0843,4415.06434,1354.0515,5769.11584
40,1247.3809,3192.1332,2178.5061,0,0,0,-3164.7708,-1546.4637,1564.824,815.877125,0,3384.1231,-2031.3256,4287.486825,1352.7975,5640.284325
41,1217.0149,3248.279,2175.0852,0,0,0,-3152.621,-1547.9912,1587.333,816.141295,0,3399.1912,-2035.5581,4343.241195,1363.6331,5706.874295
42,1223.1284,3244.9086,2245.5159,0,0,0,-3162.7028,-1550.597,1587.6234,819.932195,0,3387.303,-2034.4194,4407.808695,1352.8836,5760.692295
43,1183.5729,3218.4466,2180.3882,0,0,0,-3165.9558,-1552.0977,1622.4289,823.054775,0,3380.4613,-2026.3869,4309.837875,1354.0744,5663.912275
44,1235.3783,3251.2163,2194.4648,0,0,0,-3138.7476,-1547.8661,1557.0903,817.784185,0,3399.3518,-2039.3471,4369.320185,1360.0047,5729.324885
