POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3133.6735,-1551.5914,0,3375.2449,-2023.9338,-4685.2649,1351.3111,-3333.9538
1,-3134.7041,-1549.6308,0,3392.4628,-2031.2109,-4684.3349,1361.2519,-3323.083
2,-3141.1771,-1553.203,0,3394.5795,-2045.6244,-4694.3801,1348.9551,-3345.425
3,-3187.6755,-1546.6559,0,3377.631,-2029.0422,-4734.3314,1348.5888,-3385.7426
4,-3183.6161,-1545.0513,0,3388.6969,-2037.3595,-4728.6674,1351.3374,-3377.33
5,-3103.8105,-1552.1615,0,3387.6385,-2029.1823,-4655.972,1358.4562,-3297.5158
6,-3143.4271,-1554.732,0,3375.6465,-2022.3677,-4698.1591,1353.2788,-3344.8803
7,-3137.7048,-1554.8243,0,3389.2072,-2044.0128,-4692.5291,1345.1944,-3347.3347
8,-3135.4764,-1546.459,0,3384.813,-2028.9765,-4681.9354,1355.8365,-3326.0989
9,-3183.2361,-1546.1366,0,3374.4322,-2022.0747,-4729.3727,1352.3575,-3377.0152
10,-3166.469,-1543.1892,0,3392.7652,-2029.023,-4709.6582,1363.7422,-3345.916
11,-3175.6702,-1546.108,0,3386.6935,-2022.367,-4721.7782,1364.3265,-3357.4517
12,-3190.6751,-1542.313,0,3394.7166,-2033.5534,-4732.9881,1361.1632,-3371.8249
13,-3160.1491,-1544.3437,0,3384.8083,-2025.5269,-4704.4928,1359.2814,-3345.2114
14,-3143.4213,-1544.152,0,3393.5401,-2036.1897,-4687.5733,1357.3504,-3330.2229
15,-3178.645,-1542.2368,0,3372.5327,-2016.6062,-4720.8818,1355.9265,-3364.9553
16,-3124.0633,-1546.6969,0,3378.6799,-2022.1216,-4670.7602,1356.5583,-3314.2019
17,-3163.287,-1546.3925,0,3379.2044,-2029.5676,-4709.6795,1349.6368,-3360.0427
18,-3190.6573,-1541.4981,0,3383.901,-2021.7516,-4732.1554,1362.1494,-3370.006
19,-3148.1569,-1548.2356,0,3384.2554,-2021.4146,-4696.3925,1362.8408,-3333.5517
20,-3178.4556,-1544.0223,0,3380.036,-2022.5492,-4722.4779,1357.4868,-3364.9911
21,-3192.0873,-1548.3426,0,3385.5831,-2031.4624,-4740.4299,1354.1207,-3386.3092
22,-3188.5574,-1544.3248,0,3403.0515,-2038.5523,-4732.8822,1364.4992,-3368.383
23,-3111.0189,-1549.5507,0,3366.3949,-2013.6509,-4660.5696,1352.744,-3307.8256
24,-3155.7939,-1545.9291,0,3388.3095,-2024.9237,-4701.723,1363.3858,-3338.3372
25,-3172.2119,-1548.4168,0,3380.4518,-2019.8218,-4720.6287,1360.63,-3359.9987
26,-3133.3311,-1548.7346,0,3387.5062,-2038.4531,-4682.0657,1349.0531,-3333.0126
27,-3158.9411,-1549.0655,0,3382.3938,-2025.5294,-4708.0066,1356.8644,-3351.1422
28,-3169.2315,-1549.1914,0,3391.6973,-2032.0433,-4718.4229,1359.654,-3358.7689
29,-3165.8427,-1551.0588,0,3387.4495,-2032.8673,-4716.9015,1354.5822,-3362.3193
30,-3154.8949,-1554.0208,0,3385.602,-2038.5295,-4708.9157,1347.0725,-3361.8432
31,-3142.3253,-1548.5505,0,3386.4951,-2038.9361,-4690.8758,1347.559,-3343.3168
32,-3124.8543,-1550.3285,0,3396.6255,-2035.8958,-4675.1828,1360.7297,-3314.4531
33,-3171.6126,-1548.4587,0,3389.8782,-2040.1804,-4720.0713,1349.6978,-3370.3735
34,-3170.9715,-1551.7683,0,3373.9266,-2015.2655,-4722.7398,1358.6611,-3364.0787
35,-3180.6254,-1547.5807,0,3378.3681,-2021.8028,-4728.2061,1356.5653,-3371.6408
36,-3171.6173,-1548.6116,0,3382.0772,-2021.1987,-4720.2289,1360.8785,-3359.3504
37,-3151.3787,-1553.2971,0,3384.0806,-2028.2463,-4704.6758,1355.8343,-3348.8415
38,-3193.0169,-1548.2238,0,3370.0852,-2016.2153,-4741.2407,1353.8699,-3387.3708
39,-3167.8033,-1548.6044,0,3369.6316,-2022.2213,-4716.4077,1347.4103,-3368.9974
40,-3171.1808,-1554.1765,0,3363.026,-2013.3356,-4725.3573,1349.6904,-3375.6669
41,-3196.822,-1545.9118,0,3370.1371,-2013.5684,-4742.7338,1356.5687,-3386.1651
42,-3120.1284,-1547.5109,0,3402.1821,-2040.6573,-4667.6393,1361.5248,-3306.1145
43,-3190.9795,-1549.5954,0,3374.1912,-2016.2773,-4740.5749,1357.9139,-3382.661
44,-3184.5439,-1548.3878,0,3384.7704,-2021.9092,-4732.9317,1362.8612,-3370.0705
45,-3174.9806,-1547.8167,0,3382.9466,-2038.3678,-4722.7973,1344.5788,-3378.2185
46,-3174.1005,-1548.7171,0,3385.8619,-2029.5807,-4722.8176,1356.2812,-3366.5364
47,-3154.5563,-1551.5647,0,3392.5384,-2051.6359,-4706.121,1340.9025,-3365.2185
48,-3200.196,-1553.0552,0,3366.6737,-2018.9542,-4753.2512,1347.7195,-3405.5317
49,-3165.2791,-1554.5811,0,3381.2834,-2023.5122,-4719.8602,1357.7712,-3362.089
50,-3161.9286,-1550.5456,0,3382.7529,-2039.685,-4712.4742,1343.0679,-3369.4063
51,-3178.592,-1556.3738,0,3373.095,-2021.172,-4734.9658,1351.923,-3383.0428
52,-3177.5501,-1550.9102,0,3372.9958,-2019.5235,-4728.4603,1353.4723,-3374.988
53,-3156.2463,-1553.3499,0,3390.672,-2024.8434,-4709.5962,1365.8286,-3343.7676
54,-3151.443,-1548.5161,0,3383.4664,-2029.0779,-4699.9591,1354.3885,-3345.5706
55,-3152.76,-1552.5468,0,3384.9878,-2032.1458,-4705.3068,1352.842,-3352.4648
56,-3162.0865,-1546.2553,0,3380.2628,-2042.6287,-4708.3418,1337.6341,-3370.7077
57,-3165.3979,-1548.5582,0,3393.5117,-2023.8735,-4713.9561,1369.6382,-3344.3179
58,-3191.3206,-1548.6832,0,3370.8175,-2026.6945,-4740.0038,1344.123,-3395.8808
59,-3172.0799,-1548.5087,0,3391.4847,-2025.5622,-4720.5886,1365.9225,-3354.6661
60,-3146.0632,-1549.8507,0,3387.6716,-2030.6235,-4695.9139,1357.0481,-3338.8658
61,-3145.4646,-1552.2175,0,3374.881,-2028.9785,-4697.6821,1345.9025,-3351.7796
62,-3185.0262,-1546.1495,0,3389.7695,-2023.7,-4731.1757,1366.0695,-3365.1062
63,-3178.3641,-1548.1538,0,3374.2101,-2014.8028,-4726.5179,1359.4073,-3367.1106
64,-3191.246,-1547.2515,0,3380.7873,-2029.4189,-4738.4975,1351.3684,-3387.1291
65,-3148.869,-1545.0083,0,3374.4511,-2014.4676,-4693.8773,1359.9835,-3333.8938
66,-3172.7266,-1548.5093,0,3397.6933,-2042.51,-4721.2359,1355.1833,-3366.0526
67,-3162.9096,-1546.3308,0,3384.572,-2030.0055,-4709.2404,1354.5665,-3354.6739
68,-3168.3837,-1544.668,0,3383.8207,-2019.8664,-4713.0517,1363.9543,-3349.0974
69,-3166.1417,-1547.1778,0,3374.3896,-2013.4055,-4713.3195,1360.9841,-3352.3354
70,-3145.3465,-1547.0419,0,3370.1088,-2010.1725,-4692.3884,1359.9363,-3332.4521
71,-3169.6543,-1545.9221,0,3382.6017,-2023.1812,-4715.5764,1359.4205,-3356.1559
72,-3149.8274,-1542.2885,0,3403.7697,-2046.3221,-4692.1159,1357.4476,-3334.6683
73,-3166.4902,-1544.6326,0,3388.678,-2033.4742,-4711.1228,1355.2038,-3355.919
74,-3197.4697,-1547.1786,0,3383.0742,-2015.8202,-4744.6483,1367.254,-3377.3943
75,-3177.9728,-1546.9545,0,3381.3307,-2012.973,-4724.9273,1368.3577,-3356.5696
76,-3160.526,-1544.8906,0,3380.2486,-2022.6747,-4705.4166,1357.5739,-3347.8427
77,-3157.8841,-1547.8936,0,3372.5611,-2016.6356,-4705.7777,1355.9255,-3349.8522
78,-3176.2645,-1545.7158,0,3378.9682,-2020.1339,-4721.9803,1358.8343,-3363.146
79,-3192.3491,-1542.2583,0,3368.4219,-2006.8337,-4734.6074,1361.5882,-3373.0192
80,-3200.4077,-1548.0012,0,3356.5811,-1987.2427,-4748.4089,1369.3384,-3379.0705
81,-3169.2925,-1549.6336,0,3368.3322,-2008.6057,-4718.9261,1359.7265,-3359.1996
82,-3160.4828,-1546.7373,0,3390.8563,-2037.1474,-4707.2201,1353.7089,-3353.5112
83,-3139.1974,-1545.4906,0,3380.5085,-2033.6871,-4684.688,1346.8214,-3337.8666
84,-3133.792,-1544.8405,0,3394.3953,-2035.0346,-4678.6325,1359.3607,-3319.2718
85,-3195.0106,-1539.8347,0,3381.7748,-2025.5969,-4734.8453,1356.1779,-3378.6674
86,-3121.3361,-1543.2602,0,3382.4174,-2035.1092,-4664.5963,1347.3082,-3317.2881
87,-3150.3655,-1544.4232,0,3385.9753,-2027.901,-4694.7887,1358.0743,-3336.7144
88,-3158.2535,-1537.1487,0,3393.9795,-2035.0354,-4695.4022,1358.9441,-3336.4581
89,-3166.2333,-1541.1035,0,3388.7111,-2023.7134,-4707.3368,1364.9977,-3342.3391
90,-3198.9257,-1548.7874,0,3373.095,-2016.1683,-4747.7131,1356.9267,-3390.7864
91,-3154.3906,-1546.0883,0,3383.301,-2026.425,-4700.4789,1356.876,-3343.6029
92,-3167.8103,-1544.2371,0,3374.4794,-2023.9162,-4712.0474,1350.5632,-3361.4842
93,-3171.4311,-1545.902,0,3373.6525,-2016.7227,-4717.3331,1356.9298,-3360.4033
94,-3155.9817,-1543.4376,0,3382.3182,-2025.8988,-4699.4193,1356.4194,-3342.9999
95,-3180.616,-1547.8884,0,3374.64,-2021.1698,-4728.5044,1353.4702,-3375.0342
96,-3174.5838,-1548.2006,0,3388.3615,-2034.2578,-4722.7844,1354.1037,-3368.6807
97,-3127.814,-1554.1601,0,3384.6618,-2036.4042,-4681.9741,1348.2576,-3333.7165
