POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1277.2049,3102.2482,2150.795,0,0,0,-3189.7659,-1550.5503,1618.3691,829.050535,0,3377.5507,-1991.6817,4237.351535,1385.869,5623.220535
1,1265.2063,3222.4718,2154.8136,0,0,0,-3166.3945,-1543.6336,1558.6648,820.411465,0,3396.6019,-2016.1174,4311.539865,1380.4845,5692.024365
2,1288.0549,3246.2506,2183.1391,0,0,0,-3215.3508,-1545.5956,1592.6101,821.520685,0,3373.2934,-1993.4773,4370.628985,1379.8161,5750.445085
3,1277.6884,3283.4821,2177.765,0,0,0,-3194.8761,-1544.0533,1567.3917,819.556195,0,3378.3681,-2004.433,4386.953995,1373.9351,5760.889095
4,1226.8591,3244.6882,2155.3854,0,0,0,-3208.0815,-1549.0303,1577.303,825.98711,0,3374.4605,-1992.5833,4273.11101,1381.8772,5654.98821
5,1235.2595,3234.8425,2171.7733,0,0,0,-3200.2556,-1545.178,1573.9648,821.27124,0,3377.3522,-1996.9331,4291.67774,1380.4191,5672.09684
6,1252.2197,3229.5035,2159.7689,0,0,0,-3147.4878,-1547.8456,1578.4813,818.813175,0,3372.613,-1998.6559,4343.453175,1373.9571,5717.410275
7,1285.414,3172.4065,2170.2402,0,0,0,-3179.2209,-1549.3222,1563.8639,820.13247,0,3373.9313,-1997.2323,4283.51397,1376.699,5660.21297
8,1187.2966,3333.0292,2214.8254,0,0,0,-3228.454,-1546.7137,1563.8803,821.45051,0,3362.6669,-1987.4152,4345.31431,1375.2517,5720.56601
9,1210.5901,3250.6325,2153.2174,0,0,0,-3211.3372,-1552.7463,1591.3976,823.660755,0,3376.0434,-2005.9414,4265.414855,1370.102,5635.516855
10,1240.4647,3279.0881,2150.0087,0,0,0,-3206.4175,-1553.0264,1584.9145,826.971145,0,3368.4078,-1990.7533,4322.003245,1377.6545,5699.657745
