POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3124.603,-1552.403,0,3407.8048,-2069.9673,-4677.006,1337.8375,-3339.1685
1,-3162.0539,-1558.2429,0,3395.5104,-2045.2248,-4720.2968,1350.2856,-3370.0112
2,-3180.2853,-1556.7625,0,3384.3688,-2043.543,-4737.0478,1340.8258,-3396.222
3,-3117.6648,-1556.889,0,3389.401,-2043.0151,-4674.5538,1346.3859,-3328.1679
4,-3151.6278,-1553.5482,0,3390.6672,-2034.7867,-4705.176,1355.8805,-3349.2955
5,-3182.1523,-1552.1898,0,3379.7761,-2027.1068,-4734.3421,1352.6693,-3381.6728
6,-3183.518,-1556.2765,0,3387.1802,-2047.6098,-4739.7945,1339.5704,-3400.2241
7,-3148.9962,-1555.8991,0,3396.6113,-2056.1026,-4704.8953,1340.5087,-3364.3866
8,-3173.7457,-1554.7484,0,3389.3395,-2048.8849,-4728.4941,1340.4546,-3388.0395
9,-3142.7183,-1550.0136,0,3397.7217,-2045.2682,-4692.7319,1352.4535,-3340.2784
10,-3114.224,-1549.8242,0,3396.3231,-2050.8725,-4664.0482,1345.4506,-3318.5976
11,-3147.2049,-1547.5995,0,3391.9288,-2035.3853,-4694.8044,1356.5435,-3338.2609
12,-3167.1426,-1546.7047,0,3388.9568,-2026.4295,-4713.8473,1362.5273,-3351.32
13,-3170.9831,-1547.7396,0,3381.6898,-2021.3855,-4718.7227,1360.3043,-3358.4184
14,-3144.9582,-1551.1354,0,3385.2713,-2023.7317,-4696.0936,1361.5396,-3334.554
15,-3175.36,-1556.5561,0,3389.056,-2035.0845,-4731.9161,1353.9715,-3377.9446
16,-3126.3616,-1553.5396,0,3403.4578,-2058.4663,-4679.9012,1344.9915,-3334.9097
17,-3143.8592,-1552.4016,0,3391.0831,-2045.8184,-4696.2608,1345.2647,-3350.9961
18,-3142.8811,-1554.3186,0,3402.1018,-2059.8665,-4697.1997,1342.2353,-3354.9644
19,-3130.5578,-1551.368,0,3390.9318,-2045.3453,-4681.9258,1345.5865,-3336.3393
20,-3132.9337,-1555.7796,0,3403.0751,-2042.4043,-4688.7133,1360.6708,-3328.0425
21,-3132.2071,-1552.1079,0,3395.9309,-2042.525,-4684.315,1353.4059,-3330.9091
22,-3138.0282,-1553.47,0,3406.2267,-2047.5001,-4691.4982,1358.7266,-3332.7716
23,-3143.5067,-1551.0971,0,3389.6136,-2039.1957,-4694.6038,1350.4179,-3344.1859
24,-3174.9894,-1552.1865,0,3391.8532,-2042.5216,-4727.1759,1349.3316,-3377.8443
25,-3160.2456,-1551.2558,0,3384.2365,-2040.3463,-4711.5014,1343.8902,-3367.6112
26,-3145.1423,-1556.9592,0,3392.6045,-2050.6781,-4702.1015,1341.9264,-3360.1751
27,-3149.7812,-1555.9936,0,3389.3348,-2045.3899,-4705.7748,1343.9449,-3361.8299
28,-3147.7046,-1554.6896,0,3414.4907,-2061.6639,-4702.3942,1352.8268,-3349.5674
29,-3122.3624,-1551.1233,0,3398.6431,-2052.4566,-4673.4857,1346.1865,-3327.2992
30,-3148.193,-1553.0461,0,3395.2411,-2043.5735,-4701.2391,1351.6676,-3349.5715
31,-3112.4606,-1557.7131,0,3403.042,-2059.3022,-4670.1737,1343.7398,-3326.4339
32,-3118.291,-1555.6605,0,3407.7009,-2071.8586,-4673.9515,1335.8423,-3338.1092
33,-3159.5936,-1552.7292,0,3400.2117,-2050.9097,-4712.3228,1349.302,-3363.0208
34,-3138.5151,-1554.9685,0,3408.3813,-2056.7497,-4693.4836,1351.6316,-3341.852
35,-3138.0889,-1553.8528,0,3412.4259,-2072.172,-4691.9417,1340.2539,-3351.6878
36,-3135.29,-1550.6822,0,3402.3853,-2060.494,-4685.9722,1341.8913,-3344.0809
37,-3083.157,-1552.0254,0,3422.7784,-2086.1287,-4635.1824,1336.6497,-3298.5327
38,-3148.6825,-1551.8315,0,3404.6816,-2065.6459,-4700.514,1339.0357,-3361.4783
39,-3084.7532,-1555.4863,0,3413.6119,-2071.2229,-4640.2395,1342.389,-3297.8505
40,-3120.7282,-1549.9358,0,3413.9284,-2077.9387,-4670.664,1335.9897,-3334.6743
41,-3111.5225,-1554.0009,0,3424.6872,-2086.174,-4665.5234,1338.5132,-3327.0102
42,-3146.835,-1555.0312,0,3414.349,-2072.8308,-4701.8662,1341.5182,-3360.348
43,-3120.5738,-1552.9019,0,3419.5748,-2078.03,-4673.4757,1341.5448,-3331.9309
44,-3115.0161,-1555.2895,0,3416.5508,-2086.6765,-4670.3056,1329.8743,-3340.4313
45,-3109.993,-1555.1774,0,3408.4144,-2072.3965,-4665.1704,1336.0179,-3329.1525
46,-3104.2531,-1552.3504,0,3424.9802,-2095.5541,-4656.6035,1329.4261,-3327.1774
47,-3138.7307,-1547.0063,0,3403.0657,-2070.5965,-4685.737,1332.4692,-3353.2678
48,-3140.4154,-1555.288,0,3400.6512,-2067.3706,-4695.7034,1333.2806,-3362.4228
49,-3119.1131,-1553.9846,0,3394.2205,-2050.2909,-4673.0977,1343.9296,-3329.1681
50,-3109.5572,-1555.7507,0,3415.8043,-2070.7336,-4665.3079,1345.0707,-3320.2372
51,-3130.4713,-1548.8453,0,3415.2987,-2073.4179,-4679.3166,1341.8808,-3337.4358
52,-3136.656,-1548.9656,0,3406.3873,-2068.0591,-4685.6216,1338.3282,-3347.2934
53,-3160.9928,-1550.8661,0,3414.4765,-2050.3694,-4711.8589,1364.1071,-3347.7518
54,-3131.5159,-1552.9098,0,3396.6586,-2045.9382,-4684.4257,1350.7204,-3333.7053
55,-3146.7291,-1549.515,0,3394.6268,-2046.8538,-4696.2441,1347.773,-3348.4711
56,-3154.7207,-1552.5379,0,3404.4879,-2060.9974,-4707.2586,1343.4905,-3363.7681
57,-3150.2296,-1556.5249,0,3395.9734,-2047.2379,-4706.7545,1348.7355,-3358.019
58,-3126.3063,-1557.3543,0,3405.7636,-2059.47,-4683.6606,1346.2936,-3337.367
59,-3137.482,-1552.9335,0,3399.0588,-2052.6263,-4690.4155,1346.4325,-3343.983
60,-3116.5126,-1553.4757,0,3391.1681,-2031.1533,-4669.9883,1360.0148,-3309.9735
61,-3109.3731,-1552.0944,0,3414.76,-2049.1264,-4661.4675,1365.6336,-3295.8339
62,-3126.6323,-1552.6988,0,3392.5431,-2046.5105,-4679.3311,1346.0326,-3333.2985
63,-3145.2289,-1555.7784,0,3395.2505,-2046.102,-4701.0073,1349.1485,-3351.8588
64,-3121.9227,-1551.5748,0,3400.07,-2034.6006,-4673.4975,1365.4694,-3308.0281
65,-3126.179,-1554.943,0,3400.3441,-2059.6939,-4681.122,1340.6502,-3340.4718
66,-3133.998,-1558.607,0,3400.5047,-2061.5595,-4692.605,1338.9452,-3353.6598
67,-3143.5828,-1547.2531,0,3420.6568,-2072.9407,-4690.8359,1347.7161,-3343.1198
68,-3137.2735,-1548.4541,0,3404.0107,-2058.6232,-4685.7276,1345.3875,-3340.3401
69,-3121.1228,-1552.8652,0,3407.7103,-2065.6296,-4673.988,1342.0807,-3331.9073
70,-3124.9534,-1551.5781,0,3406.3117,-2068.9225,-4676.5315,1337.3892,-3339.1423
71,-3103.1699,-1553.6024,0,3407.578,-2071.6336,-4656.7723,1335.9444,-3320.8279
72,-3127.8245,-1552.7469,0,3402.0923,-2065.6917,-4680.5714,1336.4006,-3344.1708
73,-3135.9387,-1552.2424,0,3397.5327,-2050.0818,-4688.1811,1347.4509,-3340.7302
74,-3173.3579,-1548.9751,0,3382.0252,-2040.3402,-4722.333,1341.685,-3380.648
75,-3123.1969,-1554.3656,0,3401.9836,-2062.4572,-4677.5625,1339.5264,-3338.0361
76,-3155.81,-1555.1699,0,3387.3503,-2044.8308,-4710.9799,1342.5195,-3368.4604
77,-3115.8771,-1557.7085,0,3392.2171,-2046.7815,-4673.5856,1345.4356,-3328.15
78,-3111.4082,-1556.5418,0,3392.3588,-2057.5384,-4667.95,1334.8204,-3333.1296
79,-3119.9632,-1558.6547,0,3378.5571,-2038.2452,-4678.6179,1340.3119,-3338.306
80,-3111.0938,-1557.4354,0,3382.7812,-2049.9148,-4668.5292,1332.8664,-3335.6628
81,-3096.0305,-1556.0735,0,3401.3883,-2063.7304,-4652.104,1337.6579,-3314.4461
82,-3128.7881,-1550.4,0,3417.6092,-2062.4384,-4679.1881,1355.1708,-3324.0173
83,-3098.8838,-1553.7873,0,3411.1076,-2071.0974,-4652.6711,1340.0102,-3312.6609
84,-3092.6452,-1557.1523,0,3394.0456,-2044.3085,-4649.7975,1349.7371,-3300.0604
85,-3158.2537,-1555.4222,0,3394.4662,-2044.2651,-4713.6759,1350.2011,-3363.4748
86,-3109.9143,-1554.966,0,3387.1235,-2041.5149,-4664.8803,1345.6086,-3319.2717
87,-3120.4881,-1555.1999,0,3392.7037,-2046.3212,-4675.688,1346.3825,-3329.3055
88,-3148.324,-1557.9713,0,3378.3823,-2022.6873,-4706.2953,1355.695,-3350.6003
89,-3117.5132,-1554.9521,0,3401.4308,-2035.8558,-4672.4653,1365.575,-3306.8903
90,-3156.6765,-1556.8608,0,3397.0555,-2045.4062,-4713.5373,1351.6493,-3361.888
91,-3156.0118,-1556.8705,0,3386.325,-2034.581,-4712.8823,1351.744,-3361.1383
92,-3153.4616,-1555.8498,0,3398.3785,-2051.8937,-4709.3114,1346.4848,-3362.8266
93,-3150.1337,-1554.9121,0,3381.1275,-2043.1382,-4705.0458,1337.9893,-3367.0565
94,-3142.8522,-1559.0337,0,3396.6916,-2050.494,-4701.8859,1346.1976,-3355.6883
95,-3158.1327,-1553.1343,0,3392.7179,-2044.9906,-4711.267,1347.7273,-3363.5397
96,-3150.7616,-1549.3145,0,3395.6758,-2044.2708,-4700.0761,1351.405,-3348.6711
97,-3165.9633,-1552.1309,0,3402.6782,-2045.4418,-4718.0942,1357.2364,-3360.8578
98,-3161.1306,-1546.8912,0,3408.1167,-2048.4303,-4708.0218,1359.6864,-3348.3354
99,-3195.1228,-1555.2935,0,3381.1889,-2018.8757,-4750.4163,1362.3132,-3388.1031
100,-3133.6668,-1554.6,0,3402.2577,-2040.9112,-4688.2668,1361.3465,-3326.9203
101,-3138.0949,-1555.0224,0,3403.6137,-2046.3915,-4693.1173,1357.2222,-3335.8951
102,-3129.7652,-1555.1943,0,3399.0163,-2049.1921,-4684.9595,1349.8242,-3335.1353
103,-3180.0175,-1548.4546,0,3397.8256,-2043.6246,-4728.4721,1354.201,-3374.2711
104,-3171.3469,-1557.1897,0,3384.761,-2037.7018,-4728.5366,1347.0592,-3381.4774
105,-3130.598,-1555.8281,0,3381.5622,-2040.6058,-4686.4261,1340.9564,-3345.4697
106,-3161.6321,-1553.5505,0,3393.6062,-2040.2752,-4715.1826,1353.331,-3361.8516
107,-3197.984,-1552.7963,0,3383.5231,-2037.6969,-4750.7803,1345.8262,-3404.9541
108,-3108.97,-1555.1886,0,3396.1766,-2048.8984,-4664.1586,1347.2782,-3316.8804
109,-3120.025,-1551.0162,0,3390.5964,-2043.1696,-4671.0412,1347.4268,-3323.6144
110,-3136.0821,-1556.4349,0,3400.448,-2044.0678,-4692.517,1356.3802,-3336.1368
111,-3140.1548,-1550.4058,0,3406.3495,-2044.8406,-4690.5606,1361.5089,-3329.0517
112,-3148.5972,-1552.044,0,3394.8583,-2034.9189,-4700.6412,1359.9394,-3340.7018
113,-3111.7072,-1559.7467,0,3386.566,-2046.9571,-4671.4539,1339.6089,-3331.845
114,-3135.9141,-1549.7059,0,3385.6918,-2046.3463,-4685.62,1339.3455,-3346.2745
115,-3138.0608,-1556.7324,0,3393.7385,-2054.2956,-4694.7932,1339.4429,-3355.3503
116,-3179.2823,-1559.4811,0,3378.3917,-2030.2721,-4738.7634,1348.1196,-3390.6438
117,-3146.1341,-1554.1271,0,3396.29,-2043.4367,-4700.2612,1352.8533,-3347.4079
118,-3177.4756,-1552.7817,0,3385.4461,-2034.5936,-4730.2573,1350.8525,-3379.4048
119,-3138.72,-1551.4137,0,3407.5733,-2055.8978,-4690.1337,1351.6755,-3338.4582
120,-3147.7942,-1554.7563,0,3395.7608,-2049.5293,-4702.5505,1346.2315,-3356.319
121,-3160.5729,-1550.4125,0,3406.4346,-2056.9843,-4710.9854,1349.4503,-3361.5351
122,-3150.8277,-1551.3198,0,3403.1365,-2060.0708,-4702.1475,1343.0657,-3359.0818
123,-3192.3439,-1549.3722,0,3401.8655,-2058.0984,-4741.7161,1343.7671,-3397.949
124,-3144.4553,-1553.4835,0,3404.1335,-2061.4015,-4697.9388,1342.732,-3355.2068
125,-3099.069,-1552.165,0,3410.4981,-2061.4636,-4651.234,1349.0345,-3302.1995
126,-3178.9166,-1550.1385,0,3405.8581,-2052.5863,-4729.0551,1353.2718,-3375.7833
127,-3149.2493,-1551.9533,0,3399.2526,-2052.0728,-4701.2026,1347.1798,-3354.0228
128,-3119.3849,-1556.2214,0,3396.205,-2046.3431,-4675.6063,1349.8619,-3325.7444
129,-3174.4064,-1553.2221,0,3398.9596,-2051.8271,-4727.6285,1347.1325,-3380.496
130,-3133.0949,-1552.5853,0,3388.7725,-2045.3434,-4685.6802,1343.4291,-3342.2511
131,-3162.5462,-1555.6487,0,3365.3507,-2022.0571,-4718.1949,1343.2936,-3374.9013
132,-3204.0134,-1546.8032,0,3382.8474,-2022.4132,-4750.8166,1360.4342,-3390.3824
133,-3157.7432,-1552.6897,0,3385.5501,-2033.509,-4710.4329,1352.0411,-3358.3918
134,-3156.4985,-1558.789,0,3383.4758,-2042.7291,-4715.2875,1340.7467,-3374.5408
135,-3153.9513,-1554.8523,0,3385.9753,-2036.0858,-4708.8036,1349.8895,-3358.9141
136,-3152.9827,-1556.8876,0,3394.2299,-2049.1656,-4709.8703,1345.0643,-3364.806
137,-3188.7106,-1553.1056,0,3391.943,-2052.5206,-4741.8162,1339.4224,-3402.3938
138,-3186.2283,-1550.1971,0,3399.5172,-2046.0801,-4736.4254,1353.4371,-3382.9883
139,-3161.6672,-1546.8911,0,3383.7168,-2046.7744,-4708.5583,1336.9424,-3371.6159
140,-3148.6464,-1545.966,0,3402.9712,-2058.7816,-4694.6124,1344.1896,-3350.4228
141,-3175.6514,-1546.9416,0,3402.9523,-2055.2523,-4722.593,1347.7,-3374.893
142,-3160.9973,-1543.9401,0,3392.3304,-2055.0701,-4704.9374,1337.2603,-3367.6771
143,-3167.9101,-1554.165,0,3402.2671,-2052.9491,-4722.0751,1349.318,-3372.7571
144,-3128.4677,-1547.5227,0,3410.2618,-2064.1729,-4675.9904,1346.0889,-3329.9015
145,-3139.8877,-1550.5852,0,3407.9277,-2052.8808,-4690.4729,1355.0469,-3335.426
146,-3170.6912,-1549.5507,0,3387.8795,-2045.8102,-4720.2419,1342.0693,-3378.1726
147,-3191.6396,-1551.4786,0,3383.816,-2038.5647,-4743.1182,1345.2513,-3397.8669
148,-3174.5816,-1550.0541,0,3378.1649,-2040.9008,-4724.6357,1337.2641,-3387.3716
149,-3207.1339,-1545.7833,0,3383.8585,-2027.4083,-4752.9172,1356.4502,-3396.467
150,-3171.2795,-1546.7804,0,3384.7232,-2040.1341,-4718.0599,1344.5891,-3373.4708
151,-3157.7209,-1549.7878,0,3401.9931,-2042.786,-4707.5087,1359.2071,-3348.3016
152,-3129.404,-1550.5731,0,3389.3679,-2050.4825,-4679.9771,1338.8854,-3341.0917
153,-3114.9032,-1552.6585,0,3388.7253,-2037.0773,-4667.5617,1351.648,-3315.9137
154,-3183.0799,-1549.4373,0,3373.6667,-2028.9839,-4732.5172,1344.6828,-3387.8344
155,-3152.0352,-1550.6994,0,3390.3223,-2026.4287,-4702.7346,1363.8936,-3338.841
156,-3185.6817,-1552.5168,0,3374.7346,-2017.1165,-4738.1985,1357.6181,-3380.5804
157,-3204.38,-1549.0495,0,3377.2435,-2022.9892,-4753.4295,1354.2543,-3399.1752
158,-3168.9561,-1549.5346,0,3385.2146,-2037.9035,-4718.4907,1347.3111,-3371.1796
159,-3185.1051,-1543.5868,0,3389.7223,-2035.0958,-4728.6919,1354.6265,-3374.0654
160,-3122.271,-1549.8977,0,3381.1086,-2032.7181,-4672.1687,1348.3905,-3323.7782
161,-3139.0321,-1550.198,0,3391.5319,-2043.9723,-4689.2301,1347.5596,-3341.6705
162,-3173.655,-1546.4048,0,3394.726,-2029.1588,-4720.0598,1365.5672,-3354.4926
163,-3184.6229,-1548.2071,0,3389.5474,-2028.578,-4732.83,1360.9694,-3371.8606
164,-3139.1865,-1550.7917,0,3383.2963,-2027.7428,-4689.9782,1355.5535,-3334.4247
165,-3190.0624,-1548.2035,0,3379.0107,-2018.4367,-4738.2659,1360.574,-3377.6919
166,-3190.7709,-1545.1688,0,3373.5769,-2019.1224,-4735.9397,1354.4545,-3381.4852
167,-3184.8225,-1546.4525,0,3377.064,-2017.0406,-4731.275,1360.0234,-3371.2516
168,-3126.4646,-1543.8572,0,3375.0748,-2011.8361,-4670.3218,1363.2387,-3307.0831
169,-3138.5417,-1546.5631,0,3384.1562,-2022.1159,-4685.1048,1362.0403,-3323.0645
170,-3198.1636,-1544.2838,0,3398.7517,-2038.0655,-4742.4474,1360.6862,-3381.7612
171,-3176.6452,-1544.4575,0,3396.7861,-2042.0863,-4721.1027,1354.6998,-3366.4029
172,-3122.4638,-1548.5103,0,3396.29,-2043.554,-4670.9741,1352.736,-3318.2381
173,-3108.9297,-1547.2547,0,3390.9555,-2046.2162,-4656.1844,1344.7393,-3311.4451
174,-3140.5039,-1546.2495,0,3399.9991,-2043.2592,-4686.7534,1356.7399,-3330.0135
175,-3198.8328,-1548.1457,0,3391.8296,-2046.2865,-4746.9785,1345.5431,-3401.4354
176,-3170.6794,-1547.8777,0,3387.8748,-2043.9128,-4718.5571,1343.962,-3374.5951
177,-3168.9737,-1552.8346,0,3379.3367,-2038.2948,-4721.8083,1341.0419,-3380.7664
178,-3158.0828,-1548.5477,0,3377.1018,-2020.3065,-4706.6305,1356.7953,-3349.8352
179,-3150.6333,-1545.9723,0,3384.2602,-2030.314,-4696.6056,1353.9462,-3342.6594
180,-3160.4433,-1543.8312,0,3377.39,-2025.064,-4704.2745,1352.326,-3351.9485
181,-3197.212,-1539.5023,0,3394.6126,-2038.1183,-4736.7143,1356.4943,-3380.22
182,-3198.6676,-1542.0025,0,3388.1866,-2035.5729,-4740.6701,1352.6137,-3388.0564
183,-3169.2538,-1552.7118,0,3386.8778,-2029.1654,-4721.9656,1357.7124,-3364.2532
184,-3189.7051,-1546.2919,0,3389.6183,-2025.8042,-4735.997,1363.8141,-3372.1829
185,-3172.0846,-1551.7965,0,3378.2547,-2024.1744,-4723.8811,1354.0803,-3369.8008
186,-3193.9979,-1551.0355,0,3386.5045,-2023.4299,-4745.0334,1363.0746,-3381.9588
187,-3190.2713,-1550.0385,0,3387.8181,-2028.2784,-4740.3098,1359.5397,-3380.7701
188,-3191.978,-1548.4319,0,3376.2891,-2011.5549,-4740.4099,1364.7342,-3375.6757
189,-3162.223,-1545.0899,0,3372.1122,-2004.4792,-4707.3129,1367.633,-3339.6799
190,-3182.7769,-1543.958,0,3376.9128,-2022.1199,-4726.7349,1354.7929,-3371.942
191,-3163.2739,-1546.9434,0,3402.0025,-2043.781,-4710.2173,1358.2215,-3351.9958
192,-3165.17,-1544.3756,0,3403.2688,-2045.4336,-4709.5456,1357.8352,-3351.7104
193,-3132.9695,-1542.9217,0,3411.8967,-2063.0215,-4675.8912,1348.8752,-3327.016
194,-3166.2036,-1541.5302,0,3393.5164,-2041.7996,-4707.7338,1351.7168,-3356.017
195,-3121.7403,-1550.3417,0,3394.4142,-2045.0143,-4672.082,1349.3999,-3322.6821
196,-3174.9572,-1544.2002,0,3387.9598,-2046.0242,-4719.1574,1341.9356,-3377.2218
197,-3149.5212,-1550.3933,0,3366.7398,-2022.3373,-4699.9145,1344.4025,-3355.512
198,-3190.7681,-1550.3086,0,3375.5473,-2029.9731,-4741.0767,1345.5742,-3395.5025
199,-3158.1449,-1550.0444,0,3380.6739,-2043.5029,-4708.1893,1337.171,-3371.0183
,,,,,,,,
Receptor Energy Terms,,,,,,,,
