POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1209.294,3265.7015,2171.6336,0,0,0,-3155.1834,-1550.886,1572.5154,827.613645,0,3403.0846,-2040.5407,4340.688745,1362.5439,5703.232645
1,1258.3637,3240.1333,2181.7605,0,0,0,-3165.0359,-1545.6875,1566.6347,824.40637,0,3399.3046,-2042.0066,4360.57517,1357.298,5717.87317
2,1196.2096,3226.993,2198.0083,0,0,0,-3163.1174,-1547.797,1580.3422,828.948635,0,3401.5914,-2043.2256,4319.587335,1358.3658,5677.953135
3,1246.8805,3252.121,2191.481,0,0,0,-3162.5157,-1546.1884,1554.1017,826.877755,0,3371.531,-1999.7268,4362.757855,1371.8042,5734.562055
4,1262.6319,3336.8903,2186.0467,0,0,0,-3208.9565,-1549.0362,1560.2847,828.86615,0,3369.5087,-2009.4348,4416.72705,1360.0739,5776.80095
5,1209.1481,3316.4391,2148.4594,0,0,0,-3208.9328,-1545.1846,1583.8648,828.70103,0,3362.2227,-1987.9069,4332.49503,1374.3158,5706.81083
6,1260.0787,3252.9811,2213.844,0,0,0,-3164.3654,-1549.8837,1604.8572,830.087485,0,3374.4463,-2008.0802,4447.599385,1366.3661,5813.965485
7,1244.5909,3241.6308,2196.4237,0,0,0,-3197.2785,-1542.8892,1601.6335,829.286865,0,3386.5518,-2011.6852,4373.398065,1374.8666,5748.264665
8,1247.7719,3183.8551,2189.3313,0,0,0,-3188.8132,-1550.7015,1593.5999,831.810265,0,3377.9476,-2013.7375,4306.853765,1364.2101,5671.063865
9,1264.6385,3201.2563,2176.1175,0,0,0,-3219.5825,-1543.0869,1591.1675,823.99098,0,3368.2377,-2010.772,4294.50138,1357.4657,5651.96708
10,1220.5278,3254.3201,2194.5238,0,0,0,-3215.066,-1543.7434,1625.9162,826.979025,0,3355.7589,-1984.5589,4363.457525,1371.2,5734.657525
11,1209.3471,3256.0532,2253.7692,0,0,0,-3217.6663,-1540.6374,1580.8715,822.93824,0,3365.8657,-1998.4326,4364.67554,1367.4331,5732.10864
12,1260.6913,3317.7276,2189.4693,0,0,0,-3233.414,-1542.6851,1580.0288,822.28892,0,3360.4981,-1984.1756,4394.10682,1376.3225,5770.42932
13,1261.6286,3252.3139,2168.3288,0,0,0,-3219.731,-1545.6769,1544.7279,825.56984,0,3355.2865,-1987.9839,4287.16114,1367.3026,5654.46374
14,1254.0117,3262.0052,2160.3749,0,0,0,-3163.2595,-1545.775,1571.6908,825.100955,0,3365.9555,-2001.851,4364.149055,1364.1045,5728.253555
15,1183.441,3245.6727,2169.319,0,0,0,-3198.0682,-1547.5631,1578.1712,827.891745,0,3372.0838,-2009.8573,4258.864345,1362.2265,5621.090845
16,1247.7115,3311.7498,2199.2836,0,0,0,-3200.0046,-1546.5687,1610.1651,826.556735,0,3369.2252,-2006.3514,4448.893435,1362.8738,5811.767235
17,1279.1876,3252.4173,2178.8006,0,0,0,-3177.2362,-1542.2638,1599.0304,824.98349,0,3372.0082,-2001.5652,4414.91939,1370.443,5785.36239
18,1228.6905,3272.3499,2175.4155,0,0,0,-3174.8654,-1549.1101,1572.1987,824.47871,0,3366.669,-1994.3105,4349.15781,1372.3585,5721.51631
19,1254.2692,3187.0965,2195.4169,0,0,0,-3191.5942,-1547.6475,1569.9707,827.20191,0,3376.8939,-2015.5896,4294.71351,1361.3043,5656.01781
20,1275.7671,3222.3862,2175.1737,0,0,0,-3161.706,-1549.3612,1581.3896,825.524585,0,3364.7317,-1995.546,4369.173985,1369.1857,5738.359685
21,1245.2315,3242.1043,2206.7042,0,0,0,-3160.3587,-1550.7636,1574.0446,828.961585,0,3375.2685,-2005.3159,4385.923885,1369.9526,5755.876485
