POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3198.8149,-1545.8622,0,3363.0307,-2007.5214,-4744.6771,1355.5093,-3389.1678
1,-3193.1867,-1549.031,0,3367.3399,-2006.2197,-4742.2177,1361.1202,-3381.0975
2,-3168.1195,-1552.8376,0,3357.7434,-2008.3133,-4720.9571,1349.4301,-3371.527
3,-3174.6282,-1547.6554,0,3370.4821,-2015.9994,-4722.2836,1354.4827,-3367.8009
4,-3184.4112,-1546.6225,0,3373.421,-2022.8785,-4731.0337,1350.5425,-3380.4912
5,-3188.8066,-1549.7698,0,3364.9302,-2010.9938,-4738.5764,1353.9364,-3384.64
6,-3172.8251,-1547.975,0,3371.9941,-2024.5036,-4720.8001,1347.4905,-3373.3096
7,-3197.2714,-1549.2502,0,3358.3813,-2009.6061,-4746.5216,1348.7752,-3397.7464
8,-3176.7355,-1546.0441,0,3354.1099,-1997.3542,-4722.7796,1356.7557,-3366.0239
9,-3179.8945,-1548.3264,0,3380.3998,-2010.3515,-4728.2209,1370.0483,-3358.1726
10,-3195.067,-1546.331,0,3359.1562,-2011.968,-4741.398,1347.1882,-3394.2098
11,-3202.4429,-1550.4654,0,3363.2056,-1999.7466,-4752.9083,1363.459,-3389.4493
12,-3137.8435,-1558.9532,0,3384.6098,-2034.0518,-4696.7967,1350.558,-3346.2387
13,-3147.2123,-1554.286,0,3366.2154,-2018.3838,-4701.4983,1347.8316,-3353.6667
14,-3156.3431,-1552.6551,0,3376.0623,-2023.7643,-4708.9982,1352.298,-3356.7002
15,-3150.8774,-1545.577,0,3401.9884,-2043.7122,-4696.4544,1358.2762,-3338.1782
16,-3137.8691,-1549.1809,0,3371.4743,-2020.3238,-4687.05,1351.1505,-3335.8995
17,-3208.2189,-1547.9615,0,3359.0287,-2001.3492,-4756.1804,1357.6795,-3398.5009
18,-3190.9006,-1547.9971,0,3351.5773,-1995.4511,-4738.8977,1356.1262,-3382.7715
19,-3194.8887,-1548.5168,0,3363.8954,-2019.9612,-4743.4055,1343.9342,-3399.4713
20,-3196.4555,-1547.8049,0,3378.3492,-2025.9591,-4744.2604,1352.3901,-3391.8703
21,-3148.4621,-1554.2663,0,3378.3019,-2026.6987,-4702.7284,1351.6032,-3351.1252
22,-3174.0096,-1543.7158,0,3375.0228,-2035.1506,-4717.7254,1339.8722,-3377.8532
23,-3164.8876,-1551.5098,0,3371.8098,-2017.4172,-4716.3974,1354.3926,-3362.0048
24,-3182.6382,-1547.7272,0,3379.9462,-2034.3335,-4730.3654,1345.6127,-3384.7527
25,-3209.0546,-1550.5621,0,3371.5215,-2024.6097,-4759.6167,1346.9118,-3412.7049
26,-3175.5068,-1547.1374,0,3382.1292,-2023.8198,-4722.6442,1358.3094,-3364.3348
27,-3174.2283,-1548.1687,0,3386.0415,-2042.9051,-4722.397,1343.1364,-3379.2606
28,-3163.2526,-1547.6998,0,3369.2158,-2021.6237,-4710.9524,1347.5921,-3363.3603
29,-3172.7878,-1550.1274,0,3377.7538,-2016.1112,-4722.9152,1361.6426,-3361.2726
30,-3186.5787,-1546.8527,0,3375.7551,-2018.4411,-4733.4314,1357.314,-3376.1174
31,-3137.7562,-1557.6285,0,3389.6703,-2041.3774,-4695.3847,1348.2929,-3347.0918
32,-3151.4766,-1551.0669,0,3370.4017,-2017.8319,-4702.5435,1352.5698,-3349.9737
33,-3163.9332,-1552.1663,0,3382.2189,-2026.482,-4716.0995,1355.7369,-3360.3626
34,-3194.9457,-1551.5194,0,3374.7157,-2026.5209,-4746.4651,1348.1948,-3398.2703
35,-3193.1155,-1551.3452,0,3387.5724,-2026.0327,-4744.4607,1361.5397,-3382.921
36,-3110.6068,-1548.0389,0,3391.5981,-2045.1235,-4658.6457,1346.4746,-3312.1711
37,-3178.5927,-1546.6626,0,3393.1857,-2041.2276,-4725.2553,1351.9581,-3373.2972
38,-3147.8998,-1552.1155,0,3382.4505,-2030.1872,-4700.0153,1352.2633,-3347.752
39,-3163.2074,-1556.1326,0,3383.0505,-2045.9924,-4719.34,1337.0581,-3382.2819
40,-3197.084,-1552.9046,0,3379.5257,-2023.1791,-4749.9886,1356.3466,-3393.642
41,-3176.6931,-1550.1325,0,3386.0131,-2039.7297,-4726.8256,1346.2834,-3380.5422
42,-3208.6536,-1547.0152,0,3384.0145,-2032.047,-4755.6688,1351.9675,-3403.7013
43,-3188.6479,-1552.0279,0,3377.8247,-2028.7124,-4740.6758,1349.1123,-3391.5635
44,-3206.3285,-1548.3802,0,3378.0799,-2023.9399,-4754.7087,1354.14,-3400.5687
45,-3169.4392,-1546.2739,0,3386.3675,-2025.9317,-4715.7131,1360.4358,-3355.2773
46,-3172.4721,-1545.8167,0,3373.4966,-2016.0285,-4718.2888,1357.4681,-3360.8207
47,-3180.8636,-1547.4025,0,3375.1362,-2022.2474,-4728.2661,1352.8888,-3375.3773
48,-3172.7969,-1546.3596,0,3380.9621,-2024.6017,-4719.1565,1356.3604,-3362.7961
49,-3180.9405,-1550.3516,0,3381.9969,-2031.6172,-4731.2921,1350.3797,-3380.9124
50,-3127.3878,-1550.294,0,3385.2902,-2044.5649,-4677.6818,1340.7253,-3336.9565
51,-3207.806,-1545.6681,0,3370.4017,-2011.317,-4753.4741,1359.0847,-3394.3894
52,-3173.3338,-1545.7958,0,3384.9972,-2015.5967,-4719.1296,1369.4005,-3349.7291
53,-3184.1738,-1546.37,0,3375.7457,-2022.475,-4730.5438,1353.2707,-3377.2731
54,-3170.8342,-1550.6875,0,3373.506,-2025.6237,-4721.5217,1347.8823,-3373.6394
55,-3175.5109,-1547.6453,0,3374.9283,-2004.1767,-4723.1562,1370.7516,-3352.4046
56,-3164.5635,-1546.1555,0,3372.2303,-2012.8625,-4710.719,1359.3678,-3351.3512
57,-3175.8568,-1549.2239,0,3363.7773,-2009.5584,-4725.0807,1354.2189,-3370.8618
58,-3215.8935,-1546.66,0,3365.724,-2010.3699,-4762.5535,1355.3541,-3407.1994
59,-3182.5765,-1551.441,0,3357.1292,-2004.6983,-4734.0175,1352.4309,-3381.5866
60,-3150.8183,-1552.4432,0,3356.4866,-2004.0921,-4703.2615,1352.3945,-3350.867
61,-3205.4573,-1550.7822,0,3353.9162,-1997.8864,-4756.2395,1356.0298,-3400.2097
62,-3183.4366,-1549.0016,0,3365.3791,-2019.1119,-4732.4382,1346.2672,-3386.171
63,-3180.7192,-1547.8175,0,3366.6076,-2019.0083,-4728.5367,1347.5993,-3380.9374
64,-3155.9589,-1546.5354,0,3380.3195,-2031.5989,-4702.4943,1348.7206,-3353.7737
65,-3137.1124,-1551.6124,0,3383.334,-2042.6343,-4688.7248,1340.6997,-3348.0251
66,-3158.0694,-1552.1462,0,3374.4416,-2020.1148,-4710.2156,1354.3268,-3355.8888
67,-3170.0019,-1543.3759,0,3374.2054,-2020.8489,-4713.3778,1353.3565,-3360.0213
68,-3167.0597,-1544.0731,0,3380.2533,-2028.1437,-4711.1328,1352.1096,-3359.0232
69,-3163.3533,-1548.6904,0,3381.3354,-2023.2671,-4712.0437,1358.0683,-3353.9754
70,-3174.3352,-1544.3781,0,3380.0077,-2028.7355,-4718.7133,1351.2722,-3367.4411
71,-3148.7785,-1542.5019,0,3386.9581,-2042.2441,-4691.2804,1344.714,-3346.5664
72,-3193.1527,-1551.3391,0,3374.1298,-2031.7444,-4744.4918,1342.3854,-3402.1064
73,-3185.4818,-1543.7457,0,3383.4853,-2032.8049,-4729.2275,1350.6804,-3378.5471
74,-3157.5489,-1550.9288,0,3392.5289,-2042.6225,-4708.4777,1349.9064,-3358.5713
75,-3162.9426,-1544.4427,0,3375.3913,-2015.9534,-4707.3853,1359.4379,-3347.9474
76,-3161.5622,-1547.4852,0,3378.5618,-2029.048,-4709.0474,1349.5138,-3359.5336
77,-3169.07,-1550.214,0,3366.48,-2008.8855,-4719.284,1357.5945,-3361.6895
78,-3202.4393,-1544.0815,0,3367.4486,-2008.777,-4746.5208,1358.6716,-3387.8492
79,-3210.9445,-1549.4467,0,3368.7149,-2006.7236,-4760.3912,1361.9913,-3398.3999
80,-3199.806,-1547.7314,0,3369.7969,-2012.4968,-4747.5374,1357.3001,-3390.2373
81,-3221.6421,-1548.6812,0,3369.0362,-2009.1633,-4770.3233,1359.8729,-3410.4504
