POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1245.6344,3193.8204,2205.9617,0,0,0,-3337.724,-1543.4109,1598.904,792.2487,0,3268.0062,-1829.7407,4155.4343,1438.2655,5593.6998
1,1200.6527,3306.0279,2262.2165,0,0,0,-3298.6908,-1545.205,1589.4053,791.869065,0,3272.1595,-1832.9907,4306.275665,1439.1688,5745.444465
2,1283.0254,3236.7243,2203.4918,0,0,0,-3341.1045,-1541.6847,1584.4281,792.39218,0,3255.9622,-1815.4459,4217.27258,1440.5163,5657.78888
3,1255.9943,3301.3185,2232.9148,0,0,0,-3338.9339,-1541.9357,1564.82,791.386325,0,3263.5789,-1816.2124,4265.564325,1447.3665,5712.930825
4,1222.5819,3323.0653,2225.9505,0,0,0,-3359.8214,-1540.4406,1600.5267,789.53465,0,3261.2353,-1820.6284,4261.39705,1440.6069,5702.00395
5,1230.0659,3164.3999,2208.5999,0,0,0,-3360.6582,-1538.9651,1610.8643,786.623555,0,3251.0719,-1811.0846,4100.930255,1439.9873,5540.917555
6,1205.1175,3261.1427,2237.6177,0,0,0,-3348.7871,-1540.6481,1589.8566,789.78453,0,3246.8383,-1802.6785,4194.08383,1444.1598,5638.24363
7,1321.8443,3278.409,2217.0692,0,0,0,-3347.2621,-1547.641,1582.0029,793.87106,0,3245.3452,-1807.9502,4298.29336,1437.395,5735.68836
8,1249.3314,3273.86,2216.0986,0,0,0,-3283.7169,-1544.1098,1565.237,787.076515,0,3254.1951,-1804.7431,4263.776815,1449.452,5713.228815
9,1227.329,3241.2137,2225.8346,0,0,0,-3327.3229,-1547.4646,1594.3558,794.223995,0,3246.2902,-1809.5526,4208.169595,1436.7376,5644.907195
10,1301.642,3367.508,2199.9851,0,0,0,-3366.267,-1541.3481,1576.8516,788.22281,0,3250.2355,-1806.3917,4326.59441,1443.8438,5770.43821
11,1187.2182,3240.6263,2207.2933,0,0,0,-3375.4836,-1541.7892,1579.3508,791.00136,0,3245.605,-1784.1182,4088.21716,1461.4868,5549.70396
12,1244.1874,3256.6768,2195.5351,0,0,0,-3303.7223,-1550.7244,1618.9369,793.971825,0,3231.9167,-1793.8473,4254.861325,1438.0694,5692.930725
13,1217.712,3181.799,2225.5657,0,0,0,-3338.5874,-1541.4611,1588.7196,789.130805,0,3243.1575,-1802.6602,4122.878605,1440.4973,5563.375905
14,1191.3861,3240.9189,2171.731,0,0,0,-3322.2665,-1544.323,1609.0824,791.034725,0,3246.0728,-1794.6679,4137.563625,1451.4049,5588.968525
15,1276.7498,3230.1393,2195.3859,0,0,0,-3312.8857,-1540.3238,1585.5752,786.192555,0,3255.5512,-1811.5261,4220.833255,1444.0251,5664.858355
16,1233.0122,3256.7899,2189.8822,0,0,0,-3353.0989,-1543.7461,1549.3055,790.260665,0,3264.4672,-1811.8021,4122.405465,1452.6651,5575.070565
17,1251.1807,3222.3346,2185.3459,0,0,0,-3330.8482,-1544.1848,1613.6304,788.5312,0,3254.2754,-1812.3338,4185.9898,1441.9416,5627.9314
18,1304.624,3274.1807,2161.5031,0,0,0,-3305.0181,-1540.9775,1577.5725,785.418575,0,3238.3947,-1801.2208,4257.303275,1437.1739,5694.477175
19,1230.018,3204.9322,2191.604,0,0,0,-3367.5357,-1539.2115,1597.2309,789.111245,0,3253.8596,-1798.73,4106.149145,1455.1296,5561.278745
20,1256.9684,3304.0675,2211.327,0,0,0,-3296.1488,-1545.5968,1587.0822,790.106375,0,3253.7368,-1818.1748,4307.805875,1435.562,5743.367875
21,1264.6114,3361.3716,2255.7534,0,0,0,-3328.7862,-1542.9118,1597.4223,790.336525,0,3246.9611,-1800.1568,4397.797225,1446.8043,5844.601525
22,1235.4554,3288.0615,2235.1179,0,0,0,-3303.6176,-1543.3381,1576.4628,786.663685,0,3255.8205,-1818.052,4274.805585,1437.7685,5712.574085
23,1240.4484,3289.2464,2238.1071,0,0,0,-3318.25,-1544.8051,1592.4301,790.041435,0,3273.4778,-1829.2877,4287.218335,1444.1901,5731.408435
24,1294.8366,3254.0242,2208.1682,0,0,0,-3343.3497,-1546.135,1586.9694,789.712345,0,3254.5825,-1812.9822,4244.226045,1441.6003,5685.826345
25,1283.5957,3235.9156,2242.9042,0,0,0,-3285.97,-1548.4695,1607.1579,788.364755,0,3244.9341,-1807.7366,4323.498655,1437.1975,5760.696155
26,1193.5124,3151.0829,2189.3669,0,0,0,-3310.4339,-1545.8505,1563.5539,791.05704,0,3261.4621,-1817.8192,4032.28874,1443.6429,5475.93164
27,1239.6971,3251.7932,2235.3206,0,0,0,-3288.4902,-1544.6599,1634.4444,789.892045,0,3248.5959,-1813.8862,4317.997245,1434.7097,5752.706945
28,1217.1689,3300.4531,2259.7284,0,0,0,-3347.1591,-1540.6919,1604.6155,788.259275,0,3237.1993,-1794.3798,4282.374175,1442.8195,5725.193675
29,1233.057,3236.4229,2199.5932,0,0,0,-3336.7006,-1541.1612,1614.5643,791.502665,0,3247.4289,-1808.2667,4197.278265,1439.1622,5636.440465
30,1256.624,3342.3424,2196.9408,0,0,0,-3340.6288,-1542.335,1599.1708,787.33732,0,3247.4761,-1799.5231,4299.45152,1447.953,5747.40452
31,1244.7463,3296.7927,2210.3864,0,0,0,-3328.6624,-1542.4545,1590.1096,786.795905,0,3244.0363,-1802.8364,4257.714005,1441.1999,5698.913905
32,1260.7208,3264.94,2214.5743,0,0,0,-3342.0532,-1543.3083,1591.3025,789.473985,0,3246.4366,-1792.7309,4235.650085,1453.7057,5689.355785
33,1287.9567,3246.647,2234.5415,0,0,0,-3323.9539,-1542.4061,1569.9011,787.778175,0,3257.1199,-1810.6891,4260.464475,1446.4308,5706.895275
34,1264.4868,3311.4143,2193.6045,0,0,0,-3315.6892,-1541.7945,1598.4453,785.5779,0,3259.969,-1807.0119,4296.0451,1452.9571,5749.0022
35,1254.028,3284.3371,2227.3279,0,0,0,-3350.0741,-1543.3727,1593.5694,784.87764,0,3237.3363,-1796.1034,4250.69324,1441.2329,5691.92614
36,1291.8424,3299.8822,2235.2613,0,0,0,-3308.4178,-1541.036,1576.3873,785.997715,0,3254.5967,-1817.012,4339.917115,1437.5847,5777.501815
37,1260.3318,3311.3034,2220.0602,0,0,0,-3312.3588,-1537.8134,1584.1723,783.6994,0,3255.3385,-1817.0829,4309.3949,1438.2556,5747.6505
38,1210.3665,3251.1481,2232.5678,0,0,0,-3297.2701,-1542.6488,1590.6645,785.603795,0,3263.0072,-1826.627,4230.431795,1436.3802,5666.811995
39,1208.4619,3280.5212,2208.2406,0,0,0,-3337.9026,-1540.1514,1572.2562,785.386565,0,3266.5887,-1820.4207,4176.812465,1446.168,5622.980465
40,1224.4346,3296.8123,2248.4732,0,0,0,-3312.484,-1543.9708,1614.8253,788.27107,0,3256.997,-1814.6975,4316.36167,1442.2995,5758.66117
41,1293.5394,3250.5901,2205.6512,0,0,0,-3341.9579,-1544.7649,1597.4041,789.14804,0,3251.4168,-1797.2563,4249.61004,1454.1605,5703.77054
42,1285.4321,3239.4837,2242.1926,0,0,0,-3317.3968,-1542.8246,1620.0088,788.11343,0,3249.5173,-1812.9825,4315.00923,1436.5348,5751.54403
43,1265.7673,3211.1871,2214.8962,0,0,0,-3302.6246,-1545.8297,1591.2654,790.786665,0,3261.6653,-1808.0154,4225.448365,1453.6499,5679.098265
44,1221.1705,3202.266,2242.8602,0,0,0,-3348.6119,-1540.0812,1587.4437,788.120585,0,3261.3676,-1812.93,4153.167885,1448.4376,5601.605485
45,1242.6255,3202.3606,2223.4726,0,0,0,-3338.6918,-1542.2794,1615.7644,787.53465,0,3244.2064,-1792.8309,4190.78655,1451.3755,5642.16205
46,1259.647,3347.8488,2213.0807,0,0,0,-3343.1009,-1537.3865,1574.3096,784.908445,0,3266.9431,-1811.0219,4299.307145,1455.9212,5755.228345
47,1228.9544,3223.48,2211.9613,0,0,0,-3317.5188,-1548.1148,1574.3683,789.56566,0,3260.8195,-1817.8027,4162.69606,1443.0168,5605.71286
48,1243.232,3222.6602,2225.479,0,0,0,-3320.873,-1546.868,1580.9028,787.253955,0,3235.7345,-1795.9028,4191.786955,1439.8317,5631.618655
49,1244.8261,3285.5439,2261.7922,0,0,0,-3373.5494,-1541.9985,1616.5197,787.355145,0,3254.1289,-1804.7315,4280.489145,1449.3974,5729.886545
50,1250.3116,3226.6808,2242.9779,0,0,0,-3328.5522,-1545.5742,1601.8094,789.96347,0,3254.1053,-1809.1099,4237.61677,1444.9954,5682.61217
