POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3330.0499,-1545.0791,0,3265.4359,-1814.4198,-4875.129,1451.0161,-3424.1129
1,-3348.2294,-1548.6902,0,3243.8048,-1801.3784,-4896.9196,1442.4264,-3454.4932
2,-3385.3357,-1543.1603,0,3256.9072,-1805.8779,-4928.496,1451.0293,-3477.4667
3,-3352.0979,-1544.209,0,3271.8099,-1823.2139,-4896.3069,1448.596,-3447.7109
4,-3338.4537,-1541.6527,0,3259.2981,-1810.2668,-4880.1064,1449.0313,-3431.0751
5,-3313.7025,-1545.5457,0,3258.8398,-1814.8907,-4859.2482,1443.9491,-3415.2991
6,-3338.446,-1545.9074,0,3244.1214,-1810.1872,-4884.3534,1433.9342,-3450.4192
7,-3351.3762,-1544.2978,0,3249.4181,-1810.7521,-4895.674,1438.666,-3457.008
8,-3319.4914,-1542.2094,0,3279.5541,-1828.7468,-4861.7008,1450.8073,-3410.8935
9,-3333.0707,-1539.062,0,3263.7963,-1819.4923,-4872.1327,1444.304,-3427.8287
10,-3334.9729,-1540.0262,0,3268.9891,-1827.5411,-4874.9991,1441.448,-3433.5511
11,-3335.0288,-1541.3061,0,3267.0046,-1830.5803,-4876.3349,1436.4243,-3439.9106
12,-3323.7545,-1544.5751,0,3257.6443,-1822.4313,-4868.3296,1435.213,-3433.1166
13,-3319.1838,-1545.2999,0,3276.653,-1852.189,-4864.4837,1424.464,-3440.0197
14,-3328.5557,-1539.4188,0,3265.1807,-1827.8581,-4867.9745,1437.3226,-3430.6519
15,-3299.0857,-1544.2056,0,3274.3236,-1826.1715,-4843.2913,1448.1521,-3395.1392
16,-3381.7865,-1537.8318,0,3260.6258,-1806.3986,-4919.6183,1454.2272,-3465.3911
17,-3285.6563,-1541.4479,0,3267.2314,-1826.598,-4827.1042,1440.6334,-3386.4708
18,-3325.515,-1538.0126,0,3262.7237,-1817.1207,-4863.5276,1445.603,-3417.9246
19,-3330.596,-1540.2337,0,3279.0108,-1841.3903,-4870.8297,1437.6205,-3433.2092
20,-3340.5741,-1540.1936,0,3258.1499,-1817.6109,-4880.7677,1440.539,-3440.2287
21,-3306.0384,-1543.1235,0,3260.1297,-1822.8891,-4849.1619,1437.2406,-3411.9213
22,-3303.4784,-1544.15,0,3248.8322,-1814.5015,-4847.6284,1434.3307,-3413.2977
23,-3305.2306,-1549.6141,0,3270.7609,-1839.3909,-4854.8447,1431.37,-3423.4747
24,-3329.6456,-1544.76,0,3254.4644,-1829.4062,-4874.4056,1425.0582,-3449.3474
25,-3314.5451,-1542.1786,0,3263.8483,-1838.6047,-4856.7237,1425.2436,-3431.4801
26,-3291.7949,-1546.5133,0,3259.8887,-1835.2747,-4838.3082,1424.614,-3413.6942
27,-3289.9973,-1548.7953,0,3264.3349,-1836.5047,-4838.7926,1427.8302,-3410.9624
28,-3324.4934,-1545.8276,0,3274.1204,-1838.5078,-4870.321,1435.6126,-3434.7084
29,-3314.899,-1544.2609,0,3271.0539,-1830.3601,-4859.1599,1440.6938,-3418.4661
30,-3354.6267,-1543.6219,0,3268.4173,-1821.9846,-4898.2486,1446.4327,-3451.8159
31,-3286.6519,-1542.9253,0,3267.2692,-1825.5204,-4829.5772,1441.7488,-3387.8284
32,-3289.885,-1542.2619,0,3264.6798,-1827.3565,-4832.1469,1437.3233,-3394.8236
33,-3318.9157,-1541.9826,0,3250.8262,-1816.9473,-4860.8983,1433.8789,-3427.0194
34,-3346.9582,-1540.1882,0,3242.5054,-1804.8167,-4887.1464,1437.6887,-3449.4577
35,-3346.9436,-1538.1484,0,3270.2365,-1822.3794,-4885.092,1447.8571,-3437.2349
36,-3342.5069,-1543.2155,0,3252.513,-1802.3982,-4885.7224,1450.1148,-3435.6076
37,-3341.8671,-1542.1921,0,3241.3809,-1800.5655,-4884.0592,1440.8154,-3443.2438
38,-3349.3999,-1539.3724,0,3251.5444,-1806.4858,-4888.7723,1445.0586,-3443.7137
39,-3300.3814,-1540.7201,0,3261.2164,-1817.1256,-4841.1015,1444.0908,-3397.0107
40,-3324.3088,-1541.7669,0,3265.1287,-1823.2082,-4866.0757,1441.9205,-3424.1552
41,-3294.979,-1542.1097,0,3275.9112,-1841.0204,-4837.0887,1434.8908,-3402.1979
42,-3357.1956,-1540.2281,0,3266.1682,-1826.024,-4897.4237,1440.1442,-3457.2795
43,-3329.1679,-1539.8846,0,3274.5882,-1829.6959,-4869.0525,1444.8923,-3424.1602
44,-3323.094,-1540.1576,0,3266.5557,-1821.6315,-4863.2516,1444.9242,-3418.3274
45,-3331.0815,-1535.0575,0,3262.8655,-1813.8823,-4866.139,1448.9832,-3417.1558
46,-3324.3674,-1539.7635,0,3279.6628,-1835.3784,-4864.1309,1444.2844,-3419.8465
47,-3335.6321,-1539.9557,0,3271.3893,-1825.4927,-4875.5878,1445.8966,-3429.6912
48,-3278.756,-1539.4549,0,3262.3835,-1827.0646,-4818.2109,1435.3189,-3382.892
49,-3353.6828,-1533.8885,0,3268.9371,-1821.9647,-4887.5713,1446.9724,-3440.5989
50,-3308.7459,-1538.1426,0,3263.045,-1821.436,-4846.8885,1441.609,-3405.2795
51,-3309.5664,-1538.5567,0,3260.7912,-1821.1247,-4848.1231,1439.6665,-3408.4566
52,-3332.6523,-1533.6686,0,3270.8601,-1828.6719,-4866.3209,1442.1882,-3424.1327
53,-3334.0472,-1540.0781,0,3267.5527,-1829.9511,-4874.1253,1437.6016,-3436.5237
54,-3334.3798,-1539.2222,0,3259.695,-1813.2825,-4873.602,1446.4125,-3427.1895
55,-3284.8628,-1540.3292,0,3261.5377,-1819.5955,-4825.192,1441.9422,-3383.2498
56,-3330.1873,-1541.9683,0,3255.6693,-1814.8421,-4872.1556,1440.8272,-3431.3284
57,-3332.5412,-1537.8219,0,3260.3092,-1818.9102,-4870.3631,1441.399,-3428.9641
58,-3291.0593,-1541.8538,0,3260.4557,-1824.2308,-4832.9131,1436.2249,-3396.6882
59,-3327.944,-1538.1361,0,3269.9435,-1816.7686,-4866.0801,1453.1749,-3412.9052
60,-3301.0854,-1543.5349,0,3279.1384,-1836.0443,-4844.6203,1443.0941,-3401.5262
61,-3337.5051,-1539.2422,0,3273.1187,-1827.4809,-4876.7473,1445.6378,-3431.1095
62,-3306.4748,-1535.3113,0,3270.9499,-1834.4833,-4841.7861,1436.4666,-3405.3195
63,-3322.8258,-1538.5437,0,3276.1758,-1841.5058,-4861.3695,1434.67,-3426.6995
64,-3359.1564,-1534.3917,0,3284.6761,-1840.4791,-4893.5481,1444.197,-3449.3511
65,-3319.6518,-1541.9698,0,3272.7171,-1840.166,-4861.6216,1432.5511,-3429.0705
66,-3337.1306,-1536.4635,0,3260.5455,-1824.1356,-4873.5941,1436.4099,-3437.1842
67,-3335.6992,-1537.9567,0,3276.9412,-1836.6355,-4873.6559,1440.3057,-3433.3502
68,-3292.2521,-1535.8298,0,3271.1342,-1833.1969,-4828.0819,1437.9373,-3390.1446
69,-3362.1651,-1535.6543,0,3267.7086,-1824.2934,-4897.8194,1443.4152,-3454.4042
70,-3331.9377,-1538.9244,0,3267.392,-1835.0523,-4870.8621,1432.3397,-3438.5224
71,-3341.2736,-1533.9011,0,3281.3402,-1853.8179,-4875.1747,1427.5223,-3447.6524
72,-3306.6042,-1534.9369,0,3289.883,-1853.04,-4841.5411,1436.843,-3404.6981
73,-3314.0741,-1535.7914,0,3277.5555,-1850.953,-4849.8655,1426.6025,-3423.263
74,-3383.4309,-1533.0189,0,3270.279,-1836.1514,-4916.4498,1434.1276,-3482.3222
75,-3330.717,-1540.3603,0,3275.708,-1853.1259,-4871.0773,1422.5821,-3448.4952
76,-3315.4887,-1538.5731,0,3277.8437,-1842.1843,-4854.0618,1435.6594,-3418.4024
77,-3334.7184,-1536.5163,0,3264.0184,-1835.4828,-4871.2347,1428.5356,-3442.6991
78,-3329.9996,-1542.9526,0,3263.0923,-1827.2991,-4872.9522,1435.7932,-3437.159
79,-3296.0336,-1541.0868,0,3273.4258,-1833.6785,-4837.1204,1439.7473,-3397.3731
80,-3304.5213,-1534.9395,0,3288.2859,-1855.2061,-4839.4608,1433.0798,-3406.381
81,-3304.257,-1539.3282,0,3260.6116,-1833.686,-4843.5852,1426.9256,-3416.6596
82,-3314.4749,-1538.0311,0,3263.2576,-1818.4401,-4852.506,1444.8175,-3407.6885
83,-3359.3716,-1534.8233,0,3268.0582,-1831.014,-4894.1949,1437.0442,-3457.1507
84,-3336.2694,-1539.5336,0,3255.6882,-1818.4603,-4875.803,1437.2279,-3438.5751
85,-3329.8783,-1537.1788,0,3266.6738,-1830.1602,-4867.0571,1436.5136,-3430.5435
86,-3331.0926,-1542.259,0,3275.8828,-1836.7184,-4873.3516,1439.1644,-3434.1872
87,-3372.1138,-1539.0947,0,3247.4619,-1820.6891,-4911.2085,1426.7728,-3484.4357
88,-3328.0505,-1539.3912,0,3271.1011,-1831.0196,-4867.4417,1440.0815,-3427.3602
89,-3325.9097,-1540.9444,0,3275.3442,-1850.6287,-4866.8541,1424.7155,-3442.1386
90,-3321.4601,-1538.6807,0,3266.1635,-1838.8212,-4860.1408,1427.3423,-3432.7985
91,-3323.3065,-1542.3646,0,3267.5952,-1833.5395,-4865.6711,1434.0557,-3431.6154
92,-3311.5913,-1545.6363,0,3272.2682,-1831.3672,-4857.2276,1440.901,-3416.3266
93,-3372.619,-1538.0186,0,3260.2384,-1823.5723,-4910.6376,1436.6661,-3473.9715
94,-3321.4629,-1539.7504,0,3275.2639,-1840.1149,-4861.2133,1435.149,-3426.0643
95,-3324.2267,-1540.0498,0,3255.589,-1827.1835,-4864.2765,1428.4055,-3435.871
96,-3307.5106,-1538.5463,0,3266.9668,-1825.8155,-4846.0569,1441.1513,-3404.9056
97,-3335.106,-1543.447,0,3259.6052,-1825.9502,-4878.553,1433.655,-3444.898
98,-3325.014,-1545.3649,0,3264.9586,-1841.1813,-4870.3789,1423.7773,-3446.6016
99,-3370.3245,-1537.1613,0,3277.1822,-1837.8353,-4907.4858,1439.3469,-3468.1389
100,-3343.3796,-1539.9474,0,3253.2359,-1814.7022,-4883.327,1438.5337,-3444.7933
101,-3357.58,-1536.4688,0,3265.9934,-1821.7447,-4894.0488,1444.2487,-3449.8001
102,-3376.5047,-1538.1416,0,3246.7816,-1804.0004,-4914.6463,1442.7812,-3471.8651
103,-3344.6563,-1539.4761,0,3266.3289,-1819.9686,-4884.1324,1446.3603,-3437.7721
104,-3330.6943,-1543.7013,0,3260.9613,-1820.3751,-4874.3956,1440.5862,-3433.8094
105,-3322.1592,-1543.9987,0,3265.5493,-1831.9651,-4866.1579,1433.5842,-3432.5737
106,-3311.7537,-1544.1336,0,3264.9823,-1825.6224,-4855.8873,1439.3599,-3416.5274
107,-3305.2207,-1545.8341,0,3259.1327,-1825.7505,-4851.0548,1433.3822,-3417.6726
108,-3335.1148,-1539.7611,0,3269.1686,-1839.9534,-4874.8759,1429.2152,-3445.6607
109,-3389.3301,-1537.6132,0,3274.7063,-1828.141,-4926.9433,1446.5653,-3480.378
110,-3357.5516,-1535.7579,0,3265.1098,-1819.2863,-4893.3095,1445.8235,-3447.486
111,-3329.2497,-1538.4412,0,3283.131,-1842.1298,-4867.6909,1441.0012,-3426.6897
112,-3377.7426,-1537.3296,0,3263.2151,-1834.0408,-4915.0722,1429.1743,-3485.8979
113,-3334.5937,-1540.0144,0,3273.3455,-1830.2232,-4874.6081,1443.1223,-3431.4858
114,-3343.5967,-1541.2658,0,3270.4396,-1839.6319,-4884.8625,1430.8077,-3454.0548
115,-3312.9981,-1544.909,0,3292.2408,-1857.3324,-4857.9071,1434.9084,-3422.9987
116,-3342.6939,-1543.0464,0,3268.7386,-1830.0005,-4885.7403,1438.7381,-3447.0022
117,-3293.5609,-1546.8618,0,3270.9405,-1836.5334,-4840.4227,1434.4071,-3406.0156
118,-3307.3443,-1547.4234,0,3263.9522,-1838.6078,-4854.7677,1425.3444,-3429.4233
119,-3301.0296,-1549.8929,0,3278.1508,-1845.4519,-4850.9225,1432.6989,-3418.2236
120,-3354.7748,-1540.7374,0,3261.6606,-1830.622,-4895.5122,1431.0386,-3464.4736
121,-3333.1206,-1548.5778,0,3258.2822,-1840.1417,-4881.6984,1418.1405,-3463.5579
122,-3335.2064,-1545.6758,0,3270.416,-1835.3185,-4880.8822,1435.0975,-3445.7847
123,-3324.9862,-1540.8583,0,3277.2295,-1832.1023,-4865.8445,1445.1272,-3420.7173
124,-3316.0786,-1543.6925,0,3255.296,-1815.0909,-4859.7711,1440.2051,-3419.566
125,-3320.6745,-1542.8479,0,3265.4264,-1820.276,-4863.5224,1445.1504,-3418.372
126,-3321.1833,-1542.3915,0,3276.8845,-1837.9732,-4863.5748,1438.9113,-3424.6635
127,-3356.0345,-1542.7128,0,3276.1663,-1838.3195,-4898.7473,1437.8468,-3460.9005
128,-3358.7453,-1543.9703,0,3252.3665,-1808.051,-4902.7156,1444.3155,-3458.4001
129,-3299.1596,-1541.3992,0,3271.035,-1843.0615,-4840.5588,1427.9735,-3412.5853
130,-3328.1059,-1535.5373,0,3277.7634,-1829.961,-4863.6432,1447.8024,-3415.8408
131,-3298.782,-1546.0432,0,3266.0548,-1835.9502,-4844.8252,1430.1046,-3414.7206
132,-3315.2207,-1543.7361,0,3272.7549,-1837.8059,-4858.9568,1434.949,-3424.0078
133,-3331.87,-1541.3867,0,3250.4387,-1827.0417,-4873.2567,1423.397,-3449.8597
134,-3324.0331,-1547.1804,0,3260.9093,-1815.2967,-4871.2135,1445.6126,-3425.6009
135,-3339.1281,-1541.7602,0,3261.9063,-1813.4168,-4880.8883,1448.4895,-3432.3988
136,-3326.5275,-1544.209,0,3263.6782,-1816.7721,-4870.7365,1446.9061,-3423.8304
137,-3332.1192,-1542.9181,0,3265.691,-1828.8569,-4875.0373,1436.8341,-3438.2032
138,-3355.3321,-1548.5621,0,3262.4449,-1815.6658,-4903.8942,1446.7791,-3457.1151
139,-3315.0381,-1542.4693,0,3259.8037,-1815.4187,-4857.5074,1444.385,-3413.1224
