POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1300.6015,3345.4466,2206.1372,0,0,0,-3316.4333,-1543.1776,1577.3798,787.989285,0,3279.6534,-1849.0868,4357.943485,1430.5666,5788.510085
1,1267.9298,3204.5272,2230.5408,0,0,0,-3291.3199,-1545.5867,1596.7023,789.408095,0,3274.7772,-1844.7033,4252.201595,1430.0739,5682.275495
2,1239.8464,3206.4293,2167.9893,0,0,0,-3298.267,-1547.875,1619.6684,790.928725,0,3267.9259,-1832.5389,4178.720125,1435.387,5614.107125
3,1252.255,3292.9027,2253.5036,0,0,0,-3297.0462,-1547.6361,1593.0437,789.99691,0,3272.9061,-1841.9892,4337.01961,1430.9169,5767.93651
4,1178.0655,3225.5717,2187.0551,0,0,0,-3289.0818,-1548.1516,1607.7903,791.386835,0,3274.1629,-1849.8746,4152.636035,1424.2883,5576.924335
5,1289.7787,3306.9736,2194.7924,0,0,0,-3320.5052,-1549.7191,1588.9753,787.62285,0,3268.2709,-1849.3382,4297.91855,1418.9327,5716.85125
6,1216.2528,3332.3034,2201.262,0,0,0,-3271.4784,-1549.3665,1577.6343,787.90021,0,3275.4434,-1854.1013,4294.50781,1421.3421,5715.84991
7,1255.1574,3293.6673,2219.844,0,0,0,-3301.5125,-1542.8754,1596.4816,787.445585,0,3258.2728,-1836.9798,4308.207985,1421.293,5729.500985
8,1285.4022,3245.1751,2211.3581,0,0,0,-3309.0322,-1541.3482,1565.2287,786.8611,0,3266.3572,-1832.025,4243.6448,1434.3322,5677.977
9,1345.686,3190.0421,2203.9353,0,0,0,-3312.3202,-1546.2394,1561.3617,792.71425,0,3271.0161,-1845.1193,4235.17975,1425.8968,5661.07655
10,1224.96,3234.2858,2246.0314,0,0,0,-3309.4433,-1545.7528,1603.4228,787.95011,0,3253.1083,-1829.2551,4241.45401,1423.8532,5665.30721
11,1249.3468,3283.4868,2227.9265,0,0,0,-3290.3217,-1544.735,1581.8949,788.243015,0,3284.4351,-1835.9052,4295.841315,1448.5299,5744.371215
12,1216.3783,3273.1682,2185.2393,0,0,0,-3315.6179,-1550.3318,1620.4597,793.36707,0,3274.3283,-1841.026,4222.66287,1433.3023,5655.96517
13,1231.4813,3258.6181,2236.0801,0,0,0,-3338.3121,-1545.7722,1608.72,790.864465,0,3271.8241,-1834.6497,4241.679665,1437.1744,5678.854065
14,1245.9181,3275.584,2177.8602,0,0,0,-3303.246,-1540.1105,1610.1458,790.7499,0,3285.3423,-1852.4265,4256.9015,1432.9158,5689.8173
15,1293.6264,3238.5445,2217.1562,0,0,0,-3298.0672,-1547.6368,1574.8151,792.75103,0,3288.1867,-1852.2063,4271.18923,1435.9804,5707.16963
16,1240.1513,3349.3559,2244.8671,0,0,0,-3330.5996,-1543.8784,1583.6451,790.07094,0,3286.5094,-1850.724,4333.61234,1435.7854,5769.39774
17,1249.3328,3252.0505,2217.0621,0,0,0,-3289.6053,-1547.8201,1600.115,793.529555,0,3289.2593,-1855.8347,4274.664555,1433.4246,5708.089155
18,1228.9746,3287.1026,2206.1587,0,0,0,-3328.1386,-1543.5941,1615.4341,791.068685,0,3279.2234,-1851.8576,4257.005985,1427.3658,5684.371785
19,1185.1869,3197.2625,2217.593,0,0,0,-3297.5975,-1546.9906,1625.0954,794.7905,0,3290.9225,-1853.1659,4175.3402,1437.7566,5613.0968
20,1231.9568,3176.4766,2167.6933,0,0,0,-3322.8085,-1544.0833,1583.1975,791.522865,0,3285.1627,-1869.0222,4083.955265,1416.1405,5500.095765
21,1267.9232,3351.1911,2282.6323,0,0,0,-3319.7197,-1543.5665,1594.2344,788.150465,0,3286.2306,-1861.3528,4420.845265,1424.8778,5845.723065
22,1202.68,3271.4074,2221.0027,0,0,0,-3303.3009,-1549.748,1612.081,791.852115,0,3288.2245,-1861.2617,4245.974315,1426.9628,5672.937115
23,1210.5312,3258.7677,2220.4011,0,0,0,-3313.9753,-1550.0045,1585.8136,790.41713,0,3281.8694,-1859.324,4201.95093,1422.5454,5624.49633
24,1247.8787,3256.6414,2199.2756,0,0,0,-3301.3023,-1542.853,1592.9189,787.437005,0,3262.9552,-1829.1181,4239.996305,1433.8371,5673.833405
25,1290.5612,3279.9682,2196.4846,0,0,0,-3301.4811,-1545.7496,1567.3989,787.80965,0,3261.9205,-1837.4468,4274.99185,1424.4737,5699.46555
26,1243.2124,3311.8947,2202.4191,0,0,0,-3318.7379,-1547.8513,1593.3512,789.024585,0,3267.3117,-1835.9976,4273.312785,1431.3141,5704.626885
27,1312.6447,3227.098,2213.9789,0,0,0,-3340.2418,-1548.8189,1613.7881,790.709865,0,3264.0609,-1831.7997,4269.158865,1432.2612,5701.420065
28,1224.7274,3193.7828,2200.8062,0,0,0,-3325.0931,-1547.7981,1574.0066,788.671945,0,3267.2975,-1843.7769,4109.103745,1423.5206,5532.624345
29,1244.9659,3297.3146,2198.4838,0,0,0,-3381.9065,-1547.9306,1573.1613,791.298245,0,3258.7783,-1829.5988,4175.386745,1429.1795,5604.566245
30,1254.9588,3279.7655,2238.7259,0,0,0,-3306.0402,-1545.8404,1590.5152,788.705675,0,3261.1975,-1832.2035,4300.790475,1428.994,5729.784475
31,1221.6354,3226.477,2235.9993,0,0,0,-3298.9311,-1548.6054,1590.2304,792.64221,0,3272.5044,-1847.332,4219.44781,1425.1724,5644.62021
32,1265.9903,3135.0634,2204.1407,0,0,0,-3288.9432,-1546.1383,1602.1293,793.40229,0,3288.7112,-1863.6788,4165.64449,1425.0324,5590.67689
33,1243.4371,3302.2817,2203.8759,0,0,0,-3301.2056,-1542.4487,1592.0183,790.583285,0,3276.1852,-1860.0125,4288.541985,1416.1727,5704.714685
34,1217.3655,3259.6905,2157.6724,0,0,0,-3281.4089,-1542.3093,1583.0686,790.64005,0,3283.8586,-1865.1114,4184.71885,1418.7472,5603.46605
35,1217.9027,3274.9473,2167.2153,0,0,0,-3230.9609,-1543.7624,1578.0784,788.510035,0,3288.2481,-1853.4221,4251.930435,1434.826,5686.756435
36,1239.2102,3233.9819,2239.9225,0,0,0,-3293.016,-1544.6669,1584.4161,786.66262,0,3276.705,-1848.3186,4246.51042,1428.3864,5674.89682
37,1189.3391,3243.7926,2190.4834,0,0,0,-3290.8256,-1544.729,1584.8997,788.62211,0,3279.8376,-1857.1646,4161.58231,1422.673,5584.25531
