POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3321.0355,-1551.8649,0,3259.076,-1815.9912,-4872.9004,1443.0848,-3429.8156
1,-3345.0188,-1541.328,0,3262.152,-1818.3053,-4886.3468,1443.8467,-3442.5001
2,-3323.6343,-1547.5378,0,3265.2894,-1823.2892,-4871.1721,1442.0002,-3429.1719
3,-3268.6831,-1548.9136,0,3274.3094,-1841.4223,-4817.5967,1432.8871,-3384.7096
4,-3347.2133,-1548.8238,0,3264.6184,-1821.9385,-4896.0371,1442.6799,-3453.3572
5,-3349.009,-1547.2239,0,3252.3996,-1818.2703,-4896.2329,1434.1293,-3462.1036
6,-3283.878,-1550.0845,0,3264.0089,-1828.3683,-4833.9625,1435.6406,-3398.3219
7,-3356.6388,-1544.8493,0,3257.5215,-1819.1358,-4901.4881,1438.3857,-3463.1024
8,-3327.1459,-1548.5649,0,3249.6874,-1809.6479,-4875.7108,1440.0395,-3435.6713
9,-3354.4358,-1548.837,0,3257.0159,-1817.8656,-4903.2728,1439.1503,-3464.1225
10,-3313.1452,-1553.5919,0,3256.8647,-1824.8298,-4866.7371,1432.0349,-3434.7022
11,-3276.6255,-1551.1554,0,3266.0501,-1838.2808,-4827.7809,1427.7693,-3400.0116
12,-3326.2515,-1548.9289,0,3242.1747,-1815.0865,-4875.1804,1427.0882,-3448.0922
13,-3320.474,-1552.5149,0,3257.479,-1824.1544,-4872.9889,1433.3246,-3439.6643
14,-3318.0962,-1548.2113,0,3278.6753,-1830.8751,-4866.3075,1447.8002,-3418.5073
15,-3287.7856,-1555.628,0,3270.4349,-1834.8058,-4843.4136,1435.6291,-3407.7845
16,-3330.0286,-1551.9558,0,3265.502,-1825.0367,-4881.9844,1440.4653,-3441.5191
17,-3327.5713,-1552.597,0,3234.6052,-1802.7769,-4880.1683,1431.8283,-3448.34
18,-3301.1625,-1551.812,0,3256.156,-1808.3352,-4852.9745,1447.8208,-3405.1537
19,-3357.6887,-1549.1857,0,3260.5313,-1828.8334,-4906.8744,1431.6979,-3475.1765
20,-3326.2085,-1551.0701,0,3244.334,-1800.2746,-4877.2786,1444.0594,-3433.2192
21,-3335.9491,-1553.3818,0,3254.5825,-1808.5932,-4889.3309,1445.9893,-3443.3416
22,-3303.2053,-1552.8903,0,3263.6309,-1824.6655,-4856.0956,1438.9654,-3417.1302
23,-3321.0301,-1545.8855,0,3249.4842,-1805.0739,-4866.9156,1444.4103,-3422.5053
24,-3316.4856,-1542.306,0,3271.9658,-1835.8076,-4858.7916,1436.1582,-3422.6334
25,-3321.6907,-1540.2558,0,3264.6893,-1806.4599,-4861.9465,1458.2294,-3403.7171
26,-3343.3765,-1541.3273,0,3245.3263,-1798.2934,-4884.7038,1447.0329,-3437.6709
27,-3360.8906,-1546.1971,0,3256.0993,-1803.01,-4907.0877,1453.0893,-3453.9984
28,-3313.4929,-1548.0697,0,3253.9588,-1805.9978,-4861.5626,1447.961,-3413.6016
29,-3366.3745,-1549.6985,0,3244.6175,-1799.8273,-4916.073,1444.7902,-3471.2828
30,-3346.3228,-1545.6423,0,3244.1497,-1794.4359,-4891.9651,1449.7138,-3442.2513
31,-3387.1929,-1544.6062,0,3235.3234,-1779.3906,-4931.7991,1455.9328,-3475.8663
32,-3340.862,-1542.6397,0,3260.829,-1816.0468,-4883.5017,1444.7822,-3438.7195
33,-3352.4439,-1546.1872,0,3240.9084,-1789.6915,-4898.6311,1451.2169,-3447.4142
34,-3364.2462,-1543.9803,0,3242.1558,-1796.0713,-4908.2265,1446.0845,-3462.142
35,-3329.8499,-1546.5383,0,3262.6339,-1816.5518,-4876.3882,1446.0821,-3430.3061
