POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1290.6844,3143.1448,2217.413,0,0,0,-3304.958,-1524.139,1588.1711,747.197485,0,3254.54,-1812.7368,4157.513785,1441.8032,5599.316985
1,1236.6613,3250.7434,2185.8237,0,0,0,-3339.9127,-1522.518,1598.3616,749.165775,0,3256.3166,-1798.9165,4158.325075,1457.4001,5615.725175
2,1228.1378,3268.1876,2235.3438,0,0,0,-3324.4363,-1524.0276,1577.261,745.328495,0,3255.7402,-1810.4289,4205.794795,1445.3113,5651.106095
3,1250.6675,3262.9929,2211.0239,0,0,0,-3318.5595,-1522.9331,1618.8611,743.4938,0,3243.2803,-1806.5879,4245.5466,1436.6924,5682.239
4,1231.3439,3302.8767,2193.554,0,0,0,-3296.9516,-1520.6425,1567.0333,742.885475,0,3242.8882,-1795.8832,4220.099275,1447.005,5667.104275
5,1193.6252,3201.7071,2216.6204,0,0,0,-3371.8289,-1521.7704,1586.6098,744.73147,0,3233.5705,-1806.0758,4049.69467,1427.4947,5477.18937
6,1281.4352,3275.8935,2219.8029,0,0,0,-3316.6433,-1522.8031,1572.0741,744.1235,0,3251.7003,-1815.7221,4253.8828,1435.9782,5689.861
7,1259.7313,3200.5831,2205.2627,0,0,0,-3347.9419,-1523.3212,1594.4864,746.098485,0,3252.9571,-1811.1445,4134.898885,1441.8126,5576.711485
8,1289.2514,3262.462,2262.1833,0,0,0,-3313.0651,-1525.0662,1587.611,747.888545,0,3246.3468,-1800.3947,4311.264945,1445.9521,5757.217045
9,1282.0218,3253.6589,2233.8614,0,0,0,-3324.439,-1523.8289,1603.0501,746.420345,0,3264.4814,-1825.718,4270.744645,1438.7634,5709.508045
10,1252.2754,3301.2368,2208.5145,0,0,0,-3301.1713,-1526.6212,1622.5106,745.272625,0,3255.6126,-1813.0751,4302.017425,1442.5375,5744.554925
11,1223.9391,3203.9669,2187.6365,0,0,0,-3301.8178,-1522.1917,1594.2381,748.279935,0,3253.2265,-1820.5001,4134.051035,1432.7264,5566.777435
12,1233.871,3261.6756,2193.5848,0,0,0,-3322.0783,-1526.1904,1610.4604,744.26539,0,3247.3911,-1815.0422,4195.58849,1432.3489,5627.93739
