POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3294.1528,-1525.6907,0,3260.9188,-1808.7355,-4819.8435,1452.1833,-3367.6602
1,-3347.3234,-1519.9858,0,3256.945,-1805.5187,-4867.3092,1451.4263,-3415.8829
2,-3308.8041,-1525.1215,0,3263.7443,-1818.3434,-4833.9256,1445.4009,-3388.5247
3,-3335.6714,-1523.2574,0,3260.6731,-1816.99,-4858.9288,1443.6831,-3415.2457
4,-3279.1036,-1528.0503,0,3257.2522,-1822.0854,-4807.1539,1435.1668,-3371.9871
5,-3297.1868,-1521.6641,0,3286.5141,-1840.0422,-4818.8509,1446.4719,-3372.379
6,-3269.6909,-1526.3344,0,3259.6808,-1819.0957,-4796.0253,1440.5851,-3355.4402
7,-3312.9112,-1520.663,0,3257.186,-1812.2197,-4833.5742,1444.9663,-3388.6079
8,-3322.8264,-1518.2169,0,3264.8736,-1818.8829,-4841.0433,1445.9907,-3395.0526
9,-3355.9146,-1523.9942,0,3262.941,-1811.3831,-4879.9088,1451.5579,-3428.3509
10,-3274.0229,-1528.4681,0,3266.5037,-1826.305,-4802.491,1440.1987,-3362.2923
11,-3280.6134,-1524.4557,0,3259.2744,-1822.0096,-4805.0691,1437.2648,-3367.8043
12,-3283.9891,-1525.2374,0,3262.8985,-1823.8661,-4809.2265,1439.0324,-3370.1941
13,-3357.7103,-1524.2118,0,3272.6698,-1825.4236,-4881.9221,1447.2462,-3434.6759
14,-3255.4016,-1524.7133,0,3270.2979,-1831.3781,-4780.1149,1438.9198,-3341.1951
15,-3272.2368,-1530.2192,0,3280.055,-1841.9204,-4802.456,1438.1346,-3364.3214
16,-3307.4622,-1522.5861,0,3257.7719,-1824.0296,-4830.0483,1433.7423,-3396.306
17,-3282.7167,-1522.3609,0,3282.1954,-1846.7107,-4805.0776,1435.4847,-3369.5929
18,-3294.2568,-1524.6236,0,3272.6037,-1833.2296,-4818.8804,1439.3741,-3379.5063
19,-3254.5624,-1523.2989,0,3262.8749,-1822.7147,-4777.8613,1440.1602,-3337.7011
20,-3292.6179,-1530.0054,0,3271.791,-1831.2698,-4822.6233,1440.5212,-3382.1021
21,-3279.0487,-1525.2998,0,3273.1943,-1837.4829,-4804.3485,1435.7114,-3368.6371
22,-3248.8225,-1523.6542,0,3275.5663,-1847.5025,-4772.4767,1428.0638,-3344.4129
23,-3274.9584,-1524.853,0,3275.6466,-1846.9453,-4799.8114,1428.7013,-3371.1101
24,-3287.0222,-1524.8834,0,3270.1231,-1827.6302,-4811.9056,1442.4929,-3369.4127
25,-3244.2277,-1525.374,0,3280.8772,-1839.6338,-4769.6017,1441.2434,-3328.3583
26,-3301.1091,-1523.9718,0,3262.1472,-1833.0251,-4825.0809,1429.1221,-3395.9588
27,-3329.2856,-1525.6759,0,3282.6065,-1842.7042,-4854.9615,1439.9023,-3415.0592
28,-3318.9533,-1524.9422,0,3277.7965,-1845.7888,-4843.8955,1432.0077,-3411.8878
29,-3282.3059,-1523.8375,0,3271.5406,-1833.9585,-4806.1434,1437.5821,-3368.5613
30,-3281.1866,-1524.1666,0,3282.5167,-1854.3298,-4805.3532,1428.1869,-3377.1663
31,-3273.3496,-1525.0905,0,3273.2888,-1829.0014,-4798.4401,1444.2874,-3354.1527
32,-3278.4253,-1528.0252,0,3276.4168,-1838.6218,-4806.4505,1437.795,-3368.6555
33,-3294.1276,-1526.7237,0,3262.3882,-1828.7091,-4820.8513,1433.6791,-3387.1722
34,-3277.2808,-1525.8846,0,3251.894,-1815.1688,-4803.1654,1436.7252,-3366.4402
35,-3309.4595,-1526.7419,0,3252.8532,-1820.7992,-4836.2014,1432.054,-3404.1474
36,-3306.074,-1524.2087,0,3270.7609,-1828.9798,-4830.2827,1441.7811,-3388.5016
37,-3312.4711,-1519.829,0,3256.4678,-1815.3196,-4832.3001,1441.1482,-3391.1519
38,-3312.5923,-1523.4147,0,3254.8471,-1827.5153,-4836.007,1427.3318,-3408.6752
39,-3250.9657,-1522.7803,0,3267.7794,-1838.1642,-4773.746,1429.6152,-3344.1308
40,-3290.9377,-1530.2269,0,3265.4689,-1831.3678,-4821.1646,1434.1011,-3387.0635
41,-3284.6252,-1527.5746,0,3255.6551,-1832.2943,-4812.1998,1423.3608,-3388.839
42,-3300.1914,-1525.3613,0,3269.4285,-1838.5849,-4825.5527,1430.8436,-3394.7091
43,-3335.029,-1523.9447,0,3268.9749,-1830.8575,-4858.9737,1438.1174,-3420.8563
44,-3296.3877,-1527.7549,0,3273.9267,-1841.8207,-4824.1426,1432.106,-3392.0366
