POISSON BOLTZMANN:,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1225.331,3234.7101,2194.2867,0,0,0,-3295.0869,-1520.8667,1617.8779,749.328365,0,3299.5693,-1868.0035,4205.580465,1431.5658,5637.146265
1,1235.3262,3235.4464,2215.527,0,0,0,-3294.5999,-1523.453,1556.1109,746.3938,0,3284.402,-1844.2803,4170.7514,1440.1217,5610.8731
2,1244.8463,3230.9874,2192.1503,0,0,0,-3313.0306,-1521.0859,1613.5869,746.65975,0,3288.9616,-1848.83,4194.11415,1440.1316,5634.24575
3,1273.9605,3312.1133,2185.6986,0,0,0,-3284.4816,-1519.8041,1585.632,747.95728,0,3275.9159,-1840.6402,4301.07598,1435.2757,5736.35168
4,1225.8722,3276.4072,2244.4977,0,0,0,-3347.9806,-1524.8879,1601.7382,749.53049,0,3270.4207,-1831.9648,4225.17729,1438.4559,5663.63319
5,1188.302,3277.6213,2182.8181,0,0,0,-3273.8215,-1523.8407,1602.0614,751.183485,0,3275.3394,-1844.5851,4204.324085,1430.7543,5635.078385
6,1287.4929,3201.7541,2162.6536,0,0,0,-3286.7478,-1516.6966,1595.9499,745.680035,0,3260.0635,-1827.0853,4190.086135,1432.9782,5623.064335
7,1219.4965,3297.4517,2207.8338,0,0,0,-3291.5845,-1520.5682,1589.8281,747.629095,0,3258.2066,-1821.6547,4250.086495,1436.5519,5686.638395
8,1242.0219,3261.4993,2205.2767,0,0,0,-3280.7667,-1520.8532,1585.7852,749.118655,0,3281.0331,-1843.6728,4242.081855,1437.3603,5679.442155
9,1310.3823,3207.5922,2222.4464,0,0,0,-3355.5059,-1515.6141,1580.413,744.65965,0,3258.6413,-1824.8223,4194.37355,1433.819,5628.19255
10,1260.3163,3285.6282,2205.8919,0,0,0,-3333.0717,-1519.1099,1600.0201,746.808185,0,3257.0537,-1808.8168,4246.483085,1448.2369,5694.719985
11,1255.5701,3283.5167,2144.4411,0,0,0,-3277.1677,-1519.6519,1577.49,745.78079,0,3255.7213,-1808.3247,4209.97909,1447.3966,5657.37569
12,1227.4664,3299.4295,2162.0884,0,0,0,-3337.5327,-1520.1555,1575.8732,747.947735,0,3250.4765,-1807.2214,4155.117035,1443.2551,5598.372135
13,1285.645,3269.2025,2179.2357,0,0,0,-3330.4219,-1516.7411,1611.1907,744.56778,0,3260.9613,-1821.8677,4242.67868,1439.0936,5681.77228
14,1272.1467,3274.527,2171.0692,0,0,0,-3316.9642,-1513.6422,1583.9612,742.68017,0,3272.6226,-1827.6382,4213.77787,1444.9844,5658.76227
15,1249.943,3262.8325,2194.3765,0,0,0,-3379.8098,-1516.5527,1599.3253,747.651795,0,3255.1259,-1818.911,4157.766595,1436.2149,5593.981495
16,1235.9541,3336.7794,2125.4151,0,0,0,-3334.3284,-1519.1637,1582.7113,747.86864,0,3265.3414,-1818.9288,4175.23644,1446.4126,5621.64904
17,1267.0864,3268.3436,2167.4626,0,0,0,-3317.511,-1513.4515,1586.06,743.447275,0,3274.7252,-1831.049,4201.437375,1443.6762,5645.113575
18,1287.0541,3153.7969,2234.4102,0,0,0,-3339.8012,-1521.2369,1589.6037,748.527275,0,3254.3983,-1812.7045,4152.354075,1441.6938,5594.047875
19,1221.5301,3217.7254,2211.8881,0,0,0,-3335.1572,-1520.1238,1618.1746,748.458835,0,3262.9977,-1824.4562,4162.496035,1438.5415,5601.037535
20,1240.4563,3278.0881,2213.0193,0,0,0,-3326.3776,-1520.1906,1599.8893,748.17751,0,3265.0295,-1824.9631,4233.06231,1440.0664,5673.12871
21,1266.6333,3242.0584,2175.3494,0,0,0,-3313.7561,-1524.5742,1595.5337,749.536875,0,3271.4697,-1836.3988,4190.781375,1435.0709,5625.852275
22,1326.87,3233.4945,2225.8251,0,0,0,-3343.6816,-1516.8644,1579.6247,746.66226,0,3268.63,-1832.7416,4251.93056,1435.8884,5687.81896
23,1227.1885,3290.048,2223.9855,0,0,0,-3363.6844,-1518.9707,1611.2385,750.65292,0,3262.5725,-1816.8058,4220.45832,1445.7667,5666.22502
24,1215.9789,3231.7405,2160.4718,0,0,0,-3343.8773,-1518.1926,1595.5965,747.146435,0,3265.639,-1826.7451,4088.864235,1438.8939,5527.758135
25,1237.3181,3259.8666,2163.4849,0,0,0,-3305.558,-1517.9628,1619.0204,743.81745,0,3267.0613,-1824.0348,4199.98665,1443.0265,5643.01315
26,1227.5339,3261.6494,2178.2741,0,0,0,-3345.4764,-1520.6214,1604.2508,749.356865,0,3272.2824,-1819.7477,4154.967265,1452.5347,5607.501965
27,1249.7881,3196.1793,2170.9926,0,0,0,-3339.7045,-1518.3908,1586.0963,746.90856,0,3284.7186,-1832.6206,4091.86956,1452.098,5543.96756
28,1241.1922,3258.9645,2179.7839,0,0,0,-3357.5371,-1517.4072,1585.973,748.731975,0,3264.0136,-1815.5021,4139.701275,1448.5115,5588.212775
29,1313.8748,3196.4243,2161.8616,0,0,0,-3330.4581,-1519.5344,1584.3596,747.6975,0,3270.4491,-1825.4578,4154.2253,1444.9913,5599.2166
30,1271.6259,3316.5435,2201.1564,0,0,0,-3335.0925,-1518.671,1601.6132,745.86057,0,3267.4629,-1817.3678,4283.03607,1450.0951,5733.13117
31,1271.8812,3203.9682,2257.7778,0,0,0,-3390.6386,-1515.002,1583.201,748.535805,0,3259.213,-1801.8719,4159.723405,1457.3411,5617.064505
32,1233.7696,3280.9932,2177.6238,0,0,0,-3380.28,-1514.4969,1589.5501,744.96558,0,3251.0152,-1805.5499,4132.12538,1445.4653,5577.59068
33,1222.5036,3227.7613,2177.5227,0,0,0,-3362.7273,-1515.0845,1570.2329,744.780655,0,3243.1717,-1795.9535,4064.989355,1447.2182,5512.207555
34,1236.5391,3236.8346,2206.0812,0,0,0,-3364.0733,-1522.5717,1603.6814,750.8294,0,3253.354,-1815.7089,4147.3207,1437.6451,5584.9658
35,1261.5966,3140.6914,2210.4775,0,0,0,-3382.1465,-1518.9719,1570.7799,747.682405,0,3247.169,-1800.8951,4030.109405,1446.2739,5476.383305
36,1226.6598,3337.922,2241.5392,0,0,0,-3396.5708,-1519.0081,1605.8455,747.85036,0,3258.3247,-1808.5898,4244.23796,1449.7349,5693.97286
37,1231.587,3289.4082,2180.9219,0,0,0,-3343.1456,-1518.7907,1576.3491,747.618665,0,3261.9063,-1810.4255,4163.948565,1451.4808,5615.429365
38,1244.7236,3326.0582,2206.5636,0,0,0,-3356.2548,-1519.9078,1573.6181,746.10541,0,3265.261,-1819.5736,4220.90631,1445.6874,5666.59371
39,1259.5154,3365.7736,2216.6118,0,0,0,-3358.3102,-1521.814,1619.5982,748.2218,0,3254.1998,-1807.2473,4329.5966,1446.9525,5776.5491
40,1276.902,3253.4466,2235.7832,0,0,0,-3350.004,-1515.6969,1602.359,741.631535,0,3269.197,-1829.8322,4244.421435,1439.3648,5683.786235
41,1253.0314,3297.6233,2199.6045,0,0,0,-3385.4891,-1514.2303,1583.9595,742.654025,0,3258.5232,-1818.9323,4177.153325,1439.5909,5616.744225
42,1258.0516,3254.4898,2213.4453,0,0,0,-3301.2764,-1521.7293,1592.1826,746.22931,0,3266.0784,-1818.0793,4241.39291,1447.9991,5689.39201
43,1225.5671,3255.7043,2199.0551,0,0,0,-3329.2376,-1518.6467,1602.6186,747.042875,0,3276.6766,-1836.5571,4182.103675,1440.1195,5622.223175
44,1276.0859,3251.7891,2204.5463,0,0,0,-3338.3258,-1515.7093,1606.4379,744.709395,0,3253.4485,-1804.2049,4229.533495,1449.2436,5678.777095
45,1293.7518,3382.5834,2224.9376,0,0,0,-3374.3784,-1517.9313,1575.9521,743.140485,0,3236.6842,-1785.0401,4328.055685,1451.6441,5779.699785
46,1240.097,3214.0859,2198.583,0,0,0,-3334.096,-1513.7035,1605.2954,743.006895,0,3247.5801,-1788.3058,4153.268695,1459.2743,5612.542995
47,1287.9482,3155.9107,2186.1638,0,0,0,-3299.9041,-1518.01,1609.4771,748.22766,0,3264.368,-1820.6108,4169.81336,1443.7572,5613.57056
48,1219.1553,3283.889,2186.7299,0,0,0,-3330.695,-1523.0742,1597.3748,750.722145,0,3253.113,-1801.8853,4184.101945,1451.2277,5635.329645
49,1210.7394,3182.7485,2223.6329,0,0,0,-3357.0274,-1518.4267,1604.0923,748.70076,0,3256.052,-1800.9793,4094.45976,1455.0727,5549.53246
50,1247.881,3322.17,2200.6164,0,0,0,-3357.147,-1514.5738,1575.2922,746.45861,0,3245.9074,-1781.2009,4220.69741,1464.7065,5685.40391
51,1259.8618,3233.6352,2178.7218,0,0,0,-3367.9522,-1514.2118,1599.4207,746.320005,0,3243.6064,-1795.3948,4135.795505,1448.2116,5584.007105
52,1292.4776,3248.0139,2197.6714,0,0,0,-3398.3173,-1514.2683,1597.4778,748.23763,0,3249.2197,-1787.3243,4171.29273,1461.8954,5633.18813
53,1258.149,3337.8001,2210.1512,0,0,0,-3403.6023,-1514.6986,1583.9016,747.61457,0,3239.4153,-1774.8991,4219.31557,1464.5162,5683.83177
54,1260.2366,3353.1757,2183.0845,0,0,0,-3352.2616,-1518.085,1595.3964,744.98049,0,3242.1699,-1784.2991,4266.52709,1457.8708,5724.39789
55,1234.4057,3224.1123,2214.2416,0,0,0,-3379.7974,-1515.9703,1582.1241,745.61867,0,3247.9345,-1789.1188,4104.73467,1458.8157,5563.55037
56,1228.8294,3309.9157,2196.9417,0,0,0,-3359.5429,-1517.621,1565.5402,747.688965,0,3252.9902,-1793.5465,4171.752065,1459.4437,5631.195765
57,1208.2543,3311.0193,2230.3775,0,0,0,-3379.622,-1516.8178,1619.2814,748.99703,0,3249.7961,-1797.1605,4221.48973,1452.6356,5674.12533
58,1281.7683,3290.5218,2216.1465,0,0,0,-3307.7642,-1516.358,1596.5327,747.541635,0,3253.9966,-1805.3908,4308.388735,1448.6058,5756.994535
59,1262.0652,3257.3878,2203.5578,0,0,0,-3366.4905,-1517.8441,1589.7713,747.654555,0,3252.8532,-1803.16,4176.102055,1449.6932,5625.795255
60,1238.7515,3188.3511,2242.2342,0,0,0,-3335.9707,-1522.0227,1601.3719,751.45075,0,3252.2814,-1794.6969,4164.16605,1457.5845,5621.75055
61,1298.5882,3335.4006,2218.2087,0,0,0,-3355.6782,-1519.3235,1567.3693,746.98454,0,3249.0023,-1794.6667,4291.54964,1454.3356,5745.88524
62,1238.5201,3256.5958,2193.252,0,0,0,-3360.7827,-1521.6136,1617.3364,751.41324,0,3232.375,-1770.2021,4174.72124,1462.1729,5636.89414
63,1237.3055,3243.3707,2184.5376,0,0,0,-3376.0829,-1524.9788,1631.4558,752.44106,0,3233.991,-1771.0029,4148.04896,1462.9881,5611.03706
64,1276.3312,3257.5963,2221.9145,0,0,0,-3308.4496,-1521.09,1585.8351,747.02966,0,3252.5791,-1787.163,4259.16716,1465.4161,5724.58326
65,1280.5323,3295.9686,2186.3402,0,0,0,-3383.3447,-1519.0457,1580.2671,749.369705,0,3239.0703,-1785.0502,4190.087505,1454.0201,5644.107605
66,1220.6995,3355.6087,2176.1918,0,0,0,-3371.2349,-1518.5998,1612.5587,747.411965,0,3245.9783,-1786.9865,4222.635965,1458.9918,5681.627765
67,1204.5412,3276.9763,2230.7285,0,0,0,-3374.2695,-1514.2025,1592.9882,747.33331,0,3250.7458,-1784.6022,4164.09551,1466.1436,5630.23911
68,1230.4568,3268.3458,2228.0995,0,0,0,-3408.8729,-1512.682,1603.7964,746.08339,0,3239.9303,-1784.2628,4155.22699,1455.6675,5610.89449
69,1306.1195,3284.5615,2159.5782,0,0,0,-3346.3767,-1514.3271,1580.9161,745.637455,0,3270.0994,-1806.2769,4216.108955,1463.8225,5679.931455
70,1252.5493,3260.6684,2186.3667,0,0,0,-3392.1622,-1510.8269,1601.9086,744.102535,0,3250.8639,-1782.1663,4142.606435,1468.6976,5611.304035
71,1235.788,3274.2418,2224.6588,0,0,0,-3375.5879,-1509.8759,1618.7893,744.61234,0,3235.829,-1775.2842,4212.62644,1460.5448,5673.17124
72,1228.0776,3253.5102,2167.5121,0,0,0,-3348.5234,-1513.1773,1630.5492,749.22618,0,3243.2331,-1774.8573,4167.17458,1468.3758,5635.55038
73,1240.4833,3236.3397,2178.4927,0,0,0,-3362.1494,-1509.8626,1573.4907,745.18496,0,3249.3,-1788.2023,4101.97936,1461.0977,5563.07706
74,1247.0034,3255.6964,2144.9948,0,0,0,-3421.0954,-1512.5346,1580.7138,746.577065,0,3241.2911,-1767.4617,4041.355465,1473.8294,5515.184865
75,1217.2289,3240.692,2213.3736,0,0,0,-3396.6051,-1515.1537,1587.9299,745.662275,0,3244.145,-1781.7573,4093.127875,1462.3877,5555.515575
76,1270.2836,3241.3099,2173.1021,0,0,0,-3341.5578,-1513.6597,1610.1217,745.446365,0,3254.3888,-1790.3863,4185.046165,1464.0025,5649.048665
77,1244.2137,3215.9371,2166.2543,0,0,0,-3346.471,-1519.2467,1587.3168,751.62941,0,3252.3996,-1796.2705,4099.63361,1456.1291,5555.76271
78,1304.234,3251.9007,2204.5032,0,0,0,-3322.5772,-1510.201,1554.0517,742.475095,0,3261.7126,-1803.4018,4224.386495,1458.3108,5682.697295
79,1333.6042,3252.6275,2142.1019,0,0,0,-3372.4383,-1511.0138,1569.2988,745.307085,0,3256.3875,-1794.9681,4159.487385,1461.4194,5620.906785
80,1288.7898,3207.8258,2230.6204,0,0,0,-3353.1461,-1515.9566,1607.1462,743.807075,0,3245.1325,-1788.1178,4209.086575,1457.0147,5666.101275
81,1264.7057,3205.0307,2193.937,0,0,0,-3326.6451,-1518.9379,1589.2079,747.923335,0,3251.3223,-1799.5509,4155.221635,1451.7714,5606.993035
82,1282.6206,3208.1222,2191.9546,0,0,0,-3376.6023,-1516.8487,1588.5217,748.553145,0,3233.2539,-1786.8867,4126.321245,1446.3672,5572.688445
83,1282.2092,3200.3478,2226.5799,0,0,0,-3352.9156,-1517.8892,1588.8536,748.28926,0,3248.1235,-1796.1479,4175.47496,1451.9756,5627.45056
84,1276.7957,3312.0124,2171.8513,0,0,0,-3376.7332,-1516.542,1594.0551,747.681245,0,3254.6251,-1801.5038,4209.120545,1453.1213,5662.241845
85,1252.8719,3288.7001,2167.7128,0,0,0,-3401.1193,-1512.9223,1574.9881,746.231285,0,3244.9057,-1784.0698,4116.462585,1460.8359,5577.298485
86,1220.1405,3273.1587,2173.8525,0,0,0,-3386.312,-1516.5941,1562.5922,743.777975,0,3263.3143,-1805.1573,4070.615775,1458.157,5528.772775
87,1216.6187,3293.9647,2192.7534,0,0,0,-3365.2128,-1511.2156,1571.6374,746.25974,0,3246.7721,-1789.7993,4144.80554,1456.9728,5601.77834
88,1253.4579,3285.2282,2185.6259,0,0,0,-3382.5509,-1514.4002,1572.8187,750.582615,0,3243.0677,-1784.9701,4150.762215,1458.0976,5608.859815
89,1256.1905,3281.4305,2211.2295,0,0,0,-3335.6562,-1515.6923,1602.8712,745.52068,0,3263.1868,-1821.0402,4245.89388,1442.1466,5688.04048
90,1262.7959,3249.9742,2220.3397,0,0,0,-3283.1063,-1516.8529,1583.9661,743.43998,0,3264.7271,-1816.7241,4260.55668,1448.003,5708.55968
91,1328.8697,3274.9493,2208.7249,0,0,0,-3351.6582,-1512.4749,1588.5587,744.807695,0,3259.1658,-1809.2772,4281.777195,1449.8886,5731.665795
92,1242.2121,3296.802,2211.1249,0,0,0,-3364.1177,-1514.1591,1605.5933,747.74719,0,3250.675,-1795.4183,4225.20269,1455.2567,5680.45939
93,1234.1529,3263.1568,2234.5178,0,0,0,-3348.574,-1522.1207,1577.7582,749.91845,0,3250.3537,-1800.3578,4188.80945,1449.9959,5638.80535
94,1234.1783,3232.2171,2213.7905,0,0,0,-3379.6831,-1517.4056,1588.9614,747.24803,0,3240.8281,-1781.1635,4119.30663,1459.6646,5578.97123
95,1241.4044,3291.3282,2197.6154,0,0,0,-3333.5011,-1516.2362,1590.4946,747.397905,0,3262.615,-1803.1716,4218.503205,1459.4434,5677.946605
96,1270.8329,3263.6731,2239.7619,0,0,0,-3360.9713,-1519.7779,1592.262,747.878155,0,3252.0783,-1791.9379,4233.658855,1460.1404,5693.799255
97,1231.082,3246.2735,2237.0185,0,0,0,-3395.6266,-1517.4358,1565.7921,748.94629,0,3257.0301,-1795.8166,4116.04999,1461.2135,5577.26349
98,1254.9835,3255.2355,2215.3662,0,0,0,-3424.4918,-1518.6322,1577.1536,752.152235,0,3244.4285,-1779.5533,4111.767035,1464.8752,5576.642235
99,1253.2729,3273.859,2234.1424,0,0,0,-3363.6129,-1521.304,1589.9166,751.538735,0,3245.5058,-1793.0605,4217.812735,1452.4453,5670.258035
100,1247.114,3267.5713,2232.8481,0,0,0,-3332.9666,-1527.9047,1601.0922,751.958455,0,3249.1252,-1802.0308,4239.712755,1447.0944,5686.807155
