POISSON BOLTZMANN:,,,,,,,,
Complex Energy Terms,,,,,,,,
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-3280.3633,-1521.8115,0,3279.3037,-1853.8888,-4802.1748,1425.4149,-3376.7599
1,-3309.3576,-1520.2856,0,3280.811,-1843.8043,-4829.6432,1437.0067,-3392.6365
2,-3302.9283,-1520.4501,0,3276.034,-1842.3077,-4823.3784,1433.7263,-3389.6521
3,-3288.8841,-1518.6023,0,3289.1364,-1841.4267,-4807.4864,1447.7097,-3359.7767
4,-3353.3793,-1515.0817,0,3284.7658,-1848.4875,-4868.461,1436.2783,-3432.1827
5,-3293.7523,-1520.0203,0,3282.1529,-1848.8365,-4813.7726,1433.3164,-3380.4562
6,-3307.3265,-1523.5051,0,3267.4109,-1832.6837,-4830.8316,1434.7272,-3396.1044
7,-3287.0364,-1521.1904,0,3264.1601,-1832.6122,-4808.2268,1431.5479,-3376.6789
8,-3300.5343,-1522.2636,0,3290.6059,-1852.5465,-4822.7979,1438.0594,-3384.7385
9,-3347.4622,-1515.9096,0,3276.8137,-1838.271,-4863.3718,1438.5427,-3424.8291
10,-3372.7056,-1520.5024,0,3270.0758,-1825.9848,-4893.208,1444.091,-3449.117
11,-3356.2602,-1519.4738,0,3281.1654,-1840.3894,-4875.734,1440.776,-3434.958
12,-3329.9223,-1515.0486,0,3260.9991,-1818.1199,-4844.9709,1442.8792,-3402.0917
13,-3322.4213,-1518.6681,0,3278.1225,-1841.8306,-4841.0894,1436.2919,-3404.7975
14,-3307.4915,-1520.5718,0,3275.193,-1838.4493,-4828.0633,1436.7437,-3391.3196
15,-3329.9318,-1517.9537,0,3278.7273,-1839.6169,-4847.8855,1439.1104,-3408.7751
16,-3294.8368,-1518.8803,0,3281.4158,-1847.7616,-4813.7171,1433.6542,-3380.0629
17,-3300.739,-1514.4915,0,3277.0688,-1829.7531,-4815.2305,1447.3157,-3367.9148
18,-3298.185,-1518.8365,0,3279.436,-1846.5852,-4817.0215,1432.8508,-3384.1707
19,-3290.5999,-1518.6017,0,3292.4581,-1848.0387,-4809.2016,1444.4194,-3364.7822
20,-3264.3941,-1522.9101,0,3281.6284,-1855.2247,-4787.3042,1426.4037,-3360.9005
21,-3252.4009,-1524.7701,0,3268.7623,-1837.1605,-4777.171,1431.6018,-3345.5692
22,-3334.4988,-1515.9312,0,3271.6303,-1845.2546,-4850.43,1426.3757,-3424.0543
23,-3278.8961,-1524.2328,0,3280.9433,-1835.4246,-4803.1289,1445.5187,-3357.6102
24,-3301.3396,-1523.8754,0,3275.2213,-1840.0701,-4825.215,1435.1512,-3390.0638
25,-3283.2948,-1522.1383,0,3300.7789,-1867.8144,-4805.4331,1432.9645,-3372.4686
26,-3279.062,-1521.5687,0,3289.2026,-1849.7272,-4800.6307,1439.4754,-3361.1553
27,-3286.8106,-1521.2358,0,3282.271,-1851.1147,-4808.0464,1431.1563,-3376.8901
28,-3312.3547,-1515.6849,0,3279.3746,-1843.9467,-4828.0396,1435.4279,-3392.6117
29,-3302.7611,-1516.3631,0,3285.4226,-1859.7719,-4819.1242,1425.6507,-3393.4735
30,-3310.2018,-1516.7267,0,3283.1924,-1853.4488,-4826.9285,1429.7436,-3397.1849
31,-3306.6934,-1514.1432,0,3284.8556,-1853.9258,-4820.8366,1430.9298,-3389.9068
32,-3275.2425,-1516.4498,0,3293.8142,-1855.8573,-4791.6923,1437.9569,-3353.7354
33,-3267.8595,-1523.2128,0,3279.2659,-1853.6102,-4791.0723,1425.6557,-3365.4166
34,-3306.3378,-1521.7431,0,3275.3253,-1844.635,-4828.0809,1430.6903,-3397.3906
35,-3269.6271,-1521.2172,0,3284.4776,-1840.1659,-4790.8443,1444.3117,-3346.5326
36,-3319.5328,-1516.5745,0,3282.5971,-1854.4585,-4836.1073,1428.1386,-3407.9687
37,-3286.1898,-1520.37,0,3280.381,-1842.3581,-4806.5598,1438.0229,-3368.5369
38,-3284.28,-1521.6063,0,3290.313,-1874.548,-4805.8863,1415.765,-3390.1213
39,-3285.667,-1519.873,0,3267.7558,-1838.7983,-4805.54,1428.9575,-3376.5825
40,-3266.5929,-1522.3682,0,3293.7811,-1866.3313,-4788.9611,1427.4498,-3361.5113
41,-3272.3066,-1520.2757,0,3291.2155,-1858.0515,-4792.5823,1433.164,-3359.4183
42,-3279.9511,-1521.9627,0,3277.3901,-1852.4777,-4801.9138,1424.9124,-3377.0014
43,-3268.4809,-1522.583,0,3296.3137,-1853.3444,-4791.0639,1442.9693,-3348.0946
44,-3315.2643,-1517.0437,0,3280.8488,-1840.1752,-4832.308,1440.6736,-3391.6344
45,-3312.6151,-1526.7756,0,3282.3041,-1842.0098,-4839.3907,1440.2943,-3399.0964
46,-3292.4429,-1523.6166,0,3294.5182,-1862.3226,-4816.0595,1432.1956,-3383.8639
47,-3254.7205,-1525.2996,0,3283.7783,-1851.1704,-4780.0201,1432.6079,-3347.4122
48,-3304.5035,-1523.7676,0,3286.5141,-1852.1579,-4828.2711,1434.3562,-3393.9149
49,-3310.9534,-1520.3055,0,3304.6392,-1862.9165,-4831.2589,1441.7227,-3389.5362
50,-3318.6057,-1522.7388,0,3284.5438,-1849.9582,-4841.3445,1434.5856,-3406.7589
51,-3272.3161,-1525.9477,0,3293.7575,-1854.0314,-4798.2638,1439.7261,-3358.5377
52,-3269.9778,-1524.3697,0,3273.6054,-1851.661,-4794.3475,1421.9444,-3372.4031
53,-3274.2064,-1521.0539,0,3284.8934,-1852.3077,-4795.2603,1432.5857,-3362.6746
54,-3248.0939,-1523.8053,0,3267.7653,-1848.6209,-4771.8992,1419.1444,-3352.7548
55,-3323.3362,-1521.9224,0,3283.1971,-1851.5072,-4845.2586,1431.6899,-3413.5687
56,-3303.7602,-1521.1312,0,3266.6218,-1846.3715,-4824.8914,1420.2503,-3404.6411
57,-3278.5739,-1519.6609,0,3297.1217,-1871.3999,-4798.2348,1425.7218,-3372.513
58,-3271.2462,-1524.6639,0,3278.2595,-1846.4591,-4795.9101,1431.8004,-3364.1097
59,-3269.2761,-1523.6524,0,3277.4752,-1848.8126,-4792.9285,1428.6626,-3364.2659
60,-3322.534,-1521.975,0,3291.8581,-1858.1365,-4844.509,1433.7216,-3410.7874
61,-3300.8017,-1519.6875,0,3280.8157,-1849.9696,-4820.4892,1430.8461,-3389.6431
62,-3267.0943,-1518.7455,0,3289.2451,-1860.8319,-4785.8398,1428.4132,-3357.4266
63,-3355.1414,-1514.1158,0,3284.6099,-1855.1966,-4869.2572,1429.4133,-3439.8439
64,-3304.483,-1523.9361,0,3281.293,-1847.6054,-4828.4191,1433.6876,-3394.7315
65,-3288.1553,-1523.3203,0,3283.6177,-1864.3342,-4811.4756,1419.2835,-3392.1921
66,-3274.6481,-1521.2179,0,3285.2005,-1860.9063,-4795.866,1424.2942,-3371.5718
67,-3327.261,-1523.0242,0,3279.1478,-1842.4689,-4850.2852,1436.6789,-3413.6063
68,-3310.8346,-1524.4717,0,3280.9716,-1856.1608,-4835.3063,1424.8108,-3410.4955
69,-3301.8902,-1525.6227,0,3291.9998,-1855.1869,-4827.5129,1436.8129,-3390.7
70,-3321.8286,-1518.7819,0,3294.5277,-1859.579,-4840.6105,1434.9487,-3405.6618
71,-3256.7915,-1519.9501,0,3284.8367,-1859.9607,-4776.7416,1424.876,-3351.8656
72,-3336.5852,-1525.94,0,3298.8369,-1865.2393,-4862.5252,1433.5976,-3428.9276
73,-3305.0191,-1525.6255,0,3290.5114,-1872.5524,-4830.6446,1417.959,-3412.6856
74,-3293.6906,-1520.1398,0,3292.7983,-1847.4063,-4813.8304,1445.392,-3368.4384
75,-3304.2416,-1520.9258,0,3273.7188,-1847.3849,-4825.1674,1426.3339,-3398.8335
76,-3316.2631,-1519.7135,0,3270.5152,-1849.3075,-4835.9766,1421.2077,-3414.7689
77,-3287.065,-1518.1889,0,3267.6613,-1845.904,-4805.2539,1421.7573,-3383.4966
78,-3377.4423,-1518.836,0,3261.8874,-1835.5011,-4896.2783,1426.3863,-3469.892
79,-3296.5585,-1520.661,0,3281.0236,-1841.3204,-4817.2195,1439.7032,-3377.5163
80,-3294.0108,-1521.351,0,3279.5305,-1844.261,-4815.3618,1435.2695,-3380.0923
81,-3285.0836,-1521.636,0,3287.2512,-1862.8474,-4806.7196,1424.4038,-3382.3158
82,-3310.1226,-1522.6392,0,3272.1879,-1841.4177,-4832.7618,1430.7702,-3401.9916
83,-3301.2812,-1519.2605,0,3287.8276,-1856.351,-4820.5417,1431.4766,-3389.0651
84,-3305.7327,-1519.8105,0,3272.6887,-1846.6795,-4825.5432,1426.0092,-3399.534
85,-3316.2754,-1521.0991,0,3279.97,-1852.0539,-4837.3745,1427.9161,-3409.4584
86,-3347.5555,-1520.4344,0,3259.0618,-1824.363,-4867.9899,1434.6988,-3433.2911
87,-3286.568,-1523.9252,0,3275.1694,-1856.8592,-4810.4932,1418.3102,-3392.183
88,-3338.3958,-1516.9377,0,3274.4181,-1839.0264,-4855.3335,1435.3917,-3419.9418
89,-3303.6361,-1524.0212,0,3276.8987,-1854.5922,-4827.6573,1422.3065,-3405.3508
90,-3364.418,-1516.8956,0,3269.8821,-1852.306,-4881.3136,1417.5761,-3463.7375
91,-3280.8739,-1520.6885,0,3289.6798,-1856.2949,-4801.5624,1433.3849,-3368.1775
92,-3302.6993,-1521.0192,0,3271.5878,-1858.9756,-4823.7185,1412.6122,-3411.1063
93,-3321.5109,-1519.1377,0,3283.4712,-1858.9274,-4840.6486,1424.5438,-3416.1048
94,-3303.6799,-1519.6726,0,3277.4326,-1851.2776,-4823.3525,1426.155,-3397.1975
95,-3264.6163,-1523.8237,0,3270.6853,-1847.7264,-4788.44,1422.9589,-3365.4811
96,-3327.2528,-1516.5434,0,3290.1665,-1864.1187,-4843.7962,1426.0478,-3417.7484
97,-3317.9443,-1520.7072,0,3286.3392,-1853.0644,-4838.6515,1433.2748,-3405.3767
98,-3301.2138,-1520.9683,0,3288.9427,-1863.7184,-4822.1821,1425.2243,-3396.9578
