NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1615189,16.0380848,1346.13383325,1378.33343695
1,16.1615189,16.0989074,1353.67464305,1385.9350693499998
2,16.1615189,16.117988999999998,1357.2879228999998,1389.5674307999998
3,16.1615189,16.088472149999998,1342.04202265,1374.2920137
4,16.1615189,16.1281261,1357.2557226999998,1389.5453676999998
5,16.1615189,16.1167964,1350.2605274,1382.5391408499997
6,16.1615189,16.106659299999997,1351.34012855,1383.6086048999998
7,16.1615189,16.12842425,1352.3934924999999,1384.6837338

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.12902055,16.07237205,1320.9863715,1353.1877640999999
1,16.12902055,16.011251299999998,1299.4462265999996,1331.5862003
2,16.12902055,16.0315255,1304.5991530499998,1336.7594009499999
3,16.12902055,15.984715949999998,1297.7747976999997,1329.8885341999999
4,16.12902055,16.05209785,1310.8561289499999,1343.0372473500001
5,16.12902055,16.0649183,1309.48404265,1341.6779815
6,16.12902055,15.9915734,1301.4056683999997,1333.5259641999999
7,16.12902055,16.0488182,1311.2362701999998,1343.41410895

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.209535749999999,11.2152104,38.2908082,62.71555434999999
1,13.209535749999999,11.21491225,38.28663409999999,62.7110821
2,13.209535749999999,11.2611255,39.307499699999994,63.777862799999994
3,13.209535749999999,11.226838249999998,38.59700825,63.03308409999999
4,13.209535749999999,11.334768550000001,40.1834644,64.72747054999999
5,13.209535749999999,11.217297449999998,38.31048609999999,62.73702114999999
6,13.209535749999999,11.2313105,39.023959049999995,63.46450714999999
7,13.209535749999999,11.26798295,39.59163664999999,64.06915535


