NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1615189,16.0923481,1348.5357296500001,1380.7895966499998
1,16.1615189,16.125442749999998,1353.58400545,1385.8709671
2,16.1615189,16.12305755,1358.77002655,1391.0546029999998
3,16.1615189,16.08489435,1345.5536333499997,1377.8000465999999
4,16.1615189,16.075949849999997,1343.8294318999997,1376.0671988
5,16.1615189,16.11232415,1349.5068041999998,1381.78064725
6,16.1615189,16.100994449999998,1346.8210689999999,1379.08358235
7,16.1615189,16.075949849999997,1350.035126,1382.2725947499998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.12902055,16.03719035,1308.32125765,1340.48746855
1,16.12902055,16.007971649999998,1296.45309875,1328.5900909499999
2,16.12902055,16.061042349999997,1307.60033095,1339.7903938499999
3,16.12902055,16.0070772,1295.22531705,1327.3614148
4,16.12902055,16.0243699,1308.5219126,1340.6750048999997
5,16.12902055,16.08250915,1315.7314777499998,1347.9430074499999
6,16.12902055,16.035103299999996,1306.1068975999997,1338.2710214499998
7,16.12902055,15.996343799999998,1299.3681112999998,1331.4934756499997

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.209535749999999,11.2265401,38.588361899999995,63.02443774999999
1,13.209535749999999,11.307040599999999,39.893066299999994,64.40964265
2,13.209535749999999,11.2265401,38.597306399999994,63.033382249999995
3,13.209535749999999,11.2038807,38.0838921,62.4970104
4,13.209535749999999,11.328507400000001,40.1936015,64.73164464999999
5,13.209535749999999,11.277225599999998,39.73474864999999,64.22121184999999
6,13.209535749999999,11.226838249999998,38.6086361,63.04471195
7,13.209535749999999,11.21133445,38.62920844999999,63.04978049999999


