NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1615189,16.15525775,1353.91972235,1386.23620085
1,16.1615189,16.13856135,1359.5240479,1391.82412815
2,16.1615189,16.135877999999998,1354.98888825,1387.28628515
3,16.1615189,16.112920449999997,1355.2760067,1387.55044605
4,16.1615189,16.12723165,1352.8520472,1385.1407977499998
5,16.1615189,16.1531707,1359.34366715,1391.6586548999996
6,16.1615189,16.066110899999998,1353.0282538499998,1385.25588365
7,16.1615189,16.088472149999998,1347.67825025,1379.9282412999999

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.12902055,16.0273514,1306.8108297499998,1338.9672016999998
1,16.12902055,16.05269415,1312.0877866,1344.2695012999998
2,16.12902055,15.9879956,1296.1200651999998,1328.23708135
3,16.12902055,16.0339107,1299.9969096500001,1332.1598409
4,16.12902055,16.0190032,1305.3209742000001,1337.46899795
5,16.12902055,16.04017185,1305.57112205,1337.74031445
6,16.12902055,16.06819795,1308.6536949,1340.8509133999999
7,16.12902055,16.0667072,1308.1921587,1340.3878864499998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.209535749999999,11.226838249999998,38.60177865,63.037854499999995
1,13.209535749999999,11.2265401,38.59760455,63.033382249999995
2,13.209535749999999,11.2265401,38.59760455,63.033680399999994
3,13.209535749999999,11.2265401,38.596710099999996,63.03278595
4,13.209535749999999,11.226838249999998,38.5996916,63.03576745
5,13.209535749999999,11.2265401,38.600884199999996,63.03696005
6,13.209535749999999,11.226838249999998,38.602076800000006,63.038152649999994
7,13.209535749999999,11.2265401,38.605058299999996,63.04113415

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.177037399999998,-11.098931899999998,8.507113950000218,-15.768855349999868
1,-13.177037399999998,-11.1406729,8.838656749999842,-15.478755399999791
2,-13.177037399999998,-11.0786577,20.271218500000174,-3.984476600000008
3,-13.177037399999998,-11.147530350000002,16.682386949999795,-7.642180800000169
4,-13.177037399999998,-11.1186098,8.931381399999879,-15.363967650000085
5,-13.177037399999998,-11.113541249999999,15.17166090000012,-9.118619600000265
6,-13.177037399999998,-11.228925299999998,5.772482149999931,-18.63318239999986
7,-13.177037399999998,-11.204775150000001,0.8810332500000868,-23.500779299999913


