NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.112622299999998,1397.13358335,1429.4333654499999
1,16.1871598,16.11649825,1408.08165135,1440.3853093999999
2,16.1871598,16.1489966,1411.6895645,1444.0257209
3,16.1871598,16.107553749999997,1388.9609937,1421.25570725
4,16.1871598,16.090857349999997,1393.1598401499998,1425.43815545
5,16.1871598,16.111727849999998,1402.29992655,1434.59851605
6,16.1871598,16.1233557,1392.5223954499997,1424.8329109499996
7,16.1871598,16.080422099999996,1399.4457366,1431.7133184999998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.047625599999996,1349.80525235,1382.00187455
1,16.1489966,16.05746455,1349.4215332999997,1381.62799445
2,16.1489966,16.0613405,1351.7318976499998,1383.9422347500001
3,16.1489966,16.075949849999997,1361.0061515500001,1393.231098
4,16.1489966,16.061936799999998,1352.3177624,1384.52899395
5,16.1489966,16.0273514,1344.5634771999999,1376.7398251999998
6,16.1489966,16.061936799999998,1349.7822947999998,1381.99352635
7,16.1489966,16.02347545,1339.6308836,1371.8036537999997

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.547945799999999,37.791406949999995,62.70869689999999
1,13.369642299999997,11.547945799999999,37.791406949999995,62.70869689999999
2,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995
3,13.369642299999997,11.522006750000001,37.7595049,62.650855799999995
4,13.369642299999997,11.5151493,37.79498475,62.67977635
5,13.369642299999997,11.506801099999999,37.82062565,62.6967709
6,13.369642299999997,11.558082899999999,37.781568,62.70959135
7,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995


