NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.1442262,1405.4981816,1437.8295676
1,16.1871598,16.158239249999998,1403.8225786,1436.1679776499998
2,16.1871598,16.178215299999998,1401.6922968499998,1434.05767195
3,16.1871598,16.086683249999997,1391.1640240499999,1423.4378671
4,16.1871598,16.13259835,1394.26538035,1426.5851384999999
5,16.1871598,16.127529799999998,1406.2590604,1438.57375
6,16.1871598,16.13975395,1396.290117,1428.6170307499997
7,16.1871598,16.143331749999998,1404.7164323,1437.04692385

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.1323002,1361.46112845,1393.7424252499998
1,16.1489966,16.100099999999998,1354.84040955,1387.0898043
2,16.1489966,16.13617615,1357.2011612499998,1389.4863339999997
3,16.1489966,16.123952,1366.5806621,1398.8536107
4,16.1489966,16.13975395,1366.89163255,1399.18068125
5,16.1489966,16.0917518,1361.32040165,1393.5614482
6,16.1489966,16.0422589,1353.39795985,1385.5895134999998
7,16.1489966,16.100398149999997,1359.2437869,1391.4934798

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.5133604,37.775605,62.65830955
1,13.369642299999997,11.5133604,37.7762013,62.65890585
2,13.369642299999997,11.5133604,37.775605,62.65830955
3,13.369642299999997,11.5133604,37.77590315,62.65860769999999
4,13.369642299999997,11.5133604,37.77530684999999,62.65830955
5,13.369642299999997,11.522006750000001,37.75682155,62.648470599999996
6,13.369642299999997,11.5133604,37.775605,62.65860769999999
7,13.369642299999997,11.5133604,37.775605,62.65860769999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.331479099999997,-11.5014344,6.261448150000021,-18.57116719999975
1,-13.331479099999997,-11.45522115,11.205967750000042,-13.580732500000181
2,-13.331479099999997,-11.471321250000003,6.715530600000008,-18.08697159999973
3,-13.331479099999997,-11.550629150000002,-13.192541200000072,-38.07435130000003
4,-13.331479099999997,-11.520516,-10.401559049999946,-35.25385230000005
5,-13.331479099999997,-11.486228750000004,7.181837200000061,-17.636168800000064
6,-13.331479099999997,-11.41586535,5.116552150000004,-19.631090450000144
7,-13.331479099999997,-11.470426799999998,7.697040399999921,-17.105163649999938


