NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.07654615,1396.3595859499997,1428.6232919
1,16.1871598,16.1305113,1406.22894725,1438.5466183499998
2,16.1871598,16.09741665,1393.52298685,1425.80786145
3,16.1871598,16.078335049999996,1390.1631344999998,1422.42862935
4,16.1871598,16.154959599999998,1402.31900815,1434.6611275500002
5,16.1871598,16.061936799999998,1385.7839072999998,1418.0327057499996
6,16.1871598,16.055675649999998,1380.18017805,1412.4230134999998
7,16.1871598,16.102187049999998,1394.76209825,1427.0514451

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.0506071,1353.8448867,1386.04478855
1,16.1489966,16.01095315,1348.88158365,1381.04183155
2,16.1489966,16.00677905,1331.8116016999998,1363.9673773499999
3,16.1489966,16.022282849999996,1348.8720428499998,1381.0436204499997
4,16.1489966,16.04971265,1345.6994286999998,1377.89813795
5,16.1489966,16.0863851,1353.6156093499999,1385.8512891999997
6,16.1489966,16.0088661,1337.5578466499996,1369.7160075000002
7,16.1489966,16.00677905,1340.7507349999998,1372.9068088

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.5103789,38.112514499999996,62.99253569999999
1,13.369642299999997,11.51604375,38.21418364999999,63.09986969999999
2,13.369642299999997,11.54287725,38.102079249999996,63.0145988
3,13.369642299999997,11.5431754,38.1995743,63.112392
4,13.369642299999997,11.5103789,38.115496,62.99521905
5,13.369642299999997,11.501732549999998,38.13249055,63.003865399999995
6,13.369642299999997,11.51604375,38.216568849999994,63.10225489999999
7,13.369642299999997,11.54287725,38.1053589,63.01787845


