NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.082210999999997,1391.1148292999999,1423.3842001
1,16.1871598,16.067303499999998,1383.75022615,1416.00468945
2,16.1871598,16.100994449999998,1401.6147778499997,1433.9029320999998
3,16.1871598,16.087279549999998,1395.6258388,1427.9005763
4,16.1871598,16.10397595,1405.1243015,1437.4154372499997
5,16.1871598,16.1114297,1397.27371385,1429.5723033499999
6,16.1871598,16.099503699999996,1393.0665192,1425.3531827
7,16.1871598,16.10457225,1397.7343555999998,1430.02608765

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.065812749999996,1358.6129015,1390.82771085
1,16.1489966,16.05627195,1359.62631335,1391.8315819
2,16.1489966,16.0553775,1360.59053045,1392.7952027
3,16.1489966,16.029140299999998,1349.1189110499997,1381.2973461
4,16.1489966,15.99902715,1337.6374526999998,1369.7857746
5,16.1489966,16.0834036,1357.0118359999997,1389.2442362
6,16.1489966,16.0965222,1359.2891057,1391.5349226499998
7,16.1489966,16.0553775,1354.745896,1386.9505682499998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.51604375,38.216270699999995,63.10165859999999
1,13.369642299999997,11.507397399999999,38.22909115,63.10613084999999
2,13.369642299999997,11.507397399999999,38.22968745,63.10672715
3,13.369642299999997,11.507397399999999,38.22968745,63.10672715
4,13.369642299999997,11.507397399999999,38.23028375,63.107323449999996
5,13.369642299999997,11.507397399999999,38.23028375,63.107323449999996
6,13.369642299999997,11.507397399999999,38.2276004,63.1046401
7,13.369642299999997,11.507397399999999,38.22849485,63.105534549999994

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.331479099999997,-11.499645499999998,-5.71434290000002,-30.545169349999853
1,-13.331479099999997,-11.49636585,-14.105178350000031,-38.93302330000005
2,-13.331479099999997,-11.46178045,2.7945599499996945,-21.998997750000072
3,-13.331479099999997,-11.449258149999999,8.277240300000386,-16.5034969499999
4,-13.331479099999997,-11.4024486,29.25656505000019,4.522339199999777
5,-13.331479099999997,-11.4793713,2.031594100000248,-22.77925630000007
6,-13.331479099999997,-11.504415900000001,-4.450186900000034,-29.286380049999835
7,-13.331479099999997,-11.458202649999997,4.759964749999945,-20.03001514999992


