NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.100398149999997,1379.7964589999997,1412.07686135
1,16.1800042,16.1406484,1390.5859111999998,1422.90626565
2,16.1800042,16.13021315,1389.9961704999998,1422.30638785
3,16.1800042,16.112622299999998,1388.0975512999999,1420.3901777999997
4,16.1800042,16.1382632,1387.94698555,1420.2652529499999
5,16.1800042,16.17255045,1396.54980565,1428.9023602999998
6,16.1800042,16.11649825,1391.1368923999999,1423.4333948499998
7,16.1800042,16.1442262,1387.7147266999998,1420.0389570999998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,15.997834549999999,1320.6402193499996,1352.78257825
1,16.14452435,16.0070772,1323.45117755,1355.6027791
2,16.14452435,16.020792099999998,1326.6631474999997,1358.8281657999999
3,16.14452435,16.043153349999997,1330.1473284,1362.3347079499997
4,16.14452435,16.074757249999998,1345.0578098999997,1377.2770914999999
5,16.14452435,16.0380848,1322.2457570999998,1354.4283662499997
6,16.14452435,16.017512449999998,1317.4857923499999,1349.6478291499998
7,16.14452435,16.055675649999998,1332.58291575,1364.78311575

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.42421355,43.67986944999999,68.40664155
1,13.302558549999999,11.580742299999999,46.33936745,71.22296644999999
2,13.302558549999999,11.3404334,43.45536249999999,68.09835445
3,13.302558549999999,11.61324065,46.41032715,71.32612635
4,13.302558549999999,11.512167799999999,46.26572439999999,71.08074889999999
5,13.302558549999999,11.329103699999997,43.6038412,68.23550345
6,13.302558549999999,11.462674899999998,45.9186778,70.68391125
7,13.302558549999999,11.4811602,43.633954349999996,68.41767309999999


