NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.09801295,1386.7770449500001,1419.0550620999998
1,16.1800042,16.105764849999996,1389.2481121499998,1421.5338812
2,16.1800042,16.1078519,1384.66435405,1416.9522101499997
3,16.1800042,16.1430336,1389.2072655999998,1421.5303033999999
4,16.1800042,16.08966475,1381.45685635,1413.7265252999998
5,16.1800042,16.0923481,1383.7845134,1416.0565675499997
6,16.1800042,16.0887703,1382.05196375,1414.3204401
7,16.1800042,16.064023849999998,1371.70019575,1403.9442237999997

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.06521645,1343.3523919,1375.5621327
1,16.14452435,16.07237205,1339.3631449,1371.5800412999997
2,16.14452435,16.03301625,1337.2710263499998,1369.44856695
3,16.14452435,16.040768149999998,1331.31995235,1363.5052448499998
4,16.14452435,16.06700535,1335.9236864999998,1368.13491805
5,16.14452435,16.05209785,1339.8527072,1372.04903125
6,16.14452435,16.066110899999998,1341.2620622499996,1373.4726974999999
7,16.14452435,16.058359,1336.2567200499998,1368.4596033999999

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.598034999999998,45.35129835,70.25159375
1,13.302558549999999,11.598034999999998,45.350403899999996,70.25099745
2,13.302558549999999,11.62337775,46.16405525,71.08999155
3,13.302558549999999,11.687479999999999,46.81282964999999,71.80286819999999
4,13.302558549999999,11.612942499999999,45.304190649999995,70.2196917
5,13.302558549999999,11.637390799999997,45.87484975,70.8147991
6,13.302558549999999,11.637987099999998,46.327143299999996,71.26768895
7,13.302558549999999,11.67048545,46.5930931,71.56613709999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.2670787,-11.565238499999998,-1.9266452999998123,-26.75866435000013
1,-13.2670787,-11.5646422,4.5345633499998215,-20.297157549999724
2,-13.2670787,-11.548542099999999,1.2292724500001029,-23.58634835000028
3,-13.2670787,-11.585214549999998,11.074483599999816,-13.777809649999952
4,-13.2670787,-11.590283099999997,0.22897920000015404,-24.628084450000074
5,-13.2670787,-11.597140549999997,-1.94304355000002,-26.807262800000373
6,-13.2670787,-11.615327699999996,-5.537241799999727,-30.41994634999982
7,-13.2670787,-11.6648206,-11.149617399999862,-36.08151670000018


