NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.09860925,1379.6423154499998,1411.9209288999998
1,16.1800042,16.1382632,1391.3157824,1423.6337516499998
2,16.1800042,16.10815005,1384.4872529499999,1416.7751090499999
3,16.1800042,16.093838849999997,1386.6381070499997,1418.9119501
4,16.1800042,16.112025999999997,1376.06511175,1408.3568438
5,16.1800042,16.11947975,1382.84802425,1415.1475081999997
6,16.1800042,16.122163099999998,1380.55703965,1412.8589088
7,16.1800042,16.12365385,1383.0474866,1415.35114465

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.0339107,1330.4913934999997,1362.66982855
1,16.14452435,16.02168655,1329.534332,1361.7005429
2,16.14452435,16.075949849999997,1344.9230461,1377.1435202999999
3,16.14452435,16.0434515,1329.0817402999996,1361.2697161499998
4,16.14452435,16.055973799999997,1329.9314678,1362.1316677999998
5,16.14452435,16.042855199999998,1327.9696408,1360.1570203499996
6,16.14452435,16.04047,1323.7090773,1355.89407165
7,16.14452435,16.0655146,1337.7945777499997,1370.0046166999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.627253699999997,46.55045765,71.4802699
1,13.302558549999999,11.6546835,46.6056154,71.56285745
2,13.302558549999999,11.65140385,46.6467601,71.60042435
3,13.302558549999999,11.47966945,44.572232400000004,69.3544604
4,13.302558549999999,11.600122049999998,46.122016099999996,71.02469669999999
5,13.302558549999999,11.671081749999999,46.5936894,71.5673297
6,13.302558549999999,11.656472399999998,46.75677745,71.7158084
7,13.302558549999999,11.64067045,46.3044839,71.2477129

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.2670787,-11.562555149999998,2.6004643000001124,-22.22916955000011
1,-13.2670787,-11.538106849999998,15.175835000000042,-9.629648700000274
2,-13.2670787,-11.619203649999998,-7.08255325000011,-31.968835600000006
3,-13.2670787,-11.429282100000002,12.984134350000048,-11.712226449999775
4,-13.2670787,-11.544069849999998,0.011627849999854334,-24.799520699999846
5,-13.2670787,-11.594457199999997,8.284694049999999,-16.576841849999866
6,-13.2670787,-11.5747793,10.091184899999988,-14.750971249999779
7,-13.2670787,-11.5825312,-1.0515750499997338,-25.901184949999887


