NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.302245699999997,1615.31557925,1647.9489912
1,16.3308681,16.3016494,1620.7726186999998,1653.4054343499997
2,16.3308681,16.31089205,1615.6659054999998,1648.3079638
3,16.3308681,16.303140149999997,1616.1921402499997,1648.8264466499998
4,16.3308681,16.299860499999998,1608.5785818499996,1641.20931045
5,16.3308681,16.306121649999998,1620.0722643499998,1652.70955225
6,16.3308681,16.296580849999998,1608.2315352499998,1640.8589842
7,16.3308681,16.313873549999997,1616.4273806,1649.0721222500001

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.397057399999998,1596.4277767499998,1629.1288687499998
1,16.304034599999998,16.41941865,1617.1190886,1649.8425418499999
2,16.304034599999998,16.464737449999998,1617.78605015,1650.5548222
3,16.304034599999998,16.36336645,1601.6671667,1634.3348658999998
4,16.304034599999998,16.35442195,1594.6260562999998,1627.28451285
5,16.304034599999998,16.378572099999996,1590.4018671,1623.0844737999998
6,16.304034599999998,16.41107045,1604.6364425499999,1637.3515475999998
7,16.304034599999998,16.35203675,1592.3049585499998,1624.9610298999996

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,11.019624,35.91485084999999,60.1452032
1,13.210728349999998,11.00680355,35.82600215,60.0438322
2,13.210728349999998,11.08491885,36.04544055,60.34108774999999
3,13.210728349999998,11.099528199999998,36.52486575,60.835122299999995
4,13.210728349999998,10.936142,34.5871889,58.73405925
5,13.210728349999998,10.9313716,34.5842074,58.72630735
6,13.210728349999998,10.965062549999999,34.768464099999996,58.94425499999999
7,13.210728349999998,11.064644649999998,35.95539924999999,60.23107039999999


