NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.30254385,1614.0228008499998,1646.6562127999998
1,16.3308681,16.304034599999998,1610.95483735,1643.5897400499998
2,16.3308681,16.313873549999997,1617.63936035,1650.2841019999998
3,16.3308681,16.30969945,1616.3292892499996,1648.9698567999997
4,16.3308681,16.31327725,1617.1840852999999,1649.82823065
5,16.3308681,16.3046309,1616.5141422499998,1649.1496412499998
6,16.3308681,16.3010531,1616.0418726499997,1648.674092
7,16.3308681,16.30492905,1616.03352445,1648.6693215999999

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.29181045,1578.2409248999998,1610.8370681000001
1,16.304034599999998,16.298667899999998,1577.3813584499999,1609.9840609499997
2,16.304034599999998,16.306121649999998,1582.5116255,1615.1220798999998
3,16.304034599999998,16.299860499999998,1579.2969722,1611.9008672999998
4,16.304034599999998,16.301351249999996,1580.6496787499998,1613.25536275
5,16.304034599999998,16.2927049,1582.6845524999999,1615.2815901499998
6,16.304034599999998,16.29896605,1584.83689735,1617.4398979999999
7,16.304034599999998,16.2897234,1583.4248589499998,1616.01861695

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,10.9456828,36.227013899999996,60.38312689999999
1,13.210728349999998,10.9456828,36.22582129999999,60.38223245
2,13.210728349999998,10.9456828,36.22731205,60.38402135
3,13.210728349999998,10.9456828,36.22671575,60.38342504999999
4,13.210728349999998,10.9456828,36.22910095,60.38551209999999
5,13.210728349999998,10.9456828,36.22969725,60.3861084
6,13.210728349999998,11.04794825,37.06988395,61.3288587
7,13.210728349999998,11.056296449999998,36.5305306,60.7975554

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.183894849999996,-10.9349494,-0.44513794999991063,-24.563982200000297
1,-13.183894849999996,-10.9403161,-2.652342399999938,-26.776553349999908
2,-13.183894849999996,-10.937930900000001,-1.0995771999999775,-25.22199924999994
3,-13.183894849999996,-10.935843849999998,0.8056012999996227,-23.314435550000177
4,-13.183894849999996,-10.933756799999998,0.3053056000000822,-23.812644199999873
5,-13.183894849999996,-10.933756800000001,-2.4001075000000327,-26.518057299999995
6,-13.183894849999996,-11.0458612,-5.864908650000338,-30.094664699999882
7,-13.183894849999996,-11.0410908,-3.921865099999856,-28.146850750000148


