NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.30492905,1613.7112340999997,1646.3470312499999
1,16.3308681,16.30492905,1619.6038706999998,1652.239966
2,16.3308681,16.3099976,1616.1858790999997,1648.8270429499998
3,16.3308681,16.303140149999997,1619.3534246999998,1651.9877310999998
4,16.3308681,16.308208699999998,1617.66201975,1650.30109655
5,16.3308681,16.299264199999996,1614.4655536,1647.0959840499997
6,16.3308681,16.30015865,1610.1370119,1642.76803865
7,16.3308681,16.3111902,1617.0129472,1649.6550055

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.293599349999997,1586.0470882,1618.6450203
1,16.304034599999998,16.29538825,1583.6439992,1616.24342205
2,16.304034599999998,16.29061785,1580.6678659,1613.2625183499997
3,16.304034599999998,16.2927049,1587.8341993,1620.43123695
4,16.304034599999998,16.2938975,1584.1827562499998,1616.7806883499998
5,16.304034599999998,16.2921086,1586.2122632999997,1618.8084065
6,16.304034599999998,16.284058549999997,1581.3852147999999,1613.9736060999996
7,16.304034599999998,16.2837604,1577.8816541499998,1610.46944915

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,10.9486643,36.2502696,60.409662250000004
1,13.210728349999998,10.948068,36.2472881,60.406084449999994
2,13.210728349999998,10.948366149999998,36.2478844,60.40697889999999
3,13.210728349999998,10.948068,36.24698994999999,60.4057863
4,13.210728349999998,10.94657725,36.214491599999995,60.371797199999996
5,13.210728349999998,10.94657725,36.21598235,60.37328794999999
6,13.210728349999998,10.945384649999998,36.277699399999996,60.433812399999994
7,13.210728349999998,10.948366149999998,36.24639365,60.40519

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.183894849999996,-10.9373346,-8.586123700000236,-32.70765130000007
1,-13.183894849999996,-10.9385272,-0.28741660000026314,-24.409540499999835
2,-13.183894849999996,-10.9289864,-0.7298712000001828,-24.84245429999985
3,-13.183894849999996,-10.937632750000002,-4.727764550000124,-28.849292150000295
4,-13.183894849999996,-10.932266050000003,-2.7352280999998797,-26.85138899999975
5,-13.183894849999996,-10.939421650000003,-7.962692049999653,-32.085710400000295
6,-13.183894849999996,-10.929284549999995,-7.525902299999792,-31.63937984999953
7,-13.183894849999996,-10.920936349999998,2.884899400000293,-21.219633649999928


