NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.374398,1701.0107466999998,1733.76222605
1,16.3773795,16.380062849999998,1702.0280344999999,1734.7854768499997
2,16.3773795,16.377081349999997,1704.15116065,1736.9056214999996
3,16.3773795,16.38841105,1709.6773709,1742.4431614499997
4,16.3773795,16.3755906,1704.6314803,1737.3844503999999
5,16.3773795,16.379168399999998,1700.48272305,1733.2392709499998
6,16.3773795,16.382149899999998,1699.62405105,1732.3838786
7,16.3773795,16.37887025,1691.8086451,1724.5645966999998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.425679799999997,1673.9494601,1706.7224062499997
1,16.347564499999997,16.4358169,1677.4503373999999,1710.2337188
2,16.347564499999997,16.4531096,1674.98970545,1707.79037955
3,16.347564499999997,16.4614578,1678.34866335,1711.1576856499998
4,16.347564499999997,16.524367449999996,1700.9490296499998,1733.8209616
5,16.347564499999997,16.451022549999998,1675.048441,1707.8470280499998
6,16.347564499999997,16.4948506,1684.9297282999999,1717.7721433999998
7,16.347564499999997,16.451916999999998,1683.3972373,1716.1967187999999

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.348781599999999,42.784823149999994,67.48178025
1,13.34847365,11.3404334,42.92912775,67.61773665
2,13.34847365,11.332979649999999,42.809867749999995,67.49102289999999
3,13.34847365,11.35385015,43.042424749999995,67.74474855
4,13.34847365,11.333874100000001,42.86711254999999,67.54946029999999
5,13.34847365,11.347589,42.5829756,67.27903825
6,13.34847365,11.339837099999999,42.8507143,67.5387269
7,13.34847365,11.346396399999998,42.49651209999999,67.19138215


