NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.38721845,1705.4865744999997,1738.2511724499998
1,16.3773795,16.38423695,1700.5867774,1733.348692
2,16.3773795,16.378572099999996,1692.5614738499999,1725.3171272999998
3,16.3773795,16.39258515,1708.8860807999997,1741.6557473
4,16.3773795,16.389603649999998,1704.9206857999998,1737.6876689499998
5,16.3773795,16.38304435,1700.21558065,1732.9757063499999
6,16.3773795,16.386324000000002,1698.9898859999996,1731.7535894999999
7,16.3773795,16.38662215,1704.34257295,1737.1065745999997

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.3636646,1660.8875085999998,1693.5987377
1,16.347564499999997,16.375888749999998,1669.8326048999998,1702.5560581499997
2,16.347564499999997,16.35084415,1656.3958788499997,1689.0942874999998
3,16.347564499999997,16.377081349999997,1670.522524,1703.2471698499999
4,16.347564499999997,16.36694425,1660.7071278499998,1693.4216365999998
5,16.347564499999997,16.35740345,1660.1928191,1692.8977870499998
6,16.347564499999997,16.373801699999998,1666.94740735,1699.6687735499997
7,16.347564499999997,16.379466549999997,1671.4622928,1704.1890256999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.34669455,43.80568875,68.50085694999999
1,13.34847365,11.34669455,43.80449614999999,68.49936619999998
2,13.34847365,11.343414899999999,43.94462664999999,68.63681335
3,13.34847365,11.343713049999998,43.947309999999995,68.63919855
4,13.34847365,11.343414899999999,43.949695199999994,68.64128559999999
5,13.34847365,11.34669455,43.80509245,68.50026065
6,13.34847365,11.343414899999999,43.94820445,68.640093
7,13.34847365,11.3452038,43.8942393,68.58791674999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.318658649999998,-11.323140700000002,0.7933771499999125,-23.8484222000001
1,-13.318658649999998,-11.33834635,-13.050323649999669,-37.706732349999626
2,-13.318658649999998,-11.315686950000003,-7.779031649999823,-32.41397355000002
3,-13.318658649999998,-11.328209249999997,-5.5837532000002525,-30.230621099999837
4,-13.318658649999998,-11.3207555,0.26386275000000126,-24.375253250000057
5,-13.318658649999998,-11.321053650000001,-3.7823308999999554,-28.422341349999925
6,-13.318658649999998,-11.330892599999995,-11.905725800000432,-36.55527704999987
7,-13.318658649999998,-11.338048199999996,-11.013959149999913,-35.67036785000006


