NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.3779758,1700.6344814,1733.38953855
1,16.3773795,16.395566649999996,1712.6332299999997,1745.40617615
2,16.3773795,16.384535099999997,1702.3971442,1735.1587606499997
3,16.3773795,16.38841105,1707.7009345499998,1740.4667250999998
4,16.3773795,16.38662215,1706.7379100499998,1739.5019116999997
5,16.3773795,16.379168399999998,1704.3685119999996,1737.1250598999998
6,16.3773795,16.39079625,1700.8419937999997,1733.6101695499997
7,16.3773795,16.38542955,1703.59540905,1736.35791995

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.3720128,1671.8367692,1704.55604835
1,16.347564499999997,16.37409985,1673.5600762,1706.2814423999998
2,16.347564499999997,16.3618757,1666.51389725,1699.2236355999999
3,16.347564499999997,16.373801699999998,1671.7950282,1704.5163943999999
4,16.347564499999997,16.3594905,1664.48945875,1697.1962155999997
5,16.347564499999997,16.35978865,1658.4039191000002,1691.11127225
6,16.347564499999997,16.3523349,1666.18056555,1698.88046495
7,16.347564499999997,16.366646099999997,1674.5242932999997,1707.2382057499997

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.34669455,43.8036017,68.4987699
1,13.34847365,11.280505250000001,43.412428899999995,68.04140779999999
2,13.34847365,11.2688774,43.3462396,67.96359065
3,13.34847365,11.276331149999999,43.408552949999994,68.03305959999999
4,13.34847365,11.205669599999998,42.4392673,66.99341055000001
5,13.34847365,11.2802071,43.4100437,68.03872444999999
6,13.34847365,11.280505250000001,43.40974555,68.03872444999999
7,13.34847365,11.280505250000001,43.412130749999996,68.04110965

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.318658649999998,-11.34073155,-15.005889500000023,-39.665279700000085
1,-13.318658649999998,-11.259038450000006,-4.339275100000222,-28.916674049999855
2,-13.318658649999998,-11.246218,-7.46299264999994,-32.028465600000104
3,-13.318658649999998,-11.261721799999998,-7.502646600000098,-32.08272889999999
4,-13.318658649999998,-11.178537949999997,-0.19081600000028232,-24.68771445000003
5,-13.318658649999998,-11.260827350000001,2.5545491999993857,-22.024936800000177
6,-13.318658649999998,-11.242043899999999,-8.748317300000252,-33.30901985000034
7,-13.318658649999998,-11.261721799999997,-14.341014999999778,-38.92139544999968


