NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1615189,16.12186495,1361.46768775,1393.7513697499999
1,16.1615189,16.14392805,1355.7661652999998,1388.0716122499998
2,16.1615189,16.1388595,1357.5655005499998,1389.8655807999999
3,16.1615189,16.151381799999996,1356.7327676,1389.0456682999998
4,16.1615189,16.152276249999996,1361.2050175999998,1393.51881275
5,16.1615189,16.163904099999996,1362.66148035,1394.9869033500001
6,16.1615189,16.170165249999997,1366.9360568999998,1399.26774105
7,16.1615189,16.11232415,1354.6415435,1386.91538655

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.12902055,16.0923481,1317.1286086500002,1349.3499772999999
1,16.12902055,16.0184069,1305.5410088999997,1337.6887345
2,16.12902055,16.07177575,1316.8537143499998,1349.0548088
3,16.12902055,16.07714245,1318.7040332499998,1350.9101962500001
4,16.12902055,16.05507935,1311.1304269499997,1343.3145268499998
5,16.12902055,16.03182365,1309.4187478,1341.579592
6,16.12902055,16.06819795,1310.7115262,1342.9084465499998
7,16.12902055,15.9999216,1298.6108102999997,1330.7394542999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.209535749999999,11.227434549999998,38.518296649999996,62.95496879999999
1,13.209535749999999,11.2271364,38.51710405,62.95377619999999
2,13.209535749999999,11.2271364,38.51770034999999,62.95407434999999
3,13.209535749999999,11.227434549999998,38.52187445,62.95854659999999
4,13.209535749999999,11.2271364,38.52008555,62.9567577
5,13.209535749999999,11.2271364,38.5185948,62.95526694999999
6,13.209535749999999,11.2271364,38.51710405,62.95377619999999
7,13.209535749999999,11.218191899999997,38.262782099999995,62.6902116

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.177037399999998,-11.197917699999998,5.820782449999939,-18.553576349999986
1,-13.177037399999998,-11.101615249999998,11.70805235000006,-12.570898450000186
2,-13.177037399999998,-11.16005265,2.1940858500000147,-22.143302350000177
3,-13.177037399999998,-11.153195200000003,-0.49314009999984876,-24.823074550000356
4,-13.177037399999998,-11.129939500000003,11.55450510000012,-12.75247179999971
5,-13.177037399999998,-11.095055950000003,14.724137750000025,-9.547955599999888
6,-13.177037399999998,-11.1251691,17.70742664999983,-6.594481699999733
7,-13.177037399999998,-11.105789349999998,17.767951100000218,-6.514279349999811


