NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.1442262,1405.4981816,1437.8295676
1,16.1871598,16.158239249999998,1403.8225786,1436.1679776499998
2,16.1871598,16.178215299999998,1401.6922968499998,1434.05767195
3,16.1871598,16.086683249999997,1391.1640240499999,1423.4378671
4,16.1871598,16.13259835,1394.26538035,1426.5851384999999
5,16.1871598,16.127529799999998,1406.2590604,1438.57375
6,16.1871598,16.13975395,1396.290117,1428.6170307499997
7,16.1871598,16.143331749999998,1404.7164323,1437.04692385

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.03957555,1350.1505100499996,1382.3390822
1,16.1489966,16.04911635,1348.3863565,1380.5844694499997
2,16.1489966,16.037786649999997,1346.4281072999997,1378.61489055
3,16.1489966,16.0434515,1350.2026862999999,1382.3951344
4,16.1489966,16.02168655,1341.5527585,1373.72344165
5,16.1489966,16.062234949999997,1354.8997414,1387.1112711
6,16.1489966,16.0374885,1345.72834925,1377.9151325
7,16.1489966,16.0333144,1349.7372741499998,1381.9198832999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.5133604,37.77948095,62.66218549999999
1,13.369642299999997,11.5151493,37.79498475,62.67977635
2,13.369642299999997,11.5133604,37.77739389999999,62.66039659999999
3,13.369642299999997,11.5151493,37.7952829,62.680074499999996
4,13.369642299999997,11.559573649999999,37.739827,62.66904295
5,13.369642299999997,11.548243949999998,37.751156699999996,62.66904295
6,13.369642299999997,11.558082899999999,37.78067355,62.70839874999999
7,13.369642299999997,11.548243949999998,37.749367799999995,62.6669559


