NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.075949849999997,1389.1112612999998,1421.37437095
1,16.1871598,16.08012395,1393.4863143999999,1425.7538963
2,16.1871598,16.05925345,1392.1154207,1424.36183395
3,16.1871598,16.07952765,1386.8193822499998,1419.0860696999998
4,16.1871598,16.075651699999998,1387.7749529999996,1420.0377644999999
5,16.1871598,16.13736875,1412.00828685,1444.3328153999996
6,16.1871598,16.0816147,1389.6676091999998,1421.9363836999999
7,16.1871598,16.12186495,1404.0962803,1436.4056032

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.043153349999997,1351.2032776999997,1383.3957257999998
1,16.1489966,16.04017185,1344.1815470499998,1376.3707155
2,16.1489966,16.041066299999997,1342.3670061499997,1374.5573671999998
3,16.1489966,16.067303499999998,1350.0771651499997,1382.2937633999998
4,16.1489966,16.0500108,1353.83445145,1386.03345885
5,16.1489966,16.054483049999998,1352.5691028499998,1384.7725825
6,16.1489966,16.0512034,1347.8741348,1380.0743348
7,16.1489966,16.03361255,1342.9564486999998,1375.1390578499997

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.558082899999999,37.780971699999995,62.70869689999999
1,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995
2,13.369642299999997,11.522006750000001,37.75861045,62.65025949999999
3,13.369642299999997,11.522006750000001,37.75920675,62.650557649999996
4,13.369642299999997,11.522006750000001,37.758014149999994,62.64936505
5,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995
6,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995
7,13.369642299999997,11.558082899999999,37.7803754,62.708100599999995

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.331479099999997,-11.525286399999999,0.12701190000008467,-24.730051749999845
1,-13.331479099999997,-11.518130799999998,11.524391950000023,-13.324919800000004
2,-13.331479099999997,-11.503819599999998,11.989804100000235,-12.845792749999916
3,-13.331479099999997,-11.5097826,-1.0169896499999354,-25.858251349999932
4,-13.331479099999997,-11.496365850000002,-3.8175126000003132,-28.64505940000012
5,-13.331479099999997,-11.475197199999997,21.6588086000003,-3.1478677000003756
6,-13.331479099999997,-11.527671599999998,4.013098999999698,-20.84605170000023
7,-13.331479099999997,-11.4698305,23.35945620000021,-1.4415552499996522


