NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.153767,1406.5464769999999,1438.8874037999997
1,16.1871598,16.14154285,1399.0298173499998,1431.35852
2,16.1871598,16.088472149999998,1394.23496905,1426.51089915
3,16.1871598,16.0983111,1393.75435125,1426.03982215
4,16.1871598,16.133194649999997,1392.438019,1424.75837345
5,16.1871598,16.120076049999998,1406.2042007999999,1438.51143665
6,16.1871598,16.1006963,1394.5703878,1426.8582439
7,16.1871598,16.05865715,1387.32802615,1419.5738431

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.022581,1347.5896996999998,1379.7612772999998
1,16.1489966,16.016916149999997,1341.6225255999998,1373.78843835
2,16.1489966,16.028245849999998,1355.5938346,1387.7713752
3,16.1489966,16.0255625,1351.3138913499997,1383.48845045
4,16.1489966,16.0458367,1344.0926983499999,1376.2875316500001
5,16.1489966,16.020195799999996,1342.8622333,1375.03172385
6,16.1489966,16.0309292,1345.2277554,1377.40797935
7,16.1489966,16.0148291,1348.1400846,1380.3039102999999

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.522006750000001,37.75920675,62.650855799999995
1,13.369642299999997,11.5133604,37.77739389999999,62.66039659999999
2,13.369642299999997,11.558082899999999,37.78186615,62.70959135
3,13.369642299999997,11.559573649999999,37.74131774999999,62.6705337
4,13.369642299999997,11.558082899999999,37.781568,62.70959135
5,13.369642299999997,11.548243949999998,37.749665949999994,62.66725405
6,13.369642299999997,11.506801099999999,37.82062565,62.697069049999996
7,13.369642299999997,11.559573649999999,37.73952884999999,62.6687448


